Gene Name,Gene Isoform,Alternate Name,Fold Change (adr-1;adr-2 vs WT),p-value,Input,Suggested Match,History
C08E3.11,C08E3.11,fbxa-159,-1.4,0.043,C08E3.11,WBGene00015603,Sequence name for WBGene00015603(fbxa-159). History: N.A.
C08E3.13,C08E3.13,,1.79,0.043,C08E3.13,WBGene00015605,Public name for WBGene00015605. History: N.A.
C08E3.3,C08E3.3,bath-33,-1.58,0.04,C08E3.3,WBGene00015595,Sequence name for WBGene00015595(bath-33). History: N.A.
C08E3.4,C08E3.4,fbxa-161,1.8,0.039,C08E3.4,WBGene00015596,Sequence name for WBGene00015596(fbxa-161). History: N.A.
C08E3.5,C08E3.5,fbxa-162,1.79,0.035,C08E3.5,WBGene00015597,Sequence name for WBGene00015597(fbxa-162). History: N.A.
C08E3.7,C08E3.7,fbxa-164,2.67,0.0021,C08E3.7,WBGene00015599,Sequence name for WBGene00015599(fbxa-164). History: N.A.
C08E8.11,C08E8.11,,-5.67,0.0031,C08E8.11,WBGene00119201,"Public name for WBGene00119201. History: N.A.. Other name for Dead gene WBGene00119200. History of WBGene00119200: Killed on 2008-08-26; Merged into ""WBGene00119201"" on 2011-11-02. Remark: Should have done a 'Split gene' instead of requesting a 'New gene ID'"
C08E8.4,C08E8.4,,2.38,0.027,C08E8.4,WBGene00007440,Public name for WBGene00007440. History: N.A.
C08E8.9,C08E8.9,,-1.45,0.029,C08E8.9,WBGene00050891,Public name for WBGene00050891. History: N.A.
C08F11.12,C08F11.12,,1.69,0.0021,C08F11.12,WBGene00007459,Public name for WBGene00007459. History: N.A.
C08F11.18,C08F11.18,,-1.51,0.045,C08F11.18,WBGene00045285,Public name for WBGene00045285. History: N.A.
C08F11.6,C08F11.6,,3.05,6.3e-05,C08F11.6,WBGene00014672,Public name for WBGene00014672. History: N.A.
C08F11.7,C08F11.7,,2.83,2.8e-05,C08F11.7,WBGene00007454,Public name for WBGene00007454. History: N.A.
C08F8.5,C08F8.5,fbxb-9,1.77,0.021,C08F8.5,WBGene00007447,"Sequence name for WBGene00007447(fbxb-9). History: Split into C08F8.15(WBGene00219217). History of WBGene00007447: Split into ""WBGene00219217"" on 2011-08-24"
C08G5.7,C08G5.7b,,-1.49,0.02,C08G5.7,WBGene00044418,Public name for WBGene00044418. History: N.A.
C08G9.1,C08G9.1,,1.85,0.0034,C08G9.1,WBGene00015619,Public name for WBGene00015619. History: N.A.
C08G9.2,C08G9.2,,3.19,0.0097,C08G9.2,WBGene00015620,Public name for WBGene00015620. History: N.A.
C08H9.2,C08H9.2,,-2.19,0.016,C08H9.2,WBGene00007463,Sequence name for WBGene00007463(vgln-1). History: N.A.
C09D1.1,C09D1.1g,unc-89,-1.55,0.032,C09D1.1,WBGene00006820,Sequence name for WBGene00006820(unc-89). History: N.A.
C09D4.2,C09D4.2,,1.42,0.025,C09D4.2,WBGene00015633,Public name for WBGene00015633. History: N.A.
C09D8.1,C09D8.1a,ptp-3,3.23,0.0021,C09D8.1,WBGene00004215,Sequence name for WBGene00004215(ptp-3). History: Renamed on 2015-07-01
C09E10.2,C09E10.2a,dgk-1,-2.52,0.015,C09E10.2,WBGene00000958,"Sequence name for WBGene00000958(dgk-1). History: Split into C09E10.3(WBGene00303038). History of WBGene00000958: Split into ""WBGene00303038"" on 2018-03-02"
C09E7.10,C09E7.10,,1.84,0.017,C09E7.10,WBGene00044295,Public name for WBGene00044295. History: N.A.
C09E7.3,C09E7.3,oig-1,1.8,0.031,C09E7.3,WBGene00003859,Sequence name for WBGene00003859(oig-1). History: N.A.
C09E7.7,C09E7.7.1,,-1.7,0.025,C09E7.7,WBGene00015641,Public name for WBGene00015641. History: N.A.
C09E7.9,C09E7.9,,-1.46,0.039,C09E7.9,WBGene00015640,"Public name for Dead gene WBGene00015643. History of WBGene00015643: Merged into ""WBGene00015640"" on 2014-06-30"
C09E8.2,C09E8.2b,lips-7,3.45,0.001,C09E8.2,WBGene00015645,Sequence name for WBGene00015645(lips-7). History: N.A.
C09E8.3,C09E8.3.1,mlt-10,-1.8,0.012,C09E8.3,WBGene00015646,Sequence name for WBGene00015646(mlt-10). History: N.A.
C09F12.1,C09F12.1,clc-1,1.52,0.031,C09F12.1,WBGene00000522,Sequence name for WBGene00000522(clc-1). History: N.A.
C09F9.2,C09F9.2,,1.48,0.038,C09F9.2,WBGene00007479,Public name for WBGene00007479. History: N.A.
C09G12.12,C09G12.12,srz-80,-1.5,0.019,C09G12.12,WBGene00023464,Sequence name for WBGene00023464(srz-80). History: N.A.
C09G12.13,C09G12.13,srz-81,-1.53,0.031,C09G12.13,WBGene00023465,Sequence name for WBGene00023465(srz-81). History: N.A.
C09G12.5,C09G12.5,,-11.41,0.00042,C09G12.5,WBGene00015655,Public name for WBGene00015655. History: N.A.
C09G12.6,C09G12.6,srz-70,-1.53,0.042,C09G12.6,WBGene00015656,Sequence name for WBGene00015656(srz-70). History: N.A.
C09G12.8,C09G12.8b,ced-10,2.07,0.022,C09G12.8,WBGene00000424,Sequence name for WBGene00000424(ced-10). History: N.A.
C09G4.2,C09G4.2a,,-1.42,0.036,C09G4.2,WBGene00015650,Sequence name for WBGene00015650(pkg-2). History: N.A.
C09G9.1,C09G9.1.1,,-1.45,0.03,C09G9.1,WBGene00007492,Public name for WBGene00007492. History: N.A.
C09G9.5,C09G9.5,,1.91,0.0066,C09G9.5,WBGene00007495,Public name for WBGene00007495. History: N.A.
C09G9.6,C09G9.6.2,oma-1,-1.45,0.041,C09G9.6,WBGene00003864,Sequence name for WBGene00003864(oma-1). History: N.A.
C09G9.8,C09G9.8,,1.71,0.014,C09G9.8,WBGene00007497,Public name for WBGene00007497. History: N.A.
C09H10.10,C09H10.10,,-1.47,0.046,C09H10.10,WBGene00007504,Sequence name for WBGene00007504(nbs-1). History: N.A.
C09H5.2,C09H5.2b,,1.76,0.013,C09H5.2,WBGene00015660,Sequence name for WBGene00015660(catp-3). History: N.A.
C09H5.4,C09H5.4,str-143,-1.35,0.024,C09H5.4,WBGene00006190,Sequence name for WBGene00006190(str-143). History: N.A.
C09H6.1,C09H6.1a,spr-4,-1.46,0.041,C09H6.1,WBGene00005009,Sequence name for WBGene00005009(spr-4). History: N.A.
C09H6.2,C09H6.2a,lin-10,-1.44,0.037,C09H6.2,WBGene00002999,Sequence name for WBGene00002999(lin-10). History: N.A.
C10A4.5,C10A4.5,,-1.53,0.023,C10A4.5,WBGene00015666,Sequence name for WBGene00015666(gad-2). History: N.A.
C10C5.6,C10C5.6b,daf-15,-1.49,0.045,C10C5.6,WBGene00000911,"Sequence name for WBGene00000911(daf-15). History: N.A.. Public name for Dead gene WBGene00007510. History of WBGene00007510: Merged into ""WBGene00000911"" on 2004-09-29"
C10C5.7,C10C5.7,,1.49,0.042,C10C5.7,WBGene00007511,Public name for WBGene00007511. History: N.A.
C10F3.5,C10F3.5a,pcm-1,1.71,0.0036,C10F3.5,WBGene00003954,Sequence name for WBGene00003954(pcm-1). History: N.A.
C10G11.2,C10G11.2,srh-50,5.12,0.00028,C10G11.2,WBGene00005273,Sequence name for WBGene00005273(srh-50). History: N.A.
C10G11.3,C10G11.3,srh-51,-1.35,0.05,C10G11.3,WBGene00005274,Sequence name for WBGene00005274(srh-51). History: N.A.
C10G8.4,C10G8.4,,1.93,0.0011,C10G8.4,WBGene00015683,Public name for WBGene00015683. History: N.A.
C10H11.5,C10H11.5,ugt-27,1.85,0.029,C10H11.5,WBGene00015694,Sequence name for WBGene00015694(ugt-27). History: N.A.
C11G10.1,C11G10.1,,1.5,0.029,C11G10.1,WBGene00007525,Public name for WBGene00007525. History: N.A.
C11H1.3,C11H1.3,,-1.44,0.037,C11H1.3,WBGene00007529,Public name for WBGene00007529. History: N.A.
C11H1.7,C11H1.7,,1.45,0.029,C11H1.7,WBGene00007531,Public name for WBGene00007531. History: N.A.
C12C8.1,C12C8.1,hsp-70,-4.69,7.6e-07,C12C8.1,WBGene00002026,Sequence name for WBGene00002026(hsp-70). History: N.A.
C12D12.3,C12D12.3,,2.34,0.0076,C12D12.3,WBGene00015714,Public name for WBGene00015714. History: N.A.
C12D8.12,C12D8.12,str-182,2.09,0.031,C12D8.12,WBGene00006226,Sequence name for WBGene00006226(str-182). History: N.A.
C12D8.14,C12D8.14,fipr-4,2.35,0.032,C12D8.14,WBGene00007541,Sequence name for WBGene00007541(fipr-4). History: N.A.
C12D8.2,C12D8.2,,2.0,0.02,C12D8.2,WBGene00014674,Public name for WBGene00014674. History: N.A.
C13A10.2,C13A10.2,,1.54,0.024,C13A10.2,WBGene00015729,Public name for WBGene00015729. History: N.A.
C13A2.10,C13A2.10,,2.55,0.0044,C13A2.10,WBGene00015726,Public name for WBGene00015726. History: N.A.
C13A2.8,C13A2.8,,-1.87,0.019,C13A2.8,WBGene00023235,Public name for WBGene00023235. History: N.A.
C13A2.9,C13A2.9,,-2.03,0.038,C13A2.9,WBGene00015725,Public name for WBGene00015725. History: N.A.
C13B4.2,C13B4.2.1,usp-14,-1.39,0.049,C13B4.2,WBGene00006856,Sequence name for WBGene00006856(usp-14). History: N.A.
C13B7.3,C13B7.3,srd-60,1.83,0.049,C13B7.3,WBGene00005137,Sequence name for WBGene00005137(srd-60). History: N.A.
C13B7.6,C13B7.6,,2.64,0.00014,C13B7.6,WBGene00015731,Public name for WBGene00015731. History: N.A.
C13B9.4,C13B9.4a.1,,-1.44,0.04,C13B9.4,WBGene00015735,Sequence name for WBGene00015735(pdfr-1). History: Renamed on 2012-08-29
C13D9.5,C13D9.5,srsx-12,-1.33,0.038,C13D9.5,WBGene00015737,Sequence name for WBGene00015737(srsx-12). History: N.A.
C13D9.7,C13D9.7,ncx-8,-1.4,0.043,C13D9.7,WBGene00003573,Sequence name for WBGene00003573(ncx-8). History: N.A.
C13F10.7,C13F10.7.1,,1.48,0.028,C13F10.7,WBGene00015746,Public name for WBGene00015746. History: N.A.
C13G5.2,C13G5.2,,1.46,0.022,C13G5.2,WBGene00015747,Public name for WBGene00015747. History: N.A.
C14A6.11,C14A6.11,,6.65,1.2e-07,C14A6.11,,"Public name for Dead gene WBGene00045349. History of WBGene00045349: Killed on 2010-07-09. Remark: [100629 pad] Removed following correspondence with Rebecca Robilotto and Mark Gerstein, this is no longer believed to be a valid Pseudogene"
C14A6.2,C14A6.2,,1.42,0.037,C14A6.2,WBGene00206536,"Public name for Dead gene WBGene00007566. History of WBGene00007566: Merged into ""WBGene00206536"" on 2012-07-16"
C14B9.10,C14B9.10.2,,1.54,0.024,C14B9.10,WBGene00015755,Public name for WBGene00015755. History: N.A.
C14B9.6,C14B9.6b,gei-8,-1.47,0.045,C14B9.6,WBGene00001565,Sequence name for WBGene00001565(gei-8). History: N.A.
C14C10.6,C14C10.6,,1.76,0.0095,C14C10.6,WBGene00007589,Sequence name for WBGene00007589(erg-28). History: N.A.
C14C11.5,C14C11.5,srx-117,1.62,0.047,C14C11.5,WBGene00006008,Sequence name for WBGene00006008(srx-117). History: N.A.
C14C6.10,C14C6.10,sri-73,-1.4,0.038,C14C6.10,WBGene00005585,Sequence name for WBGene00005585(sri-73). History: N.A.
C14C6.11,C14C6.11,sri-72,4.6,4.1e-07,C14C6.11,WBGene00005584,Sequence name for WBGene00005584(sri-72). History: N.A.
C14C6.12,C14C6.12,,1.8,0.0082,C14C6.12,WBGene00015763,Public name for WBGene00015763. History: N.A.
C14E2.3,C14E2.3,,-1.44,0.04,C14E2.3,WBGene00015772,Public name for WBGene00015772. History: N.A.
C14F11.5,C14F11.5a,hsp-43,1.35,0.048,C14F11.5,WBGene00002024,Sequence name for WBGene00002024(hsp-43). History: N.A.
C14F11.7,C14F11.7,,-2.42,0.012,C14F11.7,WBGene00015782,Public name for WBGene00015782. History: N.A.
C14H10.4,C14H10.4,str-74,2.23,0.033,C14H10.4,WBGene00006135,Sequence name for WBGene00006135(str-74). History: N.A.
C15A11.7,C15A11.7a,,1.44,0.023,C15A11.7,WBGene00007599,Public name for WBGene00007599. History: N.A.
C15A7.4,C15A7.4,lgc-24,1.59,0.027,C15A7.4,WBGene00045385,Sequence name for WBGene00045385(lgc-24). History: N.A.
C15B12.9,C15B12.9,,2.07,0.041,C15B12.9,WBGene00044573,Public name for WBGene00044573. History: N.A.
C15C7.1,C15C7.1,,2.26,0.0012,C15C7.1,WBGene00015789,Sequence name for WBGene00015789(syx-6). History: N.A.
C15C7.5,C15C7.5,,2.86,0.004,C15C7.5,WBGene00015791,Sequence name for WBGene00015791(bbln-1). History: Renamed on 2021-01-02
C15H11.4,C15H11.4,dhs-22,1.71,0.014,C15H11.4,WBGene00000985,Sequence name for WBGene00000985(dhs-22). History: N.A.
C15H9.4,C15H9.4,,2.61,0.0013,C15H9.4,WBGene00015800,Public name for WBGene00015800. History: N.A.
C15H9.5,C15H9.5.2,,1.56,0.039,C15H9.5,WBGene00015801,Public name for WBGene00015801. History: N.A.
C15H9.6,C15H9.6.2,hsp-3,-1.51,0.045,C15H9.6,WBGene00002007,Sequence name for WBGene00002007(hsp-3). History: N.A.
C15H9.9,C15H9.9.3,,1.45,0.032,C15H9.9,WBGene00015803,Public name for WBGene00015803. History: N.A.
C16A11.5,C16A11.5,,-1.38,0.048,C16A11.5,WBGene00015818,Public name for WBGene00015818. History: N.A.
C16A11.8,C16A11.8,clec-135,-6.18,0.0044,C16A11.8,WBGene00015821,Sequence name for WBGene00015821(clec-135). History: N.A.
C16A11.9,C16A11.9,,1.45,0.021,C16A11.9,WBGene00045297,Sequence name for WBGene00045297(fbxc-43). History: N.A.
C16A3.9,C16A3.9.1,rps-13,1.56,0.032,C16A3.9,WBGene00004482,Sequence name for WBGene00004482(rps-13). History: N.A.
C16B8.2,C16B8.2,,-1.64,0.012,C16B8.2,WBGene00015822,Public name for WBGene00015822. History: N.A.
C16C10.11,C16C10.11.1,,1.73,0.033,C16C10.11,WBGene00007630,Sequence name for WBGene00007630(har-1). History: N.A.
C16C10.4,C16C10.4.2,,1.74,0.0056,C16C10.4,WBGene00007625,Public name for WBGene00007625. History: N.A.
C16C2.2,C16C2.2a.2,eat-16,-1.56,0.018,C16C2.2,WBGene00001145,Sequence name for WBGene00001145(eat-16). History: N.A.
C16C2.4,C16C2.4,,-1.45,0.045,C16C2.4,WBGene00007621,Public name for WBGene00007621. History: N.A.
C16C4.2,C16C4.2,math-12,-1.6,0.031,C16C4.2,WBGene00015826,Sequence name for WBGene00015826(math-12). History: N.A.
C16C4.5,C16C4.5,math-15,1.41,0.05,C16C4.5,WBGene00015829,Sequence name for WBGene00015829(math-15). History: N.A.
C16C8.10,C16C8.10,,-3.88,0.014,C16C8.10,WBGene00015848,Public name for WBGene00015848. History: N.A.
C16C8.11,C16C8.11,,1.51,0.031,C16C8.11,WBGene00015849,Public name for WBGene00015849. History: N.A.
C16C8.19,C16C8.19,,-8.17,0.0022,C16C8.19,WBGene00015856,Public name for WBGene00015856. History: N.A.
C16C8.2,C16C8.2,,-1.63,0.0075,C16C8.2,WBGene00015841,Sequence name for WBGene00015841(skpo-2). History: N.A.
C16C8.7,C16C8.7,,-4.88,0.0058,C16C8.7,WBGene00015845,Public name for WBGene00015845. History: N.A.
C16C8.8,C16C8.8,,-3.05,0.015,C16C8.8,WBGene00015846,Public name for WBGene00015846. History: N.A.
C16C8.9,C16C8.9,,-10.41,0.0013,C16C8.9,WBGene00015847,Public name for WBGene00015847. History: N.A.
C16D6.3,C16D6.3,,6.03,4.2e-05,C16D6.3,,Public name for Dead gene WBGene00007636. History of WBGene00007636: Killed on 2019-05-20. Remark: No evidence for this gene.
C16E9.4,C16E9.4b,inx-1,5.24,3.1e-06,C16E9.4,WBGene00002123,Sequence name for WBGene00002123(inx-1). History: N.A.
C16H3.3,C16H3.3b,,-1.46,0.037,C16H3.3,WBGene00015868,Public name for WBGene00015868. History: N.A.
C17B7.10,C17B7.10,,2.43,0.0021,C17B7.10,WBGene00015884,Public name for WBGene00015884. History: N.A.
C17B7.4,C17B7.4,,2.26,0.0059,C17B7.4,WBGene00015878,Public name for WBGene00015878. History: N.A.
C17B7.9,C17B7.9,,1.72,0.041,C17B7.9,WBGene00015883,Public name for WBGene00015883. History: N.A.
C17C3.6,C17C3.6,,-1.29,0.038,C17C3.6,WBGene00015891,Public name for WBGene00015891. History: N.A.
C17E4.4,C17E4.4,,1.39,0.044,C17E4.4,WBGene00007644,Sequence name for WBGene00007644(mjl-1). History: N.A.
C17E7.12,C17E7.12,,1.8,0.012,C17E7.12,WBGene00015905,Public name for WBGene00015905. History: N.A.
C17E7.3,C17E7.3,sre-9,1.84,0.016,C17E7.3,WBGene00015898,Sequence name for WBGene00015898(sre-9). History: N.A.
C17F4.1,C17F4.1,clec-124,-2.32,0.0059,C17F4.1,WBGene00015909,Sequence name for WBGene00015909(clec-124). History: N.A.
C17F4.11,C17F4.11,,2.35,0.024,C17F4.11,WBGene00044373,Public name for WBGene00044373. History: N.A.
C17F4.4,C17F4.4,srh-297,-1.35,0.048,C17F4.4,WBGene00005501,Sequence name for WBGene00005501(srh-297). History: N.A.
C17G1.2,C17G1.2,,1.66,0.015,C17G1.2,WBGene00007649,Public name for WBGene00007649. History: N.A.
C17G10.1,C17G10.1.1,,1.97,0.016,C17G10.1,WBGene00015915,Public name for WBGene00015915. History: N.A.
C17H1.10,C17H1.10,,1.98,0.015,C17H1.10,WBGene00044237,Sequence name for WBGene00044237(pals-9). History: N.A.
C17H1.11,C17H1.11,,-1.35,0.047,C17H1.11,WBGene00044711,Sequence name for WBGene00044711(pals-10). History: N.A.
C17H1.12,C17H1.12,,-1.34,0.031,C17H1.12,WBGene00044722,Public name for WBGene00044722. History: N.A.
C17H1.2,C17H1.2,,-1.36,0.043,C17H1.2,WBGene00007655,Public name for WBGene00007655. History: N.A.
C17H1.3,C17H1.3,,2.6,0.009,C17H1.3,WBGene00007656,Sequence name for WBGene00007656(pals-2). History: N.A.
C17H1.7,C17H1.7,,1.5,0.039,C17H1.7,WBGene00007660,Sequence name for WBGene00007660(pals-6). History: N.A.
C17H1.9,C17H1.9,,2.4,0.041,C17H1.9,WBGene00007662,Sequence name for WBGene00007662(pals-8). History: N.A.
C17H11.4,C17H11.4,,-1.35,0.025,C17H11.4,WBGene00015924,Public name for WBGene00015924. History: N.A.
C18A11.1,C18A11.1,,1.63,0.025,C18A11.1,WBGene00015947,Public name for WBGene00015947. History: N.A.
C18A11.2,C18A11.2,,1.78,0.026,C18A11.2,WBGene00015948,Public name for WBGene00015948. History: N.A.
C18A3.10,C18A3.10,,1.63,0.032,C18A3.10,WBGene00015946,Public name for WBGene00015946. History: N.A.
C18A3.5,C18A3.5b,,-1.91,0.016,C18A3.5,WBGene00015943,Sequence name for WBGene00015943(tiar-1). History: N.A.
C18B10.6,C18B10.6,,-1.6,0.047,C18B10.6,WBGene00015963,Public name for WBGene00015963. History: N.A.
C18C4.10,C18C4.10b.3,klc-2,-1.39,0.037,C18C4.10,WBGene00002215,Sequence name for WBGene00002215(klc-2). History: N.A.
C18C4.2,C18C4.2,cft-1,-1.41,0.046,C18C4.2,WBGene00000477,Sequence name for WBGene00000477(cft-1). History: N.A.
C18C4.7,C18C4.7,,-1.38,0.037,C18C4.7,WBGene00015968,Public name for WBGene00015968. History: N.A.
C18D11.6,C18D11.6,,1.59,0.024,C18D11.6,WBGene00007682,Public name for WBGene00007682. History: N.A.
C18D11.9,C18D11.9,,1.59,0.038,C18D11.9,WBGene00045211,"Public name for WBGene00045211. History: Split into C18D11.10(WBGene00194727). History of WBGene00045211: Split into ""WBGene00194727"" on 2009-08-17"
C18D4.4,C18D4.4,,2.41,0.00027,C18D4.4,WBGene00007674,"Public name for WBGene00007674. History: Split into C18D4.12(WBGene00219493). History of WBGene00007674: Split into ""WBGene00219493"" on 2012-05-18"
C18D4.6,C18D4.6a,,2.35,9.7e-05,C18D4.6,WBGene00007675,Public name for WBGene00007675. History: N.A.
C18D4.8,C18D4.8,,1.75,0.0036,C18D4.8,WBGene00007677,Public name for WBGene00007677. History: N.A.
C18E9.6,C18E9.6,,1.37,0.04,C18E9.6,WBGene00007686,Sequence name for WBGene00007686(tomm-40). History: N.A.
C18H7.3,C18H7.3,col-102,-1.92,0.0092,C18H7.3,WBGene00000676,Sequence name for WBGene00000676(col-102). History: N.A.
C18H7.6,C18H7.6,,-1.55,0.023,C18H7.6,WBGene00015996,"Public name for WBGene00015996. History: Split into ""WBGene00194818"" on 2009-10-12"
C23F12.1,C23F12.1a,flna-1,-1.6,0.029,C23F12.1,WBGene00016006,Sequence name for WBGene00016006(fln-2). History: Renamed on 2009-10-28
C23G10.11,C23G10.11,,2.88,0.028,C23G10.11,WBGene00016017,Public name for WBGene00016017. History: N.A.
C23G10.3,C23G10.3.1,rps-3,1.77,0.0085,C23G10.3,WBGene00004472,Sequence name for WBGene00004472(rps-3). History: N.A.
C23G10.4,C23G10.4b,rpn-2,-1.46,0.037,C23G10.4,WBGene00004459,Sequence name for WBGene00004459(rpn-2). History: N.A.
C23H3.7,C23H3.7,tre-5,-1.42,0.047,C23H3.7,WBGene00006611,Sequence name for WBGene00006611(tre-5). History: N.A.
C23H5.10,C23H5.10,,-1.36,0.047,C23H5.10,WBGene00022940,Public name for WBGene00022940. History: N.A.
C23H5.12,C23H5.12,,-1.36,0.03,C23H5.12,WBGene00077523,Public name for WBGene00077523. History: N.A.
C23H5.8,C23H5.8a,,1.85,0.012,C23H5.8,WBGene00016027,Public name for WBGene00016027. History: N.A.
C24B9.15,C24B9.15,srg-60,1.76,0.045,C24B9.15,WBGene00005217,Sequence name for WBGene00005217(srg-60). History: N.A.
C24B9.4,C24B9.4a,srt-28,1.92,0.04,C24B9.4,WBGene00016049,Sequence name for WBGene00016049(srt-28). History: N.A.
C25A1.10,C25A1.10b,dao-5,-1.65,0.028,C25A1.10,WBGene00000931,Sequence name for WBGene00000931(dao-5). History: N.A.
C25D7.12,C25D7.12,,-1.4,0.039,C25D7.12,WBGene00007721,Public name for WBGene00007721. History: N.A.
C25D7.13,C25D7.13,,-1.57,0.03,C25D7.13,WBGene00007721,"Public name for Dead gene WBGene00014680. History of WBGene00014680: Merged into ""WBGene00007721"" on 2012-04-20"
C25D7.3,C25D7.3,sdc-3,-1.53,0.038,C25D7.3,WBGene00004747,Sequence name for WBGene00004747(sdc-3). History: N.A.
C25D7.9,C25D7.9,,1.5,0.045,C25D7.9,WBGene00007719,Public name for WBGene00007719. History: N.A.
C25E10.10,C25E10.10,,1.59,0.011,C25E10.10,WBGene00016099,Public name for WBGene00016099. History: N.A.
C25E10.13,C25E10.13,,1.88,0.018,C25E10.13,WBGene00023431,Public name for WBGene00023431. History: N.A.
C25E10.9,C25E10.9b.4,swm-1,1.8,0.0023,C25E10.9,WBGene00023417,"Sequence name for WBGene00023417(swm-1). History: N.A.. Public name for Dead gene WBGene00016098. History of WBGene00016098: Merged into ""WBGene00023417"" on 2004-11-15"
C25F6.2,C25F6.2a.2,dlg-1,-1.39,0.034,C25F6.2,WBGene00001006,Sequence name for WBGene00001006(dlg-1). History: N.A.
C25F6.4,C25F6.4,ddr-1,-1.69,0.0095,C25F6.4,WBGene00016104,Sequence name for WBGene00016104(ddr-1). History: N.A.
C25F9.10,C25F9.10,,1.78,0.021,C25F9.10,WBGene00044291,Public name for WBGene00044291. History: N.A.
C25F9.12,C25F9.12,,1.76,0.035,C25F9.12,WBGene00045412,Public name for WBGene00045412. History: N.A.
C25F9.15,C25F9.15,,2.29,0.049,C25F9.15,WBGene00050967,Public name for WBGene00050967. History: N.A.
C25F9.9,C25F9.9,,1.77,0.042,C25F9.9,WBGene00007728,Public name for WBGene00007728. History: N.A.
C25G4.11,C25G4.11,,1.44,0.032,C25G4.11,WBGene00007736,"Public name for Dead gene WBGene00007737. History of WBGene00007737: Merged into ""WBGene00007736"" on 2009-03-06"
