# Shown are DESeq2 fold-change values (vs rde-4) for all STGs in whole worm samples.  ""NaN"" stands for: not significatnly different compared to rde-4(-) sample (padjusted >0.1).
genes,P0 generation (Psng-1::rde-4 worms),"rde-4(-), F1 of Psng-1::rde-4 worms","rde-4(-), F3 of Psng-1::rde-4 worms",Input,Suggested Match,History
seu-1,0.466258433735963,,,seu-1,WBGene00004783,Public name for WBGene00004783. History: N.A.
taf-6.2,0.466574636074783,,,taf-6.2,WBGene00021363,Public name for WBGene00021363. History: N.A.
M04F3.5,0.467642948052327,,,M04F3.5,WBGene00019771,Public name for WBGene00019771. History: N.A.
taf-9,0.468908359572024,,,taf-9,WBGene00006391,Public name for WBGene00006391. History: N.A.
C47B2.2,0.469181009881544,,,C47B2.2,WBGene00008131,Public name for WBGene00008131. History: N.A.
C14B1.12,0.46980679321905,,,C14B1.12,WBGene00184990,Public name for WBGene00184990. History: N.A.
ragc-1,0.469856879323762,,,ragc-1,WBGene00012497,Public name for WBGene00012497. History: N.A.
Y73F8A.27,0.469885485718593,,,Y73F8A.27,WBGene00013532,Public name for WBGene00013532. History: N.A.
pdcd-2,0.469915598319777,,,pdcd-2,WBGene00011116,"Public name for WBGene00011116. History: Split into R07E5.19(WBGene00303105). History of WBGene00011116: Split into ""WBGene00303105"" on 2018-03-06"
C10G11.7,0.471872777492176,,,C10G11.7,WBGene00015687,Sequence name for WBGene00015687(chdp-1). History: N.A.
sod-1,0.473168493390496,,,sod-1,WBGene00004930,Public name for WBGene00004930. History: N.A.
rbx-1,0.474206325152583,,,rbx-1,WBGene00004320,Public name for WBGene00004320. History: N.A.
vig-1,0.476375058050838,,,vig-1,WBGene00006924,Public name for WBGene00006924. History: N.A.
T22H9.1,0.478263239016992,,,T22H9.1,WBGene00020705,Public name for WBGene00020705. History: N.A.
pgk-1,0.480698880456334,,,pgk-1,WBGene00020185,Public name for WBGene00020185. History: N.A.
rps-2,0.481955727081862,,,rps-2,WBGene00004471,Public name for WBGene00004471. History: N.A.
atfs-1,0.481993887075542,,,atfs-1,WBGene00013878,Public name for WBGene00013878. History: N.A.
vha-11,0.482171001811888,,,vha-11,WBGene00006920,Public name for WBGene00006920. History: N.A.
sar-1,0.484112222690616,,,sar-1,WBGene00022678,Public name for WBGene00022678. History: N.A.
asd-1,0.485033778897658,,,asd-1,WBGene00011279,Public name for WBGene00011279. History: N.A.
jamp-1,0.485688135981053,,,jamp-1,WBGene00019807,Public name for WBGene00019807. History: N.A.
Y82E9BR.14,0.486243604339411,,,Y82E9BR.14,WBGene00022347,Public name for WBGene00022347. History: N.A.
scav-2,0.487927868085548,,,scav-2,WBGene00013578,Public name for WBGene00013578. History: N.A.
C36B1.9,0.488322497942252,,,C36B1.9,WBGene00007976,Public name for WBGene00007976. History: N.A.
etr-1,0.48946089527643,,,etr-1,WBGene00001340,Public name for WBGene00001340. History: N.A.
tag-261,0.489995061870569,,,tag-261,WBGene00020300,Other name for WBGene00020300(ssna-1). History: Renamed on 2019-07-15
him-6,0.490775532781919,,,him-6,WBGene00001865,Public name for WBGene00001865. History: N.A.
unc-26,0.491318626377207,,,unc-26,WBGene00006763,Public name for WBGene00006763. History: N.A.
tufm-1,0.492524683484816,,,tufm-1,WBGene00007000,Public name for WBGene00007000. History: N.A.
K06B9.2,0.493084922335849,,,K06B9.2,WBGene00019439,Public name for WBGene00019439. History: N.A.
eif-1,0.494314730326016,,,eif-1,WBGene00020868,"Public name for WBGene00020868. History: Split into pigb-1(WBGene00194986). History of WBGene00020868: Split into ""WBGene00194986"" on 2010-02-19"
H06O01.4,0.494664369902107,0.516371303304475,,H06O01.4,WBGene00010371,Public name for WBGene00010371. History: N.A.
Y37A1B.17,0.495861720486746,,,Y37A1B.17,WBGene00044989,Sequence name for WBGene00044989(dnbp-1). History: N.A.
smg-4,0.496536489692195,,,smg-4,WBGene00004882,Public name for WBGene00004882. History: N.A.
rnp-4,0.497123555309457,,,rnp-4,WBGene00004387,Public name for WBGene00004387. History: N.A.
C39E9.12,0.497296671105041,,,C39E9.12,WBGene00008035,Public name for WBGene00008035. History: N.A.
pqn-82,0.497537525127853,,,pqn-82,WBGene00004163,Public name for WBGene00004163. History: N.A.
gpb-1,0.497990363277395,,,gpb-1,WBGene00001679,"Public name for WBGene00001679. History: Split into F44E5.17(WBGene00303054). History of WBGene00001679: Split into ""WBGene00303054"" on 2018-03-02"
F25B4.5,0.499298916698747,,,F25B4.5,WBGene00017768,Sequence name for WBGene00017768(prp-39). History: N.A.
egg-4,0.500242195655641,0.5586236247845169,,egg-4,WBGene00020652,Public name for WBGene00020652. History: N.A.
Y82E9BR.3,0.503806801220949,,,Y82E9BR.3,WBGene00022336,Public name for WBGene00022336. History: N.A.
emr-1,0.504480877185378,,,emr-1,WBGene00001309,Public name for WBGene00001309. History: N.A.
Y75B8A.14,0.504793933189236,,,Y75B8A.14,WBGene00013550,Public name for WBGene00013550. History: N.A.
R05F9.6,0.504986265580786,,,R05F9.6,WBGene00019890,Public name for WBGene00019890. History: N.A.
jmjd-2,0.506489298963522,,,jmjd-2,WBGene00012982,Public name for WBGene00012982. History: N.A.
rpl-1,0.508114386523186,,,rpl-1,WBGene00004412,Public name for WBGene00004412. History: Renamed on 2004-07-05
rme-2,0.508608125691854,,,rme-2,WBGene00004374,Public name for WBGene00004374. History: N.A.
F15D3.8,0.510160833550336,,,F15D3.8,WBGene00008858,Sequence name for WBGene00008858(pals-1). History: N.A.
elb-1,0.510509329625932,,,elb-1,WBGene00001235,Public name for WBGene00001235. History: N.A.
rpl-18,0.512023261634834,,,rpl-18,WBGene00004430,Public name for WBGene00004430. History: N.A.
mff-2,0.512754281041273,,,mff-2,WBGene00018894,Public name for WBGene00018894. History: N.A.
rpl-5,0.513214335694331,,,rpl-5,WBGene00004416,Public name for WBGene00004416. History: N.A.
chch-3,0.513553672491416,,,chch-3,WBGene00010942,Public name for WBGene00010942. History: N.A.
rpl-38,0.513659591741577,,,rpl-38,WBGene00004452,Public name for WBGene00004452. History: N.A.
fipp-1,0.514060530656563,,,fipp-1,WBGene00017988,Public name for WBGene00017988. History: N.A.
gpd-1,0.514197739981031,,,gpd-1,WBGene00001683,Public name for WBGene00001683. History: N.A.
cey-2,0.515191782338421,,,cey-2,WBGene00000473,Public name for WBGene00000473. History: N.A.
F56D5.4,0.516354428809858,,,F56D5.4,WBGene00014772,Public name for WBGene00014772. History: N.A.
pfd-5,0.516533935698758,,,pfd-5,WBGene00020112,Public name for WBGene00020112. History: N.A.
egg-1,0.517060676112411,,,egg-1,WBGene00015083,Public name for WBGene00015083. History: N.A.
rnp-5,0.517333374867802,,,rnp-5,WBGene00004388,Public name for WBGene00004388. History: N.A.
CD4.3,0.518089405023545,,,CD4.3,WBGene00016989,Sequence name for WBGene00016989(mrpl-48). History: N.A.
gln-6,0.518907744465137,,,gln-6,WBGene00001607,Public name for WBGene00001607. History: N.A.
Y38F2AR.10,0.518927006607665,,,Y38F2AR.10,WBGene00021428,Public name for WBGene00021428. History: N.A.
F30B5.4,0.520020059807384,,,F30B5.4,WBGene00017934,Public name for WBGene00017934. History: N.A.
kin-10,0.520979774912022,,,kin-10,WBGene00002196,Public name for WBGene00002196. History: N.A.
clec-87,0.521827363130507,,,clec-87,WBGene00007709,Public name for WBGene00007709. History: Renamed on 2006-06-15
Y47G6A.7,0.522397127558426,0.503800805430601,,Y47G6A.7,WBGene00021637,Public name for WBGene00021637. History: N.A.
C16C10.2,0.522647796825987,,,C16C10.2,WBGene00007623,Public name for WBGene00007623. History: N.A.
W03G9.3,0.523934382331304,,,W03G9.3,WBGene00021015,Sequence name for WBGene00021015(enu-3.3). History: N.A.
rpl-2,0.524074022492982,,,rpl-2,WBGene00004413,Public name for WBGene00004413. History: N.A.
enu-3,0.524889038975142,,,enu-3,WBGene00010362,Other name for WBGene00010362(enu-3.1). History: Renamed on 2014-04-28
snr-6,0.525675143849781,,,snr-6,WBGene00004919,Public name for WBGene00004919. History: N.A.
Y23H5A.3,0.525685322149175,,,Y23H5A.3,WBGene00021270,Sequence name for WBGene00021270(pid-3). History: Renamed on 2019-11-21
mex-6,0.526777177530889,,,mex-6,WBGene00003231,Public name for WBGene00003231. History: N.A.
F54D10.5,0.527983936044329,,,F54D10.5,WBGene00018806,Public name for WBGene00018806. History: N.A.
Y43F4B.10,0.528018277920766,,,Y43F4B.10,WBGene00012807,Public name for WBGene00012807. History: N.A.
T02H6.11,0.528840399209359,,,T02H6.11,WBGene00020181,Public name for WBGene00020181. History: Renamed on 2005-03-17
Y69A2AR.18,0.530075996588133,,,Y69A2AR.18,WBGene00022089,Public name for WBGene00022089. History: N.A.
lap-2,0.530214041346849,,,lap-2,WBGene00002250,Public name for WBGene00002250. History: N.A.
rsp-1,0.530338983105051,,,rsp-1,WBGene00004698,Public name for WBGene00004698. History: N.A.
C26B2.7,0.530647708127506,,,C26B2.7,WBGene00016129,Public name for WBGene00016129. History: N.A.
hsp-1,0.530926884889093,,,hsp-1,WBGene00002005,Public name for WBGene00002005. History: N.A.
atp-5,0.531214980716999,,,atp-5,WBGene00007385,Public name for WBGene00007385. History: N.A.
gsa-1,0.531225409694064,,,gsa-1,WBGene00001745,Public name for WBGene00001745. History: N.A.
mog-2,0.531410707997692,,,mog-2,WBGene00003390,Public name for WBGene00003390. History: Renamed on 2011-05-05
stam-1,0.531730415511535,,,stam-1,WBGene00004109,Public name for WBGene00004109. History: N.A.
tig-2,0.53223362162491,,,tig-2,WBGene00006570,Public name for WBGene00006570. History: N.A.
Y54G2A.17,0.533875502601753,,,Y54G2A.17,WBGene00021882,Sequence name for WBGene00021882(nprt-1). History: N.A.
ZC317.7,0.534448208807875,,,ZC317.7,WBGene00022590,Public name for WBGene00022590. History: N.A.
rpb-7,0.53544196510033,,,rpb-7,WBGene00021845,Public name for WBGene00021845. History: N.A.
rps-7,0.536533956868288,,,rps-7,WBGene00004476,Public name for WBGene00004476. History: N.A.
hil-5,0.537456385938235,,,hil-5,WBGene00001856,Public name for WBGene00001856. History: Renamed on 2010-11-12
gpd-4,0.537604666752834,,,gpd-4,WBGene00001686,Public name for WBGene00001686. History: N.A.
vha-13,0.538383388482091,,,vha-13,WBGene00013025,Public name for WBGene00013025. History: Renamed on 2005-03-17
Y37E11AL.3,0.538631348793774,,,Y37E11AL.3,WBGene00021359,Public name for WBGene00021359. History: N.A.
F49C12.9,0.541446769428137,,,F49C12.9,WBGene00009878,Public name for WBGene00009878. History: N.A.
gsr-1,0.541676802758493,,,gsr-1,WBGene00008117,Public name for WBGene00008117. History: N.A.
R148.3,0.542232177397145,,,R148.3,WBGene00020102,Public name for WBGene00020102. History: N.A.
ubxn-3,0.543080432150969,,,ubxn-3,WBGene00018586,Public name for WBGene00018586. History: N.A.
let-70,0.544522451254453,,,let-70,WBGene00002344,Public name for WBGene00002344. History: N.A.
K12C11.1,0.545618886408688,,,K12C11.1,WBGene00019673,Public name for WBGene00019673. History: N.A.
atf-7,0.546122531590329,,,atf-7,WBGene00000223,"Public name for WBGene00000223. History: Split into C07G2.5(WBGene00303035). History of WBGene00000223: Split into ""WBGene00303035"" on 2018-03-02"
eif-6,0.546211092934593,,,eif-6,WBGene00001234,Public name for WBGene00001234. History: N.A.
imp-2,0.546518070265837,,,imp-2,WBGene00011481,Public name for WBGene00011481. History: N.A.
rpl-14,0.546603319448273,,,rpl-14,WBGene00004426,Public name for WBGene00004426. History: N.A.
H20J04.6,0.546794904717187,,,H20J04.6,WBGene00019221,Public name for WBGene00019221. History: N.A.
act-2,0.546992951529141,,,act-2,WBGene00000064,Public name for WBGene00000064. History: N.A.
Y44E3A.4,0.548056778306526,,,Y44E3A.4,WBGene00021549,Sequence name for WBGene00021549(cdap-2). History: N.A.
Y51H1A.3,0.548411081631592,,,Y51H1A.3,WBGene00013094,Public name for WBGene00013094. History: N.A.
fkb-2,0.548949032828888,,,fkb-2,WBGene00001427,Public name for WBGene00001427. History: N.A.
map-1,0.549831066052771,,,map-1,WBGene00003129,Public name for WBGene00003129. History: N.A.
chs-2,0.550140066315356,,,chs-2,WBGene00000497,Public name for WBGene00000497. History: N.A.. Other name for WBGene00000496(chs-1). History: N.A.
psf-1,0.551607337004333,,,psf-1,WBGene00011275,Public name for WBGene00011275. History: N.A.. Other name for WBGene00017778(nono-1). History: Renamed on 2013-07-10
rnf-1,0.551988559511073,,,rnf-1,WBGene00004380,Public name for WBGene00004380. History: N.A.
elc-1,0.55318316561063,,,elc-1,WBGene00001236,Public name for WBGene00001236. History: N.A.
F32B4.4,0.553274009897472,,,F32B4.4,WBGene00009314,Sequence name for WBGene00009314(phm-2). History: N.A.
klp-15,0.554999921805065,,,klp-15,WBGene00002225,Public name for WBGene00002225. History: N.A.
F41C3.4,0.555140645825205,,,F41C3.4,WBGene00018270,Sequence name for WBGene00018270(eas-1). History: N.A.
mrps-22,0.556124837545127,,,mrps-22,WBGene00007564,Public name for WBGene00007564. History: N.A.
rme-1,0.556707277026661,0.569557098878353,,rme-1,WBGene00004373,Public name for WBGene00004373. History: N.A.
rsp-4,0.556747912389377,,,rsp-4,WBGene00004701,Public name for WBGene00004701. History: N.A.
ben-1,0.556908608614542,,,ben-1,WBGene00000248,Public name for WBGene00000248. History: N.A.
eif-3.J,0.557721021932093,,,eif-3.J,WBGene00012738,Public name for WBGene00012738. History: N.A.
pod-1,0.557969802581447,,,pod-1,WBGene00004075,Public name for WBGene00004075. History: N.A.
C15C6.4,0.558989618971505,,,C15C6.4,WBGene00007603,Sequence name for WBGene00007603(popl-4). History: N.A.
him-19,0.559530865823674,,,him-19,WBGene00022390,Public name for WBGene00022390. History: N.A.
his-68,0.561385580018523,,,his-68,WBGene00001942,Public name for WBGene00001942. History: N.A.
eef-1A.1,0.561728495979354,,,eef-1A.1,WBGene00001168,Public name for WBGene00001168. History: Renamed on 2005-09-08; Renamed on 2010-08-03
rps-0,0.562030360672522,,,rps-0,WBGene00004469,Public name for WBGene00004469. History: N.A.
F28F8.5,0.562073040303196,,,F28F8.5,WBGene00009223,Sequence name for WBGene00009223(mdt-28). History: N.A.
nhr-65,0.563982554613996,,,nhr-65,WBGene00003655,Public name for WBGene00003655. History: N.A.
polg-1,0.5644921834128,,,polg-1,WBGene00013258,Public name for WBGene00013258. History: N.A.
mdh-2,0.565292542461745,,,mdh-2,WBGene00003162,Public name for WBGene00003162. History: Renamed on 2010-08-18
ife-1,0.566159567891871,,,ife-1,WBGene00002059,Public name for WBGene00002059. History: N.A.
dnj-28,0.566496440782732,,,dnj-28,WBGene00001046,Public name for WBGene00001046. History: N.A.
trap-1,0.567440921194307,,,trap-1,WBGene00022122,Public name for WBGene00022122. History: N.A.
F30A10.3,0.56792045013765,,,F30A10.3,WBGene00009262,Public name for WBGene00009262. History: N.A.
C25D7.5,0.568020382134247,,,C25D7.5,WBGene00007717,Public name for WBGene00007717. History: N.A.
dad-1,0.568119151634828,,,dad-1,WBGene00000896,Public name for WBGene00000896. History: N.A.
oma-1,0.569274279845494,,,oma-1,WBGene00003864,Public name for WBGene00003864. History: N.A.
lgg-2,0.570664535251816,,,lgg-2,WBGene00002981,Public name for WBGene00002981. History: Renamed on 2008-02-29
ddp-1,0.571270426797312,,,ddp-1,WBGene00000941,Public name for WBGene00000941. History: N.A.
rpl-13,0.571524665327336,,,rpl-13,WBGene00004425,Public name for WBGene00004425. History: N.A.
Y111B2A.2,0.571664481447961,,,Y111B2A.2,WBGene00013728,Public name for WBGene00013728. History: N.A.
fli-1,0.572338237287087,0.6056317594503628,,fli-1,WBGene00001443,Public name for WBGene00001443. History: N.A.
K05C4.2,0.57329311328365,,,K05C4.2,WBGene00010579,Public name for WBGene00010579. History: N.A.
egl-21,0.573948778662249,,,egl-21,WBGene00001189,Public name for WBGene00001189. History: N.A.
Y46G5A.18,0.574127140955462,,,Y46G5A.18,WBGene00012908,"Public name for WBGene00012908. History: Split into Y46G5A.47(WBGene00303089). History of WBGene00012908: Split into ""WBGene00303089"" on 2018-03-02"
trap-4,0.574725613226613,,,trap-4,WBGene00013238,Public name for WBGene00013238. History: N.A.
M01F1.9,0.575561688306951,,,M01F1.9,WBGene00010815,Public name for WBGene00010815. History: N.A.
W03G9.2,0.575583605729445,,,W03G9.2,WBGene00021014,Sequence name for WBGene00021014(pid-4). History: N.A.
arx-5,0.575763229909192,,,arx-5,WBGene00000203,Public name for WBGene00000203. History: N.A.
tag-319,0.576980195820581,,,tag-319,WBGene00077732,Other name for WBGene00077732(szy-4). History: Renamed on 2012-08-15
tfg-1,0.577583855030075,,,tfg-1,WBGene00006565,Public name for WBGene00006565. History: N.A.
H04D03.2,0.57868529439121,,,H04D03.2,WBGene00010363,"Public name for WBGene00010363. History: Split into H04D03.6(WBGene00194861). History of WBGene00010363: Split into ""WBGene00194861"" on 2009-11-16"
din-1,0.578894981582593,,,din-1,WBGene00008549,Public name for WBGene00008549. History: N.A.
egg-3,0.579484257546099,,,egg-3,WBGene00009701,Public name for WBGene00009701. History: N.A.
rpl-7A,0.580128516382265,,,rpl-7A,WBGene00004419,Public name for WBGene00004419. History: Renamed on 2005-03-17
ced-9,0.580272953204877,,,ced-9,WBGene00000423,Public name for WBGene00000423. History: N.A.
alh-8,0.580548706431548,,,alh-8,WBGene00000114,Public name for WBGene00000114. History: N.A.
T19H12.2,0.581135678502294,,,T19H12.2,WBGene00020588,Public name for WBGene00020588. History: N.A.
mrps-28,0.581296123450004,,,mrps-28,WBGene00012830,Public name for WBGene00012830. History: N.A.
rars-1,0.581338101465336,,,rars-1,WBGene00004679,Public name for WBGene00004679. History: Renamed on 2010-01-29
djr-1.1,0.581837123453075,,,djr-1.1,WBGene00015184,Public name for WBGene00015184. History: N.A.
F08F8.4,0.582004104948023,,,F08F8.4,WBGene00017269,Public name for WBGene00017269. History: N.A.
ech-2,0.582665579207362,,,ech-2,WBGene00001151,Public name for WBGene00001151. History: N.A.
mrpl-17,0.583175846295056,,,mrpl-17,WBGene00021829,Public name for WBGene00021829. History: N.A.
sygl-1,0.583404278382985,,,sygl-1,WBGene00012104,Public name for WBGene00012104. History: N.A.
C05D11.1,0.583896758192294,,,C05D11.1,WBGene00015481,Public name for WBGene00015481. History: N.A.
C17E4.11,0.585296267605428,,,C17E4.11,WBGene00044236,Public name for WBGene00044236. History: N.A.
gsy-1,0.586384000033884,,,gsy-1,WBGene00001793,Public name for WBGene00001793. History: N.A.
Y38F1A.8,0.586849618318299,,,Y38F1A.8,WBGene00012610,Public name for WBGene00012610. History: N.A.
Y73B3A.21,0.586906202787254,,,Y73B3A.21,WBGene00022222,Public name for WBGene00022222. History: N.A.
F32D1.7,0.588352268062657,,,F32D1.7,WBGene00017986,Public name for WBGene00017986. History: N.A.
eef-1G,0.588644906020395,,,eef-1G,WBGene00008920,Public name for WBGene00008920. History: N.A.
rpl-36,0.589792053669985,,,rpl-36,WBGene00004450,Public name for WBGene00004450. History: N.A.
Y57A10A.29,0.590185715759914,,,Y57A10A.29,WBGene00013269,Public name for WBGene00013269. History: N.A.
C50D2.7,0.590341778916521,,,C50D2.7,WBGene00016810,Public name for WBGene00016810. History: N.A.
cdc-37,0.59116237736962,,,cdc-37,WBGene00021097,Public name for WBGene00021097. History: N.A.
mom-2,0.592761046012866,,,mom-2,WBGene00003395,Public name for WBGene00003395. History: N.A.
rsp-6,0.593601915013375,,,rsp-6,WBGene00004703,Public name for WBGene00004703. History: N.A.
F43G6.7,0.594325819686306,,,F43G6.7,WBGene00009659,Public name for WBGene00009659. History: N.A.
rla-0,0.5945519556794,,,rla-0,WBGene00004408,Public name for WBGene00004408. History: Renamed on 2010-03-08
R05G6.7,0.594578582625989,,,R05G6.7,WBGene00019900,Sequence name for WBGene00019900(vdac-1). History: N.A.
his-74,0.594620103254666,,,his-74,WBGene00012276,Public name for WBGene00012276. History: N.A.
uev-1,0.59837526755784,,,uev-1,WBGene00006730,Public name for WBGene00006730. History: N.A.
Y45G5AM.9,0.59878043386421,,,Y45G5AM.9,WBGene00021561,Public name for WBGene00021561. History: N.A.
T27E9.2,0.59930204465722,,,T27E9.2,WBGene00012094,Public name for WBGene00012094. History: N.A.
snx-3,0.599548190512622,,,snx-3,WBGene00006503,Public name for WBGene00006503. History: Renamed on 2007-07-20
try-1,0.599699436847219,,,try-1,WBGene00006619,Public name for WBGene00006619. History: N.A.
tkt-1,0.600203855307293,,,tkt-1,WBGene00008506,Public name for WBGene00008506. History: N.A.
spg-7,0.600284694885357,,,spg-7,WBGene00004978,Public name for WBGene00004978. History: Renamed on 2005-03-17; Renamed on 2015-03-05
Y57A10A.31,0.60158311031561,,,Y57A10A.31,WBGene00013270,Public name for WBGene00013270. History: N.A.
Y48G1C.12,0.601717291774382,,,Y48G1C.12,WBGene00044345,Public name for WBGene00044345. History: N.A.
F35G12.4,0.602617452870153,,,F35G12.4,WBGene00009441,Sequence name for WBGene00009441(wdr-48). History: N.A.
Y66D12A.14,0.604334051276913,0.524156945158949,,Y66D12A.14,WBGene00013440,Sequence name for WBGene00013440(nrps-1). History: N.A.
dys-1,0.604445170637803,,,dys-1,WBGene00001131,Public name for WBGene00001131. History: N.A.
smo-1,0.606577375666509,,,smo-1,WBGene00004888,Public name for WBGene00004888. History: N.A.
F54D7.7,0.606853298128018,,,F54D7.7,WBGene00023068,Sequence name for WBGene00023068(rpl-41.2). History: N.A.
cuc-1,0.608397564432921,,,cuc-1,WBGene00000835,Public name for WBGene00000835. History: N.A.
F14B4.2,0.610448994588507,0.6638403270556649,,F14B4.2,WBGene00008780,Sequence name for WBGene00008780(hxk-1). History: N.A.
pph-4.2,0.611883091245878,,,pph-4.2,WBGene00004086,Public name for WBGene00004086. History: N.A.
rict-1,0.615953348331407,,,rict-1,WBGene00009245,Public name for WBGene00009245. History: Renamed on 2009-04-22
Y63D3A.7,0.617002965410525,,,Y63D3A.7,WBGene00013406,Public name for WBGene00013406. History: N.A.
par-5,0.617692691284951,,,par-5,WBGene00003920,Public name for WBGene00003920. History: N.A.
ubl-1,0.617706618925486,,,ubl-1,WBGene00006725,Public name for WBGene00006725. History: N.A.
T14B4.2,0.618473470811756,,,T14B4.2,WBGene00020499,Sequence name for WBGene00020499(mrps-18.C). History: N.A.
bath-36,0.618480916668361,,,bath-36,WBGene00013569,Public name for WBGene00013569. History: N.A.
M04D5.1,0.61894425733456,,,M04D5.1,WBGene00014807,Public name for WBGene00014807. History: N.A.
ZK673.2,0.619438203087324,,,ZK673.2,WBGene00014058,Public name for WBGene00014058. History: N.A.
Y53F4B.3,0.619533021393356,,,Y53F4B.3,WBGene00013150,Sequence name for WBGene00013150(pole-4). History: N.A.
Y66D12A.3,0.619533674428243,,,Y66D12A.3,WBGene00013429,Public name for WBGene00013429. History: N.A.
atg-4.1,0.619610350060765,,,atg-4.1,WBGene00013595,Public name for WBGene00013595. History: N.A.
T24D1.3,0.62008005917428,0.627667710199523,,T24D1.3,WBGene00011986,Public name for WBGene00011986. History: N.A.
sip-1,0.620143699579918,,,sip-1,WBGene00004798,Public name for WBGene00004798. History: N.A.
ret-1,0.620549121339015,,,ret-1,WBGene00004336,Public name for WBGene00004336. History: N.A.
sti-1,0.620829959112191,,,sti-1,WBGene00019983,Public name for WBGene00019983. History: N.A.
asb-1,0.621181993711024,,,asb-1,WBGene00000206,Public name for WBGene00000206. History: N.A.
tag-277,0.621418309186011,0.638133385196146,,tag-277,WBGene00044324,Other name for WBGene00044324(ufm-1). History: Renamed on 2013-03-15
gyg-2,0.622248791682434,,,gyg-2,WBGene00012020,Public name for WBGene00012020. History: N.A.
him-5,0.622366335245634,,,him-5,WBGene00001864,Public name for WBGene00001864. History: N.A.
D2085.6,0.623132832907758,,,D2085.6,WBGene00008431,Sequence name for WBGene00008431(piga-1). History: N.A.
cpt-1,0.62410890727782,,,cpt-1,WBGene00012907,Public name for WBGene00012907. History: N.A.
C16A3.5,0.624882116547499,,,C16A3.5,WBGene00015810,Public name for WBGene00015810. History: N.A.
cpg-1,0.625501941737309,,,cpg-1,WBGene00000465,Public name for WBGene00000465. History: Renamed on 2006-06-16; Renamed on 2008-01-14
Y102A5C.4,0.626511506188135,0.555264718421538,,Y102A5C.4,WBGene00013613,Public name for WBGene00013613. History: N.A.
W02F12.3,0.629667637635786,,,W02F12.3,WBGene00020948,Sequence name for WBGene00020948(era-1). History: N.A.
T01C3.3,0.629737109798728,,,T01C3.3,WBGene00011320,Public name for WBGene00011320. History: N.A.
rps-26,0.632105712676213,,,rps-26,WBGene00004495,Public name for WBGene00004495. History: N.A.
K08E3.4,0.632754634460291,,,K08E3.4,WBGene00010664,Sequence name for WBGene00010664(dbn-1). History: N.A.
hsp-6,0.635852773385547,,,hsp-6,WBGene00002010,Public name for WBGene00002010. History: N.A.
F22B5.5,0.637206333155801,,,F22B5.5,WBGene00009043,Public name for WBGene00009043. History: N.A.
R11A5.4,0.637477701820554,,,R11A5.4,WBGene00011232,Sequence name for WBGene00011232(pck-2). History: N.A.
cct-5,0.637975800875919,,,cct-5,WBGene00000380,Public name for WBGene00000380. History: N.A.
rps-14,0.638080247862514,,,rps-14,WBGene00004483,Public name for WBGene00004483. History: N.A.
coq-4,0.638810674593506,,,coq-4,WBGene00000764,Public name for WBGene00000764. History: N.A.
kel-1,0.63926438373398,,,kel-1,WBGene00002184,Public name for WBGene00002184. History: N.A.
Y57A10A.10,0.639377594817609,,,Y57A10A.10,WBGene00013255,Sequence name for WBGene00013255(tric-1B.1). History: N.A.
C05C10.5,0.639890353852702,,,C05C10.5,WBGene00007332,Public name for WBGene00007332. History: N.A.
chk-1,0.641759400790633,,,chk-1,WBGene00000498,Public name for WBGene00000498. History: N.A.
rps-18,0.641964421237906,,,rps-18,WBGene00004487,Public name for WBGene00004487. History: N.A.
sel-9,0.642197940410344,,,sel-9,WBGene00004766,Public name for WBGene00004766. History: Renamed on 2019-01-09
nuo-3,0.642595615668064,,,nuo-3,WBGene00013308,"Public name for WBGene00013308. History: Split into Y57G11C.1147(WBGene00303007). History of WBGene00013308: Split into ""WBGene00303007"" on 2018-03-06"
B0365.1,0.644781500552724,,,B0365.1,WBGene00007150,Sequence name for WBGene00007150(acly-2). History: N.A.
puf-7,0.645280504405548,,,puf-7,WBGene00004243,Public name for WBGene00004243. History: N.A.
rps-9,0.645470606158348,,,rps-9,WBGene00004478,Public name for WBGene00004478. History: N.A.
Y66D12A.16,0.645924955746247,,,Y66D12A.16,WBGene00013442,Public name for WBGene00013442. History: N.A.
W01D2.5,0.64755349402918,,,W01D2.5,WBGene00012182,Sequence name for WBGene00012182(osta-3). History: N.A.
Y38F2AR.9,0.647769984047333,,,Y38F2AR.9,WBGene00021427,Sequence name for WBGene00021427(sec-61.B). History: N.A.
F21D5.2,0.64791425356766,,,F21D5.2,WBGene00009007,Sequence name for WBGene00009007(otub-3). History: N.A.
H43I07.1,0.650633372685153,,,H43I07.1,WBGene00019274,Public name for WBGene00019274. History: N.A.
F18A1.7,0.651098783468016,,,F18A1.7,WBGene00017548,Public name for WBGene00017548. History: N.A.
spsb-2,0.651736275091962,,,spsb-2,WBGene00021596,Public name for WBGene00021596. History: N.A.
Y97E10AR.7,0.652165961469046,,,Y97E10AR.7,WBGene00022402,Sequence name for WBGene00022402(lmtr-2). History: N.A.
F15D3.7,0.653356614635616,,,F15D3.7,WBGene00008857,Sequence name for WBGene00008857(timm-23). History: N.A.
lsy-13,0.654100494463332,,,lsy-13,WBGene00020287,Public name for WBGene00020287. History: N.A.
wee-1.3,0.65512339086161,,,wee-1.3,WBGene00006940,Public name for WBGene00006940. History: N.A.
rps-29,0.656163197630578,,,rps-29,WBGene00004498,Public name for WBGene00004498. History: N.A.
rps-5,0.656497445445661,,,rps-5,WBGene00004474,Public name for WBGene00004474. History: N.A.
