# Supplemental Table 2- The 'adr-1 adr-2 gene expression' tab lists genes with altered mRNA levels in adr-1(-/-);adr-2(-/-) worms compared to WT. All listed genes were statistically significant at p ≤ 0.05. There were 1,746 mRNAs increased and 1,571 mRNAs decreased ≥1.2-fold. The 'mRNAs targeted by miRNAs' tab includes information on mRNAs that are predicted targets of miRNAs. The 'Dicer Helicase dependent Loci' tab summarizes our re-analysis of data previously reported in (Welker et al. 2010), and includes all loci with a significantly different number of reads (p-value ≤0.05), as determined by Defined Region Scan Sequences (Nix et al. 2008). Only loci with ≥1.2-fold changes in the mutant strain compared to WT are reported.
Gene Locus,Chromosome,Strand,Gene chr start position,Gene chr stop position,Normalized number of WT reads,Normalized number of Dcr-1(-/-)K39A reads,Fold Change (mutant vs WT),pVal,Strand(s) affected,Input,Suggested Match,History
H34C03.2,chrIV,+,6757294,6762572,47,26,-1.77,0.02,Antisense,H34C03.2,WBGene00019259,Public name for WBGene00019259. History: N.A.
R09B3.3,chrI,-,11910317,11911011,20,6,-2.96,0.035,Antisense,R09B3.3,WBGene00011156,Sequence name for WBGene00011156(rbm-3.2). History: N.A.
T05H10.5,chrII,+,8062672,8068038,35,15,-2.22,0.012,Antisense,T05H10.5,WBGene00006734,Sequence name for WBGene00006734(ufd-2). History: N.A.
T25G12.11,chrX,-,17236816,17237770,15,2,-5.26,0.012,Antisense,T25G12.11,WBGene00020817,Public name for WBGene00020817. History: N.A.
T27C10.8,chrI,+,10883594,10884183,25,10,-2.33,0.024,Antisense,T27C10.8,WBGene00077519,Public name for WBGene00077519. History: N.A.
Y18D10A.19,chrI,+,12918714,12919094,52,21,-2.4,0.0013,Antisense,Y18D10A.19,WBGene00001427,Sequence name for WBGene00001427(fkb-2). History: N.A.
Y40B10A.1,chrV,+,2068448,2069143,59,34,-1.72,0.013,Antisense,Y40B10A.1,WBGene00021486,Sequence name for WBGene00021486(lbp-9). History: N.A.
Y57G11C.8,chrIV,+,14781797,14783251,0,11,12.0,0.031,Antisense,Y57G11C.8,WBGene00013306,Public name for WBGene00013306. History: N.A.
Y65B4BL.2,chrI,+,506479,509059,59,24,-2.41,0.00059,Antisense,Y65B4BL.2,WBGene00022034,Sequence name for WBGene00022034(deps-1). History: N.A.
Y76A2A.1,chrIII,+,13459461,13460500,20,64,-0.32,0.00086,Antisense,Y76A2A.1,WBGene00006509,Sequence name for WBGene00006509(tag-164). History: N.A.
Y82E9BR.6,chrIII,+,1381434,1381617,12,0,-13.33,0.0014,Antisense,Y82E9BR.6,WBGene00022339,Public name for WBGene00022339. History: N.A.
ZK1010.5,chrIII,-,12984381,12987382,17,3,-4.56,0.012,Antisense,ZK1010.5,WBGene00014179,Public name for WBGene00014179. History: N.A.
ZK484.5,chrI,-,6087370,6087766,17,4,-3.65,0.024,Antisense,ZK484.5,WBGene00022751,Sequence name for WBGene00022751(msrp-2). History: N.A.
ZK637.8,chrIII,+,8905524,8911657,54,20,-2.63,0.00044,Antisense,ZK637.8,WBGene00006768,Sequence name for WBGene00006768(unc-32). History: N.A.
AH6.5,chrII,+,9524095,9526288,30,12,-2.35,0.014,Antisense,AH6.5,WBGene00003231,Sequence name for WBGene00003231(mex-6). History: N.A.
B0019.2,chrI,+,12773647,12782234,10,2,-3.62,0.049,Antisense,B0019.2,WBGene00007094,Public name for WBGene00007094. History: N.A.
B0244.8,chrIII,+,5728129,5730000,27,12,-2.16,0.027,Antisense,B0244.8,WBGene00015083,Sequence name for WBGene00015083(egg-1). History: N.A.
B0273.2,chrIV,+,5486734,5489959,15,5,-2.63,0.049,Antisense,B0273.2,WBGene00004243,Sequence name for WBGene00004243(puf-7). History: N.A.
B0284.1,chrIII,+,4376473,4379171,49,32,-1.52,0.048,Antisense,B0284.1,WBGene00007131,Sequence name for WBGene00007131(pals-26). History: N.A.
B0303.9,chrIII,+,8700835,8703213,15,3,-3.95,0.015,Antisense,B0303.9,WBGene00015130,Sequence name for WBGene00015130(vps-33.1). History: N.A.
B0454.9,chrII,-,3052622,3054343,15,1,-7.9,0.0042,Antisense,B0454.9,WBGene00015200,Sequence name for WBGene00015200(lido-13). History: N.A.
B0464.5,chrIII,+,9457554,9462161,22,5,-3.86,0.0039,Antisense,B0464.5,WBGene00004980,Sequence name for WBGene00004980(spk-1). History: N.A.
B0511.12,chrI,-,10654286,10661591,12,2,-4.44,0.031,Antisense,B0511.12,WBGene00015237,Public name for WBGene00015237. History: N.A.
B0547.1,chrIV,+,5649520,5650971,12,2,-4.44,0.018,Antisense,B0547.1,WBGene00000817,Sequence name for WBGene00000817(csn-5). History: N.A.
C01C7.1,chrIV,-,12622062,12630992,15,1,-7.9,0.0042,Antisense,C01C7.1,WBGene00000186,Sequence name for WBGene00000186(ark-1). History: N.A.
C01F1.2,chrII,+,4299650,4300836,10,1,-5.43,0.021,Antisense,C01F1.2,WBGene00015297,Sequence name for WBGene00015297(sco-1). History: N.A.
C01G10.1,chrV,+,15100309,15104365,7,0,-8.4,0.02,Antisense,C01G10.1,WBGene00007230,Public name for WBGene00007230. History: N.A.
C02B10.5,chrIV,+,5083536,5086421,52,23,-2.2,0.0027,Antisense,C02B10.5,WBGene00015330,Public name for WBGene00015330. History: N.A.
C04A2.3,chrII,+,6834958,6847844,35,12,-2.73,0.0034,Antisense,C04A2.3,WBGene00001194,Sequence name for WBGene00001194(egl-27). History: N.A.
C04D8.1,chrIII,+,8497540,8518793,37,14,-2.53,0.0041,Antisense,C04D8.1,WBGene00015418,Sequence name for WBGene00015418(pac-1). History: N.A.
C04F12.7,chrI,-,9695700,9696752,52,2,-17.59,1.9e-09,Antisense,C04F12.7,WBGene00007301,Public name for WBGene00007301. History: N.A.
C04F5.1,chrV,+,5119954,5126900,96,50,-1.9,0.00049,Antisense,C04F5.1,WBGene00004795,Sequence name for WBGene00004795(sid-1). History: Renamed on 2013-10-16
C04G2.6,chrIV,+,10097179,10106528,10,2,-3.62,0.049,Antisense,C04G2.6,WBGene00001001,Sequence name for WBGene00001001(dis-3). History: N.A.
C05C10.5,chrII,+,9939075,9940263,22,8,-2.58,0.021,Antisense,C05C10.5,WBGene00007332,Public name for WBGene00007332. History: N.A.
C05C8.2,chrV,+,7231171,7232731,10,1,-5.43,0.021,Antisense,C05C8.2,WBGene00015461,Sequence name for WBGene00015461(krr-1). History: N.A.
C05D11.2,chrIII,+,6433182,6436286,12,3,-3.33,0.038,Antisense,C05D11.2,WBGene00006516,Sequence name for WBGene00006516(vps-16). History: N.A.
C05D2.5,chrIII,+,5604413,5607403,37,10,-3.45,0.00054,Antisense,C05D2.5,WBGene00001514,Sequence name for WBGene00001514(xnd-1). History: Renamed on 2008-09-15
C06A8.5,chrII,+,7781508,7783280,96,56,-1.7,0.0022,Antisense,C06A8.5,WBGene00015515,Sequence name for WBGene00015515(spdl-1). History: N.A.
C06G3.2,chrIV,+,7040194,7043678,67,45,-1.47,0.034,Antisense,C06G3.2,WBGene00002228,Sequence name for WBGene00002228(klp-18). History: N.A.
C06H2.2,chrV,+,11125198,11127281,15,5,-2.63,0.049,Antisense,C06H2.2,WBGene00007386,Public name for WBGene00007386. History: N.A.
C07D10.2,chrII,+,7394892,7396746,10,2,-3.62,0.049,Antisense,C07D10.2,WBGene00015567,Sequence name for WBGene00015567(bath-44). History: N.A.
C07G1.4,chrIV,-,8188887,8198932,20,5,-3.45,0.02,Antisense,C07G1.4,WBGene00006957,Sequence name for WBGene00006957(wsp-1). History: N.A.
C08F8.3,chrIV,+,11155000,11156606,35,5,-5.92,3.1e-05,Antisense,C08F8.3,WBGene00007445,Public name for WBGene00007445. History: N.A.
C09G12.8,chrIV,-,3507375,3509504,7,0,-8.4,0.028,Antisense,C09G12.8,WBGene00000424,Sequence name for WBGene00000424(ced-10). History: N.A.
C09G4.5,chrIV,+,8511265,8513902,30,13,-2.18,0.02,Antisense,C09G4.5,WBGene00003224,Sequence name for WBGene00003224(mes-6). History: N.A.
C09H6.1,chrI,+,8103594,8109221,20,8,-2.3,0.042,Antisense,C09H6.1,WBGene00005009,Sequence name for WBGene00005009(spr-4). History: N.A.
C14C10.5,chrV,+,12600263,12607283,35,13,-2.54,0.0054,Antisense,C14C10.5,WBGene00007588,Public name for WBGene00007588. History: N.A.
C14E2.2,chrX,-,1806749,1809538,15,1,-7.9,0.0042,Antisense,C14E2.2,WBGene00015771,Sequence name for WBGene00015771(got-1.3). History: N.A.
C15C6.3,chrI,+,12207088,12212196,27,10,-2.56,0.012,Antisense,C15C6.3,WBGene00007602,Public name for WBGene00007602. History: N.A.
C15C6.4,chrI,+,12213119,12215169,12,1,-6.66,0.0067,Antisense,C15C6.4,WBGene00007603,Sequence name for WBGene00007603(popl-4). History: N.A.
C15F1.6,chrII,-,6970606,6972176,10,1,-5.43,0.033,Antisense,C15F1.6,WBGene00000198,Sequence name for WBGene00000198(art-1). History: N.A.
C15H11.5,chrV,+,14418073,14420002,81,42,-1.92,0.0012,Antisense,C15H11.5,WBGene00007615,Sequence name for WBGene00007615(set-31). History: Renamed on 2007-05-03
C16A11.3,chrII,+,4229544,4234317,69,32,-2.12,0.00089,Antisense,C16A11.3,WBGene00015816,"Public name for WBGene00015816. History: Split into C16A11.10(WBGene00185089). History of WBGene00015816: Split into ""WBGene00185089"" on 2009-03-13"
C16A11.4,chrII,+,4227039,4229126,101,54,-1.86,0.00052,Antisense,C16A11.4,WBGene00015817,Public name for WBGene00015817. History: N.A.
C16A3.7,chrIII,+,6375320,6379117,54,21,-2.51,0.00067,Antisense,C16A3.7,WBGene00007048,"Sequence name for WBGene00007048(nfx-1). History: Renamed on 2011-09-23. Public name for Dead gene WBGene00015812. History of WBGene00015812: Merged into ""WBGene00007048"" on 2005-10-05"
C16C10.11,chrIII,+,4152029,4152658,27,8,-3.12,0.0045,Antisense,C16C10.11,WBGene00007630,Sequence name for WBGene00007630(har-1). History: N.A.
C16C10.3,chrIII,-,4172306,4176132,84,44,-1.88,0.0098,Antisense,C16C10.3,WBGene00007624,Sequence name for WBGene00007624(hrde-1). History: Renamed on 2012-08-29
C16C10.6,chrIII,-,4166916,4168738,10,1,-5.43,0.033,Antisense,C16C10.6,WBGene00007627,Sequence name for WBGene00007627(ccdc-55). History: N.A.
C16C10.8,chrIII,-,4162015,4164144,0,10,11.0,0.026,Antisense,C16C10.8,WBGene00007628,Public name for WBGene00007628. History: N.A.
C16C2.4,chrI,-,9712813,9715220,7,0,-8.4,0.028,Antisense,C16C2.4,WBGene00007621,Public name for WBGene00007621. History: N.A.
C17E4.4,chrI,+,9419412,9419990,7,0,-8.4,0.02,Antisense,C17E4.4,WBGene00007644,Sequence name for WBGene00007644(mjl-1). History: N.A.
C18D11.3,chrIII,+,11823328,11824321,7,0,-8.4,0.02,Antisense,C18D11.3,WBGene00007681,Public name for WBGene00007681. History: N.A.
C18E9.3,chrII,-,8966840,8969393,17,5,-3.04,0.042,Antisense,C18E9.3,WBGene00004105,Sequence name for WBGene00004105(szy-20). History: Renamed on 2008-10-08
C24G6.3,chrV,+,5514331,5520435,0,11,12.0,0.031,Antisense,C24G6.3,WBGene00016060,Sequence name for WBGene00016060(mms-19). History: N.A.
C25D7.16,chrV,+,15056264,15056700,10,64,-0.17,8.9e-06,Antisense,C25D7.16,WBGene00050940,Public name for WBGene00050940. History: N.A.
C27A2.1,chrII,+,5062121,5067086,10,1,-5.43,0.021,Antisense,C27A2.1,WBGene00016151,Sequence name for WBGene00016151(smc-5). History: N.A.
C27C12.2,chrX,+,14845857,14849115,32,0,-33.05,4.1e-08,Antisense,C27C12.2,WBGene00007772,Sequence name for WBGene00007772(egrh-1). History: N.A.
C27D8.2,chrIV,+,12712757,12714725,17,4,-3.65,0.012,Antisense,C27D8.2,WBGene00007778,Public name for WBGene00007778. History: N.A.
C27D9.1,chrII,+,4753442,4755581,89,42,-2.09,0.00023,Antisense,C27D9.1,WBGene00016163,Public name for WBGene00016163. History: N.A.
C27H5.3,chrII,+,7152639,7155223,35,16,-2.09,0.017,Antisense,C27H5.3,WBGene00016173,Sequence name for WBGene00016173(fust-1). History: N.A.
C27H6.3,chrV,+,9981256,9982736,17,3,-4.56,0.0057,Antisense,C27H6.3,WBGene00007785,Sequence name for WBGene00007785(tofu-1). History: N.A.
C28H8.3,chrIII,+,5908711,5914435,15,5,-2.63,0.049,Antisense,C28H8.3,WBGene00016194,Public name for WBGene00016194. History: N.A.
C28H8.4,chrIII,+,5906999,5908374,42,11,-3.58,0.00019,Antisense,C28H8.4,WBGene00016195,Sequence name for WBGene00016195(erd-2.2). History: N.A.
C29E4.15,chrIII,+,7952585,7955745,10,1,-5.43,0.021,Antisense,C29E4.15,WBGene00045246,Public name for WBGene00045246. History: N.A.
C29E4.2,chrIII,+,7941645,7945522,35,12,-2.73,0.0034,Antisense,C29E4.2,WBGene00016202,Sequence name for WBGene00016202(kle-2). History: Renamed on 2006-03-22; Renamed on 2007-07-06
C29E4.4,chrIII,+,7928977,7932922,35,14,-2.37,0.0081,Antisense,C29E4.4,WBGene00003801,Sequence name for WBGene00003801(npp-15). History: N.A.
C30C11.1,chrIII,+,8449673,8450427,22,3,-5.8,0.00074,Antisense,C30C11.1,WBGene00016249,Sequence name for WBGene00016249(mrpl-32). History: N.A.
C32F10.2,chrI,+,5807711,5815640,27,13,-2.01,0.037,Antisense,C32F10.2,WBGene00003020,Sequence name for WBGene00003020(lin-35). History: N.A.
C33A11.2,chrX,+,15365914,15369919,25,10,-2.33,0.024,Antisense,C33A11.2,WBGene00007878,Public name for WBGene00007878. History: N.A.
C35B1.2,chrIV,+,4086204,4102888,12,3,-3.33,0.038,Antisense,C35B1.2,WBGene00016432,Public name for WBGene00016432. History: N.A.
C35D10.2,chrIII,+,4870740,4872012,0,10,11.0,0.043,Antisense,C35D10.2,WBGene00016440,Sequence name for WBGene00016440(gipc-1). History: N.A.
C35E7.8,chrI,+,10808595,10810373,10,2,-3.62,0.049,Antisense,C35E7.8,WBGene00016460,Public name for WBGene00016460. History: N.A.
C36A4.5,chrIII,+,3844253,3848241,91,49,-1.84,0.001,Antisense,C36A4.5,WBGene00007966,Sequence name for WBGene00007966(maph-1.3). History: N.A.
C36A4.9,chrIII,+,3864014,3866809,17,5,-3.04,0.022,Antisense,C36A4.9,WBGene00007969,Sequence name for WBGene00007969(acs-19). History: N.A.
C36B1.8,chrI,+,8737064,8742533,27,9,-2.81,0.0075,Antisense,C36B1.8,WBGene00007975,Sequence name for WBGene00007975(gls-1). History: N.A.
C36F7.5,chrI,-,9574793,9576015,30,12,-2.35,0.035,Antisense,C36F7.5,WBGene00007986,Public name for WBGene00007986. History: N.A.
C37A2.2,chrI,+,6791025,6797471,32,5,-5.51,8.4e-05,Antisense,C37A2.2,WBGene00004110,Sequence name for WBGene00004110(pqn-20). History: N.A.
C37A2.4,chrI,+,6780821,6784360,35,18,-1.87,0.031,Antisense,C37A2.4,WBGene00000871,Sequence name for WBGene00000871(cye-1). History: Renamed on 2015-03-05
C37H5.5,chrV,+,4827350,4835920,12,0,-13.33,0.0014,Antisense,C37H5.5,WBGene00016508,Public name for WBGene00016508. History: N.A.
C38D4.4,chrIII,+,4793049,4795362,49,31,-1.57,0.039,Antisense,C38D4.4,WBGene00008005,Sequence name for WBGene00008005(mip-1). History: Renamed on 2021-12-09
C39B5.2,chrIII,+,2233875,2236970,12,1,-6.66,0.0067,Antisense,C39B5.2,WBGene00016520,Public name for WBGene00016520. History: N.A.
C39B5.6,chrIII,+,2197993,2206870,10,2,-3.62,0.049,Antisense,C39B5.6,WBGene00016524,Public name for WBGene00016524. History: N.A.
C39E9.12,chrIV,+,13093979,13095348,57,24,-2.31,0.0011,Antisense,C39E9.12,WBGene00008035,Public name for WBGene00008035. History: N.A.
C41C4.6,chrII,+,8129889,8134653,0,17,18.0,0.0047,Antisense,C41C4.6,WBGene00006739,Sequence name for WBGene00006739(ulp-4). History: N.A.
C41D11.2,chrI,+,4444719,4446586,17,5,-3.04,0.022,Antisense,C41D11.2,WBGene00001231,Sequence name for WBGene00001231(eif-3.H). History: N.A.
C41G7.2,chrI,+,9512442,9514746,190,75,-2.51,5.6e-10,Antisense,C41G7.2,WBGene00002226,Sequence name for WBGene00002226(klp-16). History: N.A.
C43E11.3,chrI,+,4254380,4264690,25,11,-2.14,0.035,Antisense,C43E11.3,WBGene00016603,Sequence name for WBGene00016603(met-1). History: N.A.
C43E11.8,chrI,-,4242821,4247581,22,6,-3.31,0.017,Antisense,C43E11.8,WBGene00016606,Sequence name for WBGene00016606(exoc-7). History: N.A.
C44B9.4,chrIII,+,10882251,10893546,12,1,-6.66,0.0067,Antisense,C44B9.4,WBGene00008081,Sequence name for WBGene00008081(athp-1). History: N.A.
C44E4.3,chrI,-,4637464,4640883,7,0,-8.4,0.028,Antisense,C44E4.3,WBGene00016652,Sequence name for WBGene00016652(got-2.1). History: N.A.
C45B2.5,chrX,+,6058241,6059595,7,0,-8.4,0.02,Antisense,C45B2.5,WBGene00001602,Sequence name for WBGene00001602(gln-1). History: N.A.
C45G9.2,chrIII,+,5069029,5070379,7,0,-8.4,0.02,Antisense,C45G9.2,WBGene00016674,Public name for WBGene00016674. History: N.A.
C46C2.1,chrIV,+,9200093,9212200,47,27,-1.71,0.025,Antisense,C46C2.1,WBGene00006941,Sequence name for WBGene00006941(wnk-1). History: N.A.
C47B2.5,chrI,+,12968947,12970010,20,4,-4.14,0.0048,Antisense,C47B2.5,WBGene00001234,Sequence name for WBGene00001234(eif-6). History: N.A.
C47G2.5,chrII,+,11297616,11301181,47,19,-2.39,0.0022,Antisense,C47G2.5,WBGene00008166,Sequence name for WBGene00008166(saps-1). History: N.A.
C48B6.3,chrI,+,6915057,6915959,10,2,-3.62,0.049,Antisense,C48B6.3,WBGene00016741,Public name for WBGene00016741. History: N.A.
C49H3.6,chrIV,+,7903722,7907066,10,1,-5.43,0.021,Antisense,C49H3.6,WBGene00016792,Public name for WBGene00016792. History: N.A.
C50A2.2,chrIV,+,1170705,1176675,12,1,-6.66,0.0067,Antisense,C50A2.2,WBGene00016796,Sequence name for WBGene00016796(cec-2). History: N.A.
C50B8.2,chrV,+,13568834,13569898,10,2,-3.62,0.049,Antisense,C50B8.2,WBGene00000250,Sequence name for WBGene00000250(bir-2). History: N.A.
C50B8.4,chrV,+,13572099,13573325,35,8,-3.95,0.00035,Antisense,C50B8.4,WBGene00008226,Public name for WBGene00008226. History: N.A.
C50C3.1,chrIII,+,8191738,8193586,64,11,-5.42,5.4e-08,Antisense,C50C3.1,WBGene00016799,Public name for WBGene00016799. History: N.A.
C50C3.6,chrIII,+,8164302,8172628,44,28,-1.56,0.05,Antisense,C50C3.6,WBGene00004187,Sequence name for WBGene00004187(prp-8). History: N.A.
C50D2.8,chrII,-,96126,97942,7,0,-8.4,0.028,Antisense,C50D2.8,WBGene00016811,Sequence name for WBGene00016811(luc-7L3). History: N.A.
C50F2.2,chrI,+,3881829,3888315,37,15,-2.37,0.0062,Antisense,C50F2.2,WBGene00016836,Public name for WBGene00016836. History: N.A.
C54G10.3,chrV,+,14647176,14653449,17,6,-2.61,0.037,Antisense,C54G10.3,WBGene00004060,Sequence name for WBGene00004060(pmp-3). History: N.A.
C55B7.5,chrI,+,6494291,6496111,10,0,-10.86,0.0054,Antisense,C55B7.5,WBGene00016944,Sequence name for WBGene00016944(uri-1). History: N.A.
C56A3.5,chrV,+,13551892,13553355,7,0,-8.4,0.02,Antisense,C56A3.5,WBGene00008344,Public name for WBGene00008344. History: N.A.
CD4.3,chrV,+,5593693,5594407,12,3,-3.33,0.038,Antisense,CD4.3,WBGene00016989,Sequence name for WBGene00016989(mrpl-48). History: N.A.
CD4.4,chrV,+,5592690,5593577,12,2,-4.44,0.018,Antisense,CD4.4,WBGene00016990,Sequence name for WBGene00016990(vps-37). History: N.A.
D1022.7,chrII,-,7472668,7478474,7,0,-8.4,0.028,Antisense,D1022.7,WBGene00000101,Sequence name for WBGene00000101(aka-1). History: N.A.
D1043.1,chrII,+,11582761,11588441,30,12,-2.35,0.014,Antisense,D1043.1,WBGene00008361,Sequence name for WBGene00008361(ints-7). History: N.A.
D1054.2,chrV,+,10770355,10771193,20,6,-2.96,0.017,Antisense,D1054.2,WBGene00003923,Sequence name for WBGene00003923(pas-2). History: N.A.
D1081.7,chrI,+,8487612,8490933,145,79,-1.83,5e-05,Antisense,D1081.7,WBGene00008385,Sequence name for WBGene00008385(lotr-1). History: N.A.
D2005.4,chrI,+,7815261,7820231,39,14,-2.7,0.002,Antisense,D2005.4,WBGene00008399,"Public name for WBGene00008399. History: Split into D2005.7(WBGene00086551). History of WBGene00008399: Split into ""WBGene00086551"" on 2008-06-27"
D2013.6,chrII,+,9329696,9331000,20,8,-2.3,0.042,Antisense,D2013.6,WBGene00008404,Sequence name for WBGene00008404(wbp-2). History: N.A.
D2013.8,chrII,+,9333934,9338817,12,2,-4.44,0.018,Antisense,D2013.8,WBGene00004744,Sequence name for WBGene00004744(scp-1). History: N.A.
D2030.6,chrI,-,7585508,7588356,76,41,-1.84,0.016,Antisense,D2030.6,WBGene00004178,"Sequence name for WBGene00004178(prg-1). History: N.A.. Public name for Dead gene WBGene00008416. History of WBGene00008416: Merged into ""WBGene00004178"" on 2007-11-05"
D2030.8,chrI,+,7591293,7595193,15,2,-5.26,0.0065,Antisense,D2030.8,WBGene00008418,Public name for WBGene00008418. History: N.A.
D2045.1,chrIII,+,10461513,10467936,37,17,-2.11,0.013,Antisense,D2045.1,WBGene00000231,Sequence name for WBGene00000231(atx-2). History: N.A.
D2089.1,chrII,+,10660881,10662228,22,5,-3.86,0.0039,Antisense,D2089.1,WBGene00004704,Sequence name for WBGene00004704(rsp-7). History: N.A.
D2096.1,chrIV,+,8396644,8398419,123,87,-1.41,0.0097,Antisense,D2096.1,WBGene00017069,Sequence name for WBGene00017069(timm-17B.2). History: N.A.
E02H1.3,chrII,+,9591326,9592775,20,3,-5.18,0.0021,Antisense,E02H1.3,WBGene00006473,Sequence name for WBGene00006473(tag-124). History: N.A.
F01F1.6,chrIII,+,5857160,5858901,39,15,-2.53,0.0032,Antisense,F01F1.6,WBGene00000115,Sequence name for WBGene00000115(alh-9). History: N.A.
F01G10.1,chrIV,+,10243586,10245624,158,75,-2.09,1.3e-06,Antisense,F01G10.1,WBGene00008506,Sequence name for WBGene00008506(tkt-1). History: N.A.
F01G4.4,chrIV,+,11143316,11145895,54,17,-3.07,0.0001,Antisense,F01G4.4,WBGene00008503,Public name for WBGene00008503. History: N.A.
F07C6.4,chrIV,+,12817029,12830069,52,32,-1.6,0.032,Antisense,F07C6.4,WBGene00008555,Public name for WBGene00008555. History: N.A.
F07G6.6,chrX,-,1710288,1711208,7,0,-8.4,0.028,Antisense,F07G6.6,WBGene00017225,Sequence name for WBGene00017225(fbxa-52). History: N.A.
F09E5.15,chrII,+,5378040,5379605,17,3,-4.56,0.0057,Antisense,F09E5.15,WBGene00006434,Sequence name for WBGene00006434(prdx-2). History: N.A.
F09E8.3,chrIV,+,13155196,13164025,32,15,-2.07,0.022,Antisense,F09E8.3,WBGene00003421,Sequence name for WBGene00003421(msh-5). History: N.A.
F09G2.2,chrV,+,7196896,7198417,39,14,-2.7,0.002,Antisense,F09G2.2,WBGene00017311,Public name for WBGene00017311. History: N.A.
F10B5.6,chrII,-,8159858,8162099,12,1,-6.66,0.012,Antisense,F10B5.6,WBGene00001281,Sequence name for WBGene00001281(emb-27). History: N.A.
F10G7.1,chrII,+,4710281,4713501,47,22,-2.08,0.0063,Antisense,F10G7.1,WBGene00006497,Sequence name for WBGene00006497(tag-151). History: N.A.
F10G7.3,chrII,+,4702056,4703200,54,31,-1.73,0.016,Antisense,F10G7.3,WBGene00006817,"Sequence name for WBGene00006817(unc-85). History: Renamed on 2008-06-05. Public name for Dead gene WBGene00017368. History of WBGene00017368: Merged into ""WBGene00006817"" on 2008-06-05"
F10G7.4,chrII,+,4698708,4700978,138,74,-1.85,6e-05,Antisense,F10G7.4,WBGene00004737,Sequence name for WBGene00004737(scc-1). History: N.A.
F12F6.1,chrIV,+,11585193,11588292,20,6,-2.96,0.017,Antisense,F12F6.1,WBGene00008720,Public name for WBGene00008720. History: N.A.
F13A7.14,chrV,+,16402199,16405584,20,6,-2.96,0.017,Antisense,F13A7.14,WBGene00045357,Public name for WBGene00045357. History: N.A.
F13D12.5,chrII,+,11726732,11728347,84,46,-1.8,0.002,Antisense,F13D12.5,WBGene00008740,Public name for WBGene00008740. History: N.A.
F14D7.2,chrV,-,14291947,14293686,10,1,-5.43,0.033,Antisense,F14D7.2,WBGene00008789,Public name for WBGene00008789. History: N.A.
F14E5.2,chrII,-,8423881,8428786,15,3,-3.95,0.027,Antisense,F14E5.2,WBGene00008800,Public name for WBGene00008800. History: N.A.
F15A4.11,chrII,+,12459686,12460344,7,0,-8.4,0.02,Antisense,F15A4.11,WBGene00044323,"Sequence name for WBGene00044323(tag-281). History: N.A.. Public name for Dead gene WBGene00008845. History of WBGene00008845: Merged into ""WBGene00044323"" on 2006-06-29"
F15B9.4,chrV,+,13002321,13006969,313,154,-2.03,5.5e-11,Antisense,F15B9.4,WBGene00008848,Sequence name for WBGene00008848(inft-2). History: N.A.
F15D3.6,chrI,-,11572110,11577478,12,2,-4.44,0.031,Antisense,F15D3.6,WBGene00008856,Public name for WBGene00008856. History: N.A.
F15E6.1,chrIV,+,4307751,4316759,325,110,-2.94,1.8e-19,Antisense,F15E6.1,WBGene00017482,Sequence name for WBGene00017482(set-9). History: N.A.
F17C11.10,chrV,-,10961819,10965515,15,3,-3.95,0.027,Antisense,F17C11.10,WBGene00008921,Sequence name for WBGene00008921(ctf-4). History: N.A.
F18E2.3,chrV,+,12763923,12767905,54,28,-1.9,0.0073,Antisense,F18E2.3,WBGene00004738,Sequence name for WBGene00004738(scc-3). History: N.A.
F19B6.3,chrIV,+,12327329,12328481,22,4,-4.64,0.0018,Antisense,F19B6.3,WBGene00008949,Public name for WBGene00008949. History: N.A.
F20D12.2,chrIV,+,7948656,7953531,27,12,-2.16,0.027,Antisense,F20D12.2,WBGene00017642,Public name for WBGene00017642. History: N.A.
F22B5.1,chrII,+,8444237,8445036,17,2,-6.09,0.0022,Antisense,F22B5.1,WBGene00001358,Sequence name for WBGene00001358(evl-20). History: N.A.
F22B5.2,chrII,+,8442701,8444170,20,7,-2.59,0.028,Antisense,F22B5.2,WBGene00001230,Sequence name for WBGene00001230(eif-3.G). History: N.A.
F22B5.7,chrII,+,8457748,8464448,86,53,-1.62,0.0064,Antisense,F22B5.7,WBGene00006994,Sequence name for WBGene00006994(zyg-9). History: N.A.
F22D6.6,chrI,+,7095486,7098405,20,8,-2.3,0.042,Antisense,F22D6.6,WBGene00009052,Sequence name for WBGene00009052(ekl-1). History: N.A.
F23B12.8,chrV,-,14453379,14456693,27,9,-2.81,0.019,Antisense,F23B12.8,WBGene00000257,Sequence name for WBGene00000257(bmk-1). History: N.A.
F25D7.4,chrI,-,10418219,10422467,35,10,-3.23,0.0043,Antisense,F25D7.4,WBGene00009113,Sequence name for WBGene00009113(maph-1.2). History: N.A.
F25H2.5,chrI,-,10553182,10553783,25,8,-2.85,0.023,Antisense,F25H2.5,WBGene00009119,Sequence name for WBGene00009119(ndk-1). History: N.A.
F25H5.3,chrI,+,9168423,9177467,44,23,-1.89,0.015,Antisense,F25H5.3,WBGene00009126,Sequence name for WBGene00009126(pyk-1). History: N.A.
F25H8.2,chrIV,+,9932206,9933851,12,0,-13.33,0.0014,Antisense,F25H8.2,WBGene00009132,Public name for WBGene00009132. History: N.A.
F26B1.2,chrI,+,6317702,6320433,22,9,-2.32,0.032,Antisense,F26B1.2,WBGene00017816,Sequence name for WBGene00017816(hrpk-1). History: N.A.
