Ubiquitous genes,Input,Suggested Match,History
F54B11.5,F54B11.5,WBGene00010028,Public name for WBGene00010028. History: N.A.
F54B3.3,F54B3.3,WBGene00010015,Sequence name for WBGene00010015(atad-3). History: N.A.
F54C1.3,F54C1.3,WBGene00003221,Sequence name for WBGene00003221(mes-3). History: N.A.
F54C1.7,F54C1.7,WBGene00003934,Sequence name for WBGene00003934(pat-10). History: Renamed on 2015-03-05
F54C8.4,F54C8.4,WBGene00010037,Public name for WBGene00010037. History: N.A.
F54C8.7,F54C8.7,WBGene00010040,Public name for WBGene00010040. History: N.A.
F54C9.1,F54C9.1,WBGene00002065,Sequence name for WBGene00002065(iff-2). History: N.A.
F54C9.2,F54C9.2,WBGene00006059,Sequence name for WBGene00006059(stc-1). History: N.A.
F54C9.5,F54C9.5,WBGene00004416,Sequence name for WBGene00004416(rpl-5). History: N.A.
F54D11.1,F54D11.1,WBGene00018811,Sequence name for WBGene00018811(pmt-2). History: N.A.
F54D11.2,F54D11.2,WBGene00018812,"Sequence name for WBGene00018812(sumv-2). History: Merged into ""WBGene00018814"" on 2012-01-23; Resurrected on 2012-06-29"
F54D5.11,F54D5.11,WBGene00010054,Sequence name for WBGene00010054(gtf-2E2). History: N.A.
F54D5.5,F54D5.5,WBGene00010051,Public name for WBGene00010051. History: N.A.
F54D5.7,F54D5.7,WBGene00010052,Public name for WBGene00010052. History: N.A.
F54D5.8,F54D5.8,WBGene00001031,Sequence name for WBGene00001031(dnj-13). History: N.A.
F54D8.2,F54D8.2,WBGene00006519,"Sequence name for WBGene00006519(cox-6A). History: Renamed on 2017-09-05. Public name for Dead gene WBGene00018800. History of WBGene00018800: Merged into ""WBGene00006519"" on 2005-10-05"
F54D8.3,F54D8.3,WBGene00000107,Sequence name for WBGene00000107(alh-1). History: N.A.
F54E4.1,F54E4.1,WBGene00004313,Sequence name for WBGene00004313(rbc-1). History: N.A.
F54E7.1,F54E7.1,WBGene00018827,Sequence name for WBGene00018827(pst-2). History: N.A.
F54E7.3,F54E7.3,WBGene00003918,Sequence name for WBGene00003918(par-3). History: N.A.
F54F2.2,F54F2.2,WBGene00006975,Sequence name for WBGene00006975(zfp-1). History: N.A.
F54F2.5,F54F2.5,WBGene00018833,Sequence name for WBGene00018833(ztf-1). History: N.A.
F54F2.7,F54F2.7,WBGene00018835,Public name for WBGene00018835. History: N.A.
F54G8.3,F54G8.3,WBGene00002081,Sequence name for WBGene00002081(ina-1). History: N.A.
F54H12.1,F54H12.1,WBGene00000041,Sequence name for WBGene00000041(aco-2). History: N.A.
F54H12.6,F54H12.6,WBGene00018846,Sequence name for WBGene00018846(eef-1B.1). History: N.A.
F55A11.1,F55A11.1,WBGene00010075,Public name for WBGene00010075. History: N.A.
F55A11.2,F55A11.2,WBGene00006373,Sequence name for WBGene00006373(syx-5). History: Renamed on 2010-04-16
F55A11.3,F55A11.3,WBGene00004768,"Sequence name for WBGene00004768(sel-11). History: Renamed on 2008-11-05. Public name for Dead gene WBGene00010076. History of WBGene00010076: Merged into ""WBGene00004768"" on 2008-11-05"
F55A12.5,F55A12.5,WBGene00018864,Public name for WBGene00018864. History: N.A.
F55A12.7,F55A12.7,WBGene00000150,Sequence name for WBGene00000150(apm-1). History: Renamed on 2015-03-05
F55A12.8,F55A12.8,WBGene00018866,Sequence name for WBGene00018866(nath-10). History: Renamed on 2015-03-05
F55A12.9,F55A12.9,WBGene00004131,Sequence name for WBGene00004131(tent-5). History: Renamed on 2021-01-04
F55A3.1,F55A3.1,WBGene00018847,Sequence name for WBGene00018847(marc-6). History: N.A.
F55A4.1,F55A4.1,WBGene00018853,Sequence name for WBGene00018853(sec-22). History: N.A.
F55A4.5,F55A4.5,WBGene00018857,Sequence name for WBGene00018857(stau-1). History: N.A.
F55A8.1,F55A8.1,WBGene00001186,Sequence name for WBGene00001186(egl-18). History: N.A.
F55B12.3,F55B12.3,WBGene00004767,Sequence name for WBGene00004767(sel-10). History: N.A.
F55B12.4,F55B12.4,WBGene00010089,Sequence name for WBGene00010089(hpo-31). History: N.A.
F55C12.5,F55C12.5,WBGene00018872,Public name for WBGene00018872. History: N.A.
F55C5.4,F55C5.4,WBGene00010093,Sequence name for WBGene00010093(capg-2). History: N.A.
F55C5.8,F55C5.8,WBGene00010097,Sequence name for WBGene00010097(srpa-68). History: N.A.
F55C7.7,F55C7.7,WBGene00006805,Sequence name for WBGene00006805(unc-73). History: Renamed on 2015-03-04
F55D10.2,F55D10.2,WBGene00004438,Sequence name for WBGene00004438(rpl-25.1). History: N.A.
F55F8.3,F55F8.3,WBGene00018891,Public name for WBGene00018891. History: N.A.
F55F8.5,F55F8.5,WBGene00018893,Sequence name for WBGene00018893(wdr-12). History: Renamed on 2015-02-09
F55F8.9,F55F8.9,WBGene00018897,Sequence name for WBGene00018897(zipt-2.4). History: N.A.
F55H2.2,F55H2.2,WBGene00010130,Sequence name for WBGene00010130(vha-14). History: N.A.
F55H2.5,F55H2.5,WBGene00010131,Public name for WBGene00010131. History: N.A.
F55H2.6,F55H2.6,WBGene00000550,Sequence name for WBGene00000550(clu-1). History: N.A.
F56A3.3,F56A3.3,WBGene00003792,Sequence name for WBGene00003792(npp-6). History: Renamed on 2015-03-05
F56A8.3,F56A8.3,WBGene00010139,Public name for WBGene00010139. History: N.A.
F56A8.4,F56A8.4,WBGene00010140,Public name for WBGene00010140. History: N.A.
F56B3.11,F56B3.11,WBGene00018934,Public name for WBGene00018934. History: N.A.
F56B6.2,F56B6.2,WBGene00004350,"Sequence name for WBGene00004350(rgs-7). History: N.A.. Public name for Dead gene WBGene00018936. History of WBGene00018936: Merged into ""WBGene00004350"" on 2004-12-03"
F56C11.5,F56C11.5,WBGene00018957,Public name for WBGene00018957. History: N.A.
F56D12.1,F56D12.1,WBGene00000112,Sequence name for WBGene00000112(alh-6). History: Renamed on 2017-05-16
F56D12.5,F56D12.5,WBGene00006924,Sequence name for WBGene00006924(vig-1). History: N.A.
F56D2.1,F56D2.1,WBGene00018963,Sequence name for WBGene00018963(ucr-1). History: N.A.
F56D2.6,F56D2.6,WBGene00018967,Sequence name for WBGene00018967(ddx-15). History: N.A.
F56E10.4,F56E10.4,WBGene00004496,Sequence name for WBGene00004496(rps-27). History: N.A.
F56F3.1,F56F3.1,WBGene00004132,Sequence name for WBGene00004132(ifet-1). History: Renamed on 2011-08-12; Renamed on 2011-08-12
F56F3.5,F56F3.5,WBGene00004470,Sequence name for WBGene00004470(rps-1). History: N.A.
F56G4.5,F56G4.5,WBGene00010160,Sequence name for WBGene00010160(png-1). History: N.A.
F56H1.4,F56H1.4,WBGene00004505,Sequence name for WBGene00004505(rpt-5). History: N.A.
F56H1.5,F56H1.5,WBGene00018995,Sequence name for WBGene00018995(ccpp-1). History: N.A.
F56H1.6,F56H1.6,WBGene00044305,Sequence name for WBGene00044305(rad-8). History: N.A.
F56H9.2,F56H9.2,WBGene00010174,Public name for WBGene00010174. History: N.A.
F57A10.3,F57A10.3,WBGene00001813,Sequence name for WBGene00001813(haf-3). History: N.A.
F57B10.1,F57B10.1,WBGene00002783,"Sequence name for WBGene00002783(let-607). History: N.A.. Public name for Dead gene WBGene00019000. History of WBGene00019000: Merged into ""WBGene00002783"" on 2008-08-01"
F57B10.10,F57B10.10,WBGene00000896,Sequence name for WBGene00000896(dad-1). History: N.A.
F57B10.11,F57B10.11,WBGene00000236,Sequence name for WBGene00000236(bag-1). History: N.A.
F57B10.3,F57B10.3,WBGene00019001,Sequence name for WBGene00019001(ipgm-1). History: N.A.
F57B10.5,F57B10.5,WBGene00019003,Sequence name for WBGene00019003(tmed-3). History: N.A.
F57B7.2,F57B7.2,WBGene00010192,Public name for WBGene00010192. History: N.A.
F57B9.10,F57B9.10,WBGene00004462,Sequence name for WBGene00004462(rpn-6.1). History: N.A.
F57B9.2,F57B9.2,WBGene00002845,"Sequence name for WBGene00002845(let-711). History: Renamed on 2007-04-12. Public name for Dead gene WBGene00003824. History of WBGene00003824: Merged into ""WBGene00002845"" on 2006-09-21"
F57B9.4,F57B9.4,WBGene00000762,Sequence name for WBGene00000762(coq-2). History: N.A.
F57B9.5,F57B9.5,WBGene00000276,Sequence name for WBGene00000276(byn-1). History: N.A.
F57B9.6,F57B9.6,WBGene00002083,Sequence name for WBGene00002083(inf-1). History: N.A.
F57C7.1,F57C7.1,WBGene00010199,Sequence name for WBGene00010199(bet-2). History: N.A.
F57C7.3,F57C7.3,WBGene00004749,Sequence name for WBGene00004749(sdn-1). History: N.A.
F57C9.1,F57C9.1,WBGene00019008,Sequence name for WBGene00019008(pdxk-1). History: N.A.
F57F5.1,F57F5.1,WBGene00010204,Sequence name for WBGene00010204(cpr-9). History: N.A.
F57F5.4,F57F5.4,WBGene00000073,Sequence name for WBGene00000073(add-2). History: N.A.
F57F5.5,F57F5.5,WBGene00004032,Sequence name for WBGene00004032(pkc-1). History: Renamed on 2005-07-28
F57G4.9,F57G4.9,,Sequence name for Suppressed gene WBGene00010213. Molecular name for Suppressed gene WBGene00010213. Public name for Suppressed gene WBGene00010213. History of WBGene00010213: Killed on 2008-07-18; Suppressed on 2012-11-18. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
F57H12.1,F57H12.1,WBGene00000183,Sequence name for WBGene00000183(arf-5). History: Renamed on 2020-09-10
F58A3.1,F58A3.1,WBGene00002261,Sequence name for WBGene00002261(ldb-1). History: N.A.
F58A4.10,F58A4.10,WBGene00006704,Sequence name for WBGene00006704(ubc-7). History: N.A.
F58A4.3,F58A4.3,WBGene00001831,Sequence name for WBGene00001831(hcp-3). History: N.A.
F58A4.8,F58A4.8,WBGene00006540,Sequence name for WBGene00006540(tbg-1). History: N.A.
F58B3.5,F58B3.5,WBGene00003415,Sequence name for WBGene00003415(mars-1). History: Renamed on 2010-01-29; Renamed on 2015-03-25
F58B3.6,F58B3.6,WBGene00010232,Public name for WBGene00010232. History: N.A.
F58B3.7,F58B3.7,WBGene00010233,Sequence name for WBGene00010233(rbm-17). History: N.A.
F58B6.3,F58B6.3,WBGene00003917,"Sequence name for WBGene00003917(par-2). History: Split into F58B6.11(WBGene00306125). History of WBGene00003917: Split into ""WBGene00306125"" on 2022-01-02"
F58D5.1,F58D5.1,WBGene00002000,Sequence name for WBGene00002000(hrpr-1). History: Renamed on 2019-11-21
F58E10.1,F58E10.1,WBGene00010259,Sequence name for WBGene00010259(ric-7). History: N.A.
F58E10.3,F58E10.3,WBGene00010260,Sequence name for WBGene00010260(ddx-17). History: N.A.
F58E10.4,F58E10.4,WBGene00000097,Sequence name for WBGene00000097(aip-1). History: N.A.
F58F12.1,F58F12.1,WBGene00019061,Public name for WBGene00019061. History: Renamed on 2005-03-17
F58F6.4,F58F6.4,WBGene00004338,Sequence name for WBGene00004338(rfc-2). History: N.A.
F58G1.2,F58G1.2,WBGene00010264,Public name for WBGene00010264. History: N.A.
F58G11.1,F58G11.1,WBGene00010279,Sequence name for WBGene00010279(letm-1). History: N.A.
F58G11.2,F58G11.2,WBGene00010280,Sequence name for WBGene00010280(rde-12). History: N.A.
F59A2.1,F59A2.1,WBGene00003795,Sequence name for WBGene00003795(npp-9). History: N.A.
F59A2.3,F59A2.3,WBGene00010303,Sequence name for WBGene00010303(cri-3). History: N.A.
F59A2.4,F59A2.4,WBGene00010304,Sequence name for WBGene00010304(clpf-1). History: N.A.
F59A3.3,F59A3.3,WBGene00019076,Sequence name for WBGene00019076(mrpl-24). History: N.A.
F59A6.1,F59A6.1,WBGene00003822,"Sequence name for WBGene00003822(nsy-1). History: Split into F59A6.13(WBGene00303064). History of WBGene00003822: Renamed on 2016-10-25; Split into ""WBGene00303064"" on 2018-03-02; Renamed on 2019-08-02"
F59A6.5,F59A6.5,WBGene00019087,Public name for WBGene00019087. History: N.A.
F59A6.6,F59A6.6,WBGene00004382,Sequence name for WBGene00004382(rnh-1.0). History: Renamed on 2006-03-24
F59B2.6,F59B2.6,WBGene00006977,Sequence name for WBGene00006977(zif-1). History: N.A.
F59B8.2,F59B8.2,WBGene00010317,Sequence name for WBGene00010317(idh-1). History: N.A.
F59C12.1,F59C12.1,WBGene00000401,Sequence name for WBGene00000401(cdh-9). History: N.A.
F59C6.5,F59C6.5,WBGene00010326,Public name for WBGene00010326. History: N.A.
F59E10.3,F59E10.3,WBGene00010333,Sequence name for WBGene00010333(copz-1). History: N.A.
F59E12.11,F59E12.11,WBGene00019126,"Sequence name for WBGene00019126(sam-4). History: Split into F59E12.17(WBGene00302971). History of WBGene00019126: Split into ""WBGene00302971"" on 2018-03-06"
F59E12.2,F59E12.2,WBGene00006988,Sequence name for WBGene00006988(zyg-1). History: N.A.
F59E12.9,F59E12.9,WBGene00019124,Public name for WBGene00019124. History: N.A.
F59F4.2,F59F4.2,WBGene00010337,Sequence name for WBGene00010337(serp-1.1). History: N.A.
F59G1.1,F59G1.1,WBGene00019127,Sequence name for WBGene00019127(cgt-3). History: N.A.
F59G1.8,F59G1.8,WBGene00019129,Public name for WBGene00019129. History: N.A.
H05C05.2,H05C05.2,WBGene00019158,Public name for WBGene00019158. History: N.A.
H06H21.3,H06H21.3,WBGene00019162,Sequence name for WBGene00019162(eif-1.A). History: N.A.
H06H21.6,H06H21.6,WBGene00019163,"Sequence name for WBGene00019163(ubxn-6). History: Split into H06H21.37(WBGene00302995). History of WBGene00019163: Split into ""WBGene00302995"" on 2018-03-06"
H06I04.2,H06I04.2,WBGene00004787,Sequence name for WBGene00004787(sft-1). History: N.A.
H06I04.3,H06I04.3,WBGene00019168,Public name for WBGene00019168. History: N.A.
H06I04.4,H06I04.4,WBGene00006725,Sequence name for WBGene00006725(ubl-1). History: N.A.
H06O01.1,H06O01.1,WBGene00003964,Sequence name for WBGene00003964(pdi-3). History: N.A.
H06O01.3,H06O01.3,WBGene00010370,Sequence name for WBGene00010370(ctg-1). History: N.A.
H12D21.7,H12D21.7,WBGene00010383,Sequence name for WBGene00010383(mpst-3). History: N.A.
H13N06.5,H13N06.5,WBGene00006494,"Sequence name for WBGene00006494(zipt-7.2). History: Renamed on 2007-08-01; Renamed on 2016-11-29. Public name for Dead gene WBGene00010398. History of WBGene00010398: Merged into ""WBGene00006494"" on 2005-10-05"
H14A12.2,H14A12.2,WBGene00001503,Sequence name for WBGene00001503(fum-1). History: N.A.
H14E04.5,H14E04.5,WBGene00000506,Sequence name for WBGene00000506(cic-1). History: N.A.
H15N14.2,H15N14.2,WBGene00003818,Sequence name for WBGene00003818(nsf-1). History: N.A.
H17B01.1,H17B01.1,WBGene00019207,Sequence name for WBGene00019207(fgt-1). History: N.A.
H17B01.4,H17B01.4,WBGene00019209,Sequence name for WBGene00019209(emc-1). History: N.A.
H19N07.1,H19N07.1,WBGene00010405,Sequence name for WBGene00010405(erfa-3). History: N.A.
H19N07.2,H19N07.2,WBGene00010406,Sequence name for WBGene00010406(math-33). History: N.A.
H19N07.3,H19N07.3,WBGene00010407,Sequence name for WBGene00010407(scb-1). History: N.A.
H19N07.4,H19N07.4,WBGene00010408,Sequence name for WBGene00010408(mboa-2). History: N.A.
H20J04.5,H20J04.5,WBGene00019220,Sequence name for WBGene00019220(pfd-2). History: Renamed on 2006-08-02
H20J18.1,H20J18.1,WBGene00004739,Sequence name for WBGene00004739(scd-1). History: N.A.
H21P03.1,H21P03.1,WBGene00003148,Sequence name for WBGene00003148(mbf-1). History: N.A.
H22K11.1,H22K11.1,WBGene00000216,Sequence name for WBGene00000216(asp-3). History: N.A.
H24K24.3,H24K24.3,WBGene00019240,Sequence name for WBGene00019240(adh-5). History: N.A.
H27A22.1,H27A22.1,WBGene00010418,Public name for WBGene00010418. History: N.A.
H27M09.1,H27M09.1,WBGene00019245,Sequence name for WBGene00019245(sacy-1). History: N.A.
H27M09.2,H27M09.2,WBGene00019246,Sequence name for WBGene00019246(rpb-5). History: Renamed on 2015-03-04
H28G03.1,H28G03.1,WBGene00019249,Sequence name for WBGene00019249(hrpa-2). History: N.A.
H28O16.1,H28O16.1,WBGene00010419,Sequence name for WBGene00010419(atp-1). History: Renamed on 2005-03-17
H28O16.2,H28O16.2,WBGene00010420,Sequence name for WBGene00010420(mcrs-1). History: N.A.
H37A05.1,H37A05.1,WBGene00010425,Sequence name for WBGene00010425(lpin-1). History: N.A.
H38K22.2,H38K22.2,WBGene00010428,Sequence name for WBGene00010428(dcn-1). History: N.A.
H38K22.5,H38K22.5,WBGene00001631,Sequence name for WBGene00001631(gly-6). History: N.A.
H40L08.1,H40L08.1,WBGene00010433,Public name for WBGene00010433. History: N.A.
H43I07.2,H43I07.2,WBGene00019275,Sequence name for WBGene00019275(rpac-40). History: N.A.
H43I07.3,H43I07.3,WBGene00019276,Sequence name for WBGene00019276(algn-5). History: N.A.
JC8.2,JC8.2,WBGene00010435,Public name for WBGene00010435. History: N.A.
JC8.3,JC8.3,WBGene00004424,Sequence name for WBGene00004424(rpl-12). History: N.A.
JC8.4,JC8.4,WBGene00010436,Public name for WBGene00010436. History: N.A.
JC8.6,JC8.6,WBGene00003037,"Sequence name for WBGene00003037(lin-54). History: N.A.. Public name for Dead gene WBGene00010438. History of WBGene00010438: Merged into ""WBGene00003037"" on 2006-12-04"
K01A11.2,K01A11.2,WBGene00010450,Sequence name for WBGene00010450(metl-18). History: N.A.
K01C8.10,K01C8.10,WBGene00000379,Sequence name for WBGene00000379(cct-4). History: N.A.
K01C8.9,K01C8.9,WBGene00003821,Sequence name for WBGene00003821(nst-1). History: N.A.
K01D12.12,K01D12.12,WBGene00010471,Sequence name for WBGene00010471(cdr-6). History: N.A.
K01G5.1,K01G5.1,WBGene00010476,Sequence name for WBGene00010476(rnf-113). History: Renamed on 2008-08-22
K01G5.2,K01G5.2,WBGene00001996,Sequence name for WBGene00001996(hpl-2). History: N.A.
K01G5.4,K01G5.4,WBGene00004302,Sequence name for WBGene00004302(ran-1). History: N.A.
K01G5.5,K01G5.5,WBGene00010478,Public name for WBGene00010478. History: N.A.
K01G5.7,K01G5.7,WBGene00006536,Sequence name for WBGene00006536(tbb-1). History: N.A.
K01G5.8,K01G5.8,WBGene00010479,Public name for WBGene00010479. History: N.A.
K01G5.9,K01G5.9,WBGene00010480,Sequence name for WBGene00010480(tasp-1). History: N.A.
K01H12.1,K01H12.1,WBGene00010484,Sequence name for WBGene00010484(dph-3). History: N.A.
K02A11.1,K02A11.1,WBGene00001582,Sequence name for WBGene00001582(gfi-2). History: N.A.
K02B12.3,K02B12.3,WBGene00010496,Sequence name for WBGene00010496(sec-12). History: Renamed on 2005-03-17
K02B2.1,K02B2.1,WBGene00019295,Sequence name for WBGene00019295(pfkb-1.2). History: N.A.
K02B2.5,K02B2.5,WBGene00004494,Sequence name for WBGene00004494(rps-25). History: N.A.
K02B7.3,K02B7.3,WBGene00010491,Public name for WBGene00010491. History: N.A.
K02D10.1,K02D10.1,WBGene00019301,Public name for WBGene00019301. History: N.A.
K02E10.1,K02E10.1,WBGene00019317,Public name for WBGene00019317. History: N.A.
K02E10.2,K02E10.2,WBGene00001844,Sequence name for WBGene00001844(hid-1). History: N.A.
K02F2.1,K02F2.1,WBGene00001056,Sequence name for WBGene00001056(dpf-3). History: N.A.
K02F2.2,K02F2.2,WBGene00019322,Sequence name for WBGene00019322(ahcy-1). History: Renamed on 2005-02-01; Renamed on 2015-03-05
K02F2.3,K02F2.3,WBGene00019323,Sequence name for WBGene00019323(teg-4). History: Renamed on 2005-03-17; Renamed on 2010-02-19; Renamed on 2015-03-02
K02F3.11,K02F3.11,WBGene00004388,Sequence name for WBGene00004388(rnp-5). History: N.A.
K02F3.4,K02F3.4,WBGene00019327,Sequence name for WBGene00019327(zip-2). History: N.A.
K02F6.1,K02F6.1,WBGene00019335,Public name for WBGene00019335. History: N.A.
K02G10.6,K02G10.6,WBGene00002044,Sequence name for WBGene00002044(hyl-2). History: N.A.
K03B4.2,K03B4.2,WBGene00019354,Public name for WBGene00019354. History: N.A.
K03B4.3,K03B4.3,WBGene00006392,Sequence name for WBGene00006392(taf-10). History: N.A.
K04C2.2,K04C2.2,WBGene00019380,Public name for WBGene00019380. History: N.A.
K04C2.4,K04C2.4,WBGene00000265,Sequence name for WBGene00000265(brd-1). History: N.A.
K04D7.1,K04D7.1,WBGene00010556,Sequence name for WBGene00010556(rack-1). History: N.A.
K04D7.2,K04D7.2,WBGene00010557,Sequence name for WBGene00010557(mspn-1). History: N.A.
K04F10.3,K04F10.3,WBGene00019396,Public name for WBGene00019396. History: N.A.
K04F10.4,K04F10.4,WBGene00000254,Sequence name for WBGene00000254(bli-4). History: N.A.
K04F10.7,K04F10.7,WBGene00019399,Public name for WBGene00019399. History: N.A.
K04G2.1,K04G2.1,WBGene00010560,Sequence name for WBGene00010560(eif-2beta). History: Renamed on 2017-01-09
K04G2.10,K04G2.10,WBGene00010568,Public name for WBGene00010568. History: N.A.
K04G2.2,K04G2.2,WBGene00045192,"Sequence name for WBGene00045192(aho-3). History: N.A.. Public name for Dead gene WBGene00010561. History of WBGene00010561: Merged into ""WBGene00045192"" on 2012-04-27"
K04G2.3,K04G2.3,WBGene00010562,Sequence name for WBGene00010562(cdc-48.3). History: N.A.
K04G2.6,K04G2.6,WBGene00010565,Sequence name for WBGene00010565(vacl-14). History: N.A.
K04G7.10,K04G7.10,WBGene00004390,Sequence name for WBGene00004390(rnp-7). History: N.A.
K04G7.3,K04G7.3,WBGene00003858,Sequence name for WBGene00003858(ogt-1). History: N.A.
K04G7.4,K04G7.4,WBGene00019401,Sequence name for WBGene00019401(nuo-4). History: N.A.
K05C4.1,K05C4.1,WBGene00003951,Sequence name for WBGene00003951(pbs-5). History: N.A.
K05C4.2,K05C4.2,WBGene00010579,Public name for WBGene00010579. History: N.A.
K05C4.5,K05C4.5,WBGene00010582,Public name for WBGene00010582. History: N.A.
K05C4.6,K05C4.6,WBGene00001979,Sequence name for WBGene00001979(hmp-2). History: Renamed on 2011-04-19
K05C4.7,K05C4.7,WBGene00010583,Public name for WBGene00010583. History: N.A.
K06A1.5,K06A1.5,WBGene00019427,Sequence name for WBGene00019427(atg-16.2). History: N.A.
K06A5.6,K06A5.6,WBGene00019433,Sequence name for WBGene00019433(acdh-3). History: N.A.
K06A5.7,K06A5.7,WBGene00000386,Sequence name for WBGene00000386(cdc-25.1). History: N.A.
K07A1.11,K07A1.11,WBGene00004312,Sequence name for WBGene00004312(rba-1). History: N.A.
K07A1.12,K07A1.12,WBGene00003036,Sequence name for WBGene00003036(lin-53). History: N.A.
K07A12.1,K07A12.1,WBGene00010620,Public name for WBGene00010620. History: N.A.
K07A12.4,K07A12.4,WBGene00010622,Sequence name for WBGene00010622(hbs-1). History: N.A.
K07A3.1,K07A3.1,WBGene00001404,Sequence name for WBGene00001404(fbp-1). History: N.A.
K07B1.2,K07B1.2,WBGene00000766,Sequence name for WBGene00000766(coq-6). History: N.A.
K07B1.5,K07B1.5,WBGene00019465,Sequence name for WBGene00019465(acl-14). History: N.A.
K07C11.2,K07C11.2,WBGene00000098,Sequence name for WBGene00000098(air-1). History: N.A.
K07C11.5,K07C11.5,WBGene00019478,Sequence name for WBGene00019478(cri-2). History: Renamed on 2008-05-07
K07C5.1,K07C5.1,WBGene00000200,Sequence name for WBGene00000200(arx-2). History: N.A.
K07C5.4,K07C5.4,WBGene00010627,Sequence name for WBGene00010627(nol-56). History: N.A.
K07D4.3,K07D4.3,WBGene00004467,Sequence name for WBGene00004467(rpn-11). History: N.A.
K07E3.3,K07E3.3,WBGene00000929,Sequence name for WBGene00000929(dao-3). History: N.A.
K07E3.4,K07E3.4,WBGene00019492,Public name for WBGene00019492. History: N.A.
K07E3.8,K07E3.8,WBGene00006890,Sequence name for WBGene00006890(vem-1). History: N.A.
K07F5.13,K07F5.13,WBGene00003787,Sequence name for WBGene00003787(npp-1). History: N.A.
K07F5.15,K07F5.15,WBGene00010639,"Public name for WBGene00010639. History: Split into K07F5.22(WBGene00303023). History of WBGene00010639: Split into ""WBGene00303023"" on 2018-03-06"
K07G5.1,K07G5.1,WBGene00010641,Sequence name for WBGene00010641(crml-1). History: N.A.
K07G5.2,K07G5.2,WBGene00006963,Sequence name for WBGene00006963(xpa-1). History: Renamed on 2008-03-07
K07G5.6,K07G5.6,WBGene00010645,Sequence name for WBGene00010645(fecl-1). History: N.A.
K07H8.10,K07H8.10,WBGene00019510,Sequence name for WBGene00019510(nucl-1). History: N.A.
K07H8.2,K07H8.2,WBGene00019504,Public name for WBGene00019504. History: N.A.
K07H8.3,K07H8.3,WBGene00000923,Sequence name for WBGene00000923(daf-31). History: N.A.
K08A2.1,K08A2.1,WBGene00019511,Sequence name for WBGene00019511(lido-8). History: N.A.
K08A2.4,K08A2.4,WBGene00019513,Sequence name for WBGene00019513(lido-7). History: N.A.
K08A8.1,K08A8.1,WBGene00003185,Sequence name for WBGene00003185(mek-1). History: N.A.
K08A8.3,K08A8.3,WBGene00000591,Sequence name for WBGene00000591(coh-1). History: N.A.
K08B12.5,K08B12.5,WBGene00006437,Sequence name for WBGene00006437(mrck-1). History: Renamed on 2008-07-18
K08B4.1,K08B4.1,WBGene00002245,Sequence name for WBGene00002245(lag-1). History: N.A.
K08B4.6,K08B4.6,WBGene00000535,Sequence name for WBGene00000535(cpi-1). History: Renamed on 2006-01-04
K08D10.3,K08D10.3,WBGene00004386,Sequence name for WBGene00004386(rnp-3). History: N.A.
K08D10.4,K08D10.4,WBGene00004385,Sequence name for WBGene00004385(rnp-2). History: N.A.
K08D12.1,K08D12.1,WBGene00003947,Sequence name for WBGene00003947(pbs-1). History: N.A.
K08E3.4,K08E3.4,WBGene00010664,Sequence name for WBGene00010664(dbn-1). History: N.A.
K08E3.5,K08E3.5,WBGene00010665,Sequence name for WBGene00010665(rml-1). History: N.A.
K08E3.6,K08E3.6,WBGene00000875,Sequence name for WBGene00000875(cyk-4). History: N.A.
K08E3.7,K08E3.7,WBGene00003967,Sequence name for WBGene00003967(pdr-1). History: N.A.
K08E3.8,K08E3.8,WBGene00007025,Sequence name for WBGene00007025(mdt-29). History: N.A.
K08E4.1,K08E4.1,WBGene00005015,Sequence name for WBGene00005015(spt-5). History: N.A.
K08E7.1,K08E7.1,WBGene00010671,Sequence name for WBGene00010671(eak-7). History: N.A.
K08E7.2,K08E7.2,WBGene00002002,Sequence name for WBGene00002002(hsb-1). History: N.A.
K08F11.3,K08F11.3,WBGene00019543,Sequence name for WBGene00019543(cif-1). History: N.A.
K08F4.9,K08F4.9,WBGene00000975,Sequence name for WBGene00000975(dhs-12). History: N.A.
K08F8.1,K08F8.1,WBGene00010681,Sequence name for WBGene00010681(mak-1). History: N.A.
K08F9.2,K08F9.2,WBGene00010685,Sequence name for WBGene00010685(aipl-1). History: Renamed on 2009-02-16
K08F9.4,K08F9.4,WBGene00010687,Public name for WBGene00010687. History: N.A.
K08H10.4,K08H10.4,WBGene00010697,Sequence name for WBGene00010697(uda-1). History: Renamed on 2004-06-24
K08H10.7,K08H10.7,WBGene00004323,Sequence name for WBGene00004323(rde-1). History: N.A.
K09A9.2,K09A9.2,WBGene00004276,Sequence name for WBGene00004276(rab-14). History: N.A.
K09A9.3,K09A9.3,WBGene00010701,Sequence name for WBGene00010701(ent-2). History: N.A.
K09A9.5,K09A9.5,WBGene00001520,Sequence name for WBGene00001520(gas-1). History: Renamed on 2008-02-26
K09B11.10,K09B11.10,WBGene00010714,Sequence name for WBGene00010714(mam-3). History: N.A.
K10B2.1,K10B2.1,WBGene00003009,Sequence name for WBGene00003009(lin-23). History: N.A.
K10B2.4,K10B2.4,WBGene00019607,Public name for WBGene00019607. History: N.A.
K10B3.10,K10B3.10,WBGene00004951,Sequence name for WBGene00004951(spc-1). History: N.A.
