# Neuronal-RDE-4-Dependent STGs from whole worms samples. Values shown are DESeq2 fold-change values (Psng-1::rde-4 vs rde-4(-)) for STGs that changed in he P0 generation. NaN in ""F3"" stand for -> Not differentially expressed in F3 (padjusted > 0.1).
genes,P0 Psng-1::rde-4 vs rde-4(-),"[rde-4(-), F3 of Psng-1::rde-4(+/-)] vs rde-4(-)",Input,Suggested Match,History
tsp-13,0.740642197,,tsp-13,WBGene00006639,Public name for WBGene00006639. History: N.A.
bbs-1,0.741177731,,bbs-1,WBGene00000241,Public name for WBGene00000241. History: N.A.
Y105C5B.5,0.742277277,1.26490864586225,Y105C5B.5,WBGene00013647,Public name for WBGene00013647. History: N.A.
his-48,0.743436023,,his-48,WBGene00001922,Public name for WBGene00001922. History: N.A.
F53B3.5,0.746816633,,F53B3.5,WBGene00018743,Public name for WBGene00018743. History: N.A.
H20J04.9,0.747993327,,H20J04.9,WBGene00044310,Public name for WBGene00044310. History: N.A.
his-9,0.749637683,,his-9,WBGene00001883,Public name for WBGene00001883. History: N.A.
K08D10.1,0.754087847,0.659391694047551,K08D10.1,,Sequence name for Suppressed gene WBGene00019528. Molecular name for Suppressed gene WBGene00019528. Public name for Suppressed gene WBGene00019528. History of WBGene00019528: Suppressed on 2013-09-27. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
Y39A1A.25,0.758639708,,Y39A1A.25,WBGene00044808,Public name for WBGene00044808. History: N.A.
nhr-5,0.760264164,0.6309121358987029,nhr-5,WBGene00003604,Public name for WBGene00003604. History: N.A.
C10C6.7,0.761737807,,C10C6.7,WBGene00007515,Public name for WBGene00007515. History: N.A.
F39E9.10,0.763276433,,F39E9.10,WBGene00023036,Public name for WBGene00023036. History: N.A.
Y32G9A.2,0.763532562,,Y32G9A.2,WBGene00021301,Public name for WBGene00021301. History: N.A.
dgk-2,0.76405744,,dgk-2,WBGene00000959,Public name for WBGene00000959. History: N.A.
clec-199,0.764538026,,clec-199,WBGene00007820,Public name for WBGene00007820. History: N.A.
K10G9.2,0.765161367,,K10G9.2,WBGene00010756,Public name for WBGene00010756. History: N.A.
K08F11.2,0.767493672,0.667995750681734,K08F11.2,,Sequence name for Suppressed gene WBGene00019542. Molecular name for Suppressed gene WBGene00019542. Public name for Suppressed gene WBGene00019542. History of WBGene00019542: N.A.. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
gei-13,0.769679825,,gei-13,WBGene00001570,Public name for WBGene00001570. History: N.A.
F13H6.5,0.775419215,,F13H6.5,WBGene00017433,Public name for WBGene00017433. History: N.A.
fozi-1,0.777972402,0.8682676964315919,fozi-1,WBGene00010453,Public name for WBGene00010453. History: N.A.
Y54F10AM.11,0.781281302,,Y54F10AM.11,WBGene00021853,Public name for WBGene00021853. History: N.A.
Y38H8A.5,0.787587502,,Y38H8A.5,WBGene00012639,Sequence name for WBGene00012639(fezf-1). History: N.A.
T07A5.5,0.790513366,,T07A5.5,WBGene00011558,Sequence name for WBGene00011558(ostf-4). History: N.A.
F17A2.13,0.792523555,,F17A2.13,WBGene00008904,Public name for WBGene00008904. History: N.A.
acl-1,0.795989292,0.827388007053107,acl-1,WBGene00010339,Public name for WBGene00010339. History: N.A.
div-1,0.797555409,,div-1,WBGene00001002,Public name for WBGene00001002. History: Renamed on 2013-04-26
egl-36,0.798166474,1.08865447613968,egl-36,WBGene00001202,Public name for WBGene00001202. History: N.A.
C32D5.8,0.807465879,,C32D5.8,WBGene00016316,Public name for WBGene00016316. History: N.A.
B0001.6,0.808804158,,B0001.6,WBGene00007091,Sequence name for WBGene00007091(eri-12). History: N.A.
ZC487.1,0.810218329,,ZC487.1,WBGene00022623,Public name for WBGene00022623. History: N.A.
his-59,0.810344317,0.636339514353564,his-59,WBGene00001933,Public name for WBGene00001933. History: N.A.
C52D10.3,0.814340773,,C52D10.3,WBGene00016877,Public name for WBGene00016877. History: N.A.
tag-163,0.815601069,,tag-163,WBGene00006508,Other name for WBGene00006508(tns-1). History: Renamed on 2015-11-05
acdh-2,0.816549912,,acdh-2,WBGene00015894,Public name for WBGene00015894. History: N.A.
hil-6,0.817997637,,hil-6,WBGene00001857,Public name for WBGene00001857. History: Renamed on 2010-11-12
Y18H1A.14,0.818173218,0.60496721770375,Y18H1A.14,WBGene00044461,Public name for WBGene00044461. History: N.A.
H04D03.2,0.820527933,,H04D03.2,WBGene00010363,"Public name for WBGene00010363. History: Split into H04D03.6(WBGene00194861). History of WBGene00010363: Split into ""WBGene00194861"" on 2009-11-16"
F40F4.7,0.820893628,0.6379757290154409,F40F4.7,WBGene00018238,Public name for WBGene00018238. History: N.A.
mef-2,0.821427502,,mef-2,WBGene00003182,Public name for WBGene00003182. History: N.A.
Y54F10BM.9,0.822605055,,Y54F10BM.9,WBGene00021863,Public name for WBGene00021863. History: N.A.
R01H10.7,0.822685549,,R01H10.7,WBGene00010975,Public name for WBGene00010975. History: N.A.
his-61,0.825534146,,his-61,WBGene00001935,Public name for WBGene00001935. History: N.A.
vps-52,0.82829192,,vps-52,WBGene00007059,Public name for WBGene00007059. History: N.A.
C17H11.2,0.830906227,,C17H11.2,WBGene00015922,Public name for WBGene00015922. History: N.A.
Y82E9BR.11,0.839058374,,Y82E9BR.11,WBGene00022344,Sequence name for WBGene00022344(pals-40). History: N.A.
R102.1,0.842813758,,R102.1,WBGene00011288,Public name for WBGene00011288. History: N.A.
btb-21,0.844152105,,btb-21,WBGene00018540,Public name for WBGene00018540. History: N.A.
fshr-1,0.847797574,,fshr-1,WBGene00008239,Public name for WBGene00008239. History: N.A.
Y23B4A.2,0.848123011,,Y23B4A.2,WBGene00021268,Sequence name for WBGene00021268(capa-1). History: Renamed on 2015-04-14
M03C11.1,0.848852443,,M03C11.1,WBGene00010838,Public name for WBGene00010838. History: N.A.
Y116A8C.40,0.853803585,0.6516318833544869,Y116A8C.40,WBGene00013812,Public name for WBGene00013812. History: N.A.
ymel-1,0.856451052,,ymel-1,WBGene00010842,Public name for WBGene00010842. History: N.A.
T07C4.10,0.863848834,,T07C4.10,WBGene00011562,"Sequence name for WBGene00011562(sas-7). History: Split into ""WBGene00044098"" on 2005-02-03"
fkb-5,0.866143388,,fkb-5,WBGene00001430,Public name for WBGene00001430. History: N.A.
T11F9.13,0.873885941,,T11F9.13,WBGene00011714,Public name for WBGene00011714. History: N.A.
C36E6.2,0.877900157,,C36E6.2,WBGene00016490,Public name for WBGene00016490. History: N.A.
str-151,0.881945022,,str-151,WBGene00006198,Public name for WBGene00006198. History: N.A.
T03G6.3,0.885817429,,T03G6.3,WBGene00020195,Public name for WBGene00020195. History: N.A.
W02B8.2,0.886366197,,W02B8.2,WBGene00012198,Public name for WBGene00012198. History: N.A.
Y57G11C.28,0.888144489,0.653075356205278,Y57G11C.28,WBGene00014924,Public name for WBGene00014924. History: N.A.
H09G03.1,0.894763139,,H09G03.1,WBGene00019174,"Public name for WBGene00019174. History: Split into H09G03.4(WBGene00305995), H09G03.5(WBGene00305996). History of WBGene00019174: Split into ""WBGene00305995"" on 2020-01-20; Split into ""WBGene00305996"" on 2020-01-20"
ser-5,0.895614332,,ser-5,WBGene00008890,Public name for WBGene00008890. History: N.A.
his-43,0.900627649,,his-43,WBGene00001917,Public name for WBGene00001917. History: N.A.
F36G3.2,0.903185434,,F36G3.2,WBGene00009483,Public name for WBGene00009483. History: N.A.
col-99,0.90536531,,col-99,WBGene00000674,Public name for WBGene00000674. History: N.A.
Y9C9A.13,0.911471948,0.7441904783649969,Y9C9A.13,WBGene00021180,Public name for WBGene00021180. History: N.A.
T20F7.1,0.912230742,0.652981186285672,T20F7.1,WBGene00020630,Public name for WBGene00020630. History: N.A.
gst-43,0.914211666,,gst-43,WBGene00001791,Public name for WBGene00001791. History: N.A.
F36F12.3,0.914753949,,F36F12.3,WBGene00018094,Public name for WBGene00018094. History: N.A.
arl-13,0.923299622,,arl-13,WBGene00021349,Public name for WBGene00021349. History: N.A.
F36F12.4,0.923612684,,F36F12.4,WBGene00018094,"Public name for Dead gene WBGene00018095. History of WBGene00018095: Merged into ""WBGene00018094"" on 2015-07-23"
F54F7.6,0.935371932,0.895614964958907,F54F7.6,WBGene00010066,Public name for WBGene00010066. History: N.A.
plp-2,0.935860364,,plp-2,WBGene00008976,Public name for WBGene00008976. History: N.A.
ser-3,0.944289603,,ser-3,WBGene00004778,Public name for WBGene00004778. History: N.A.
F26D2.16,0.945070752,,F26D2.16,WBGene00009154,Public name for WBGene00009154. History: N.A.
F11D11.3,0.951871484,0.9971877809699689,F11D11.3,WBGene00008698,Public name for WBGene00008698. History: N.A.
K08D8.3,0.955621317,,K08D8.3,WBGene00010657,Public name for WBGene00010657. History: N.A.
T11F9.14,0.95896968,,T11F9.14,WBGene00011715,Public name for WBGene00011715. History: N.A.
T16G12.4,0.961375063,,T16G12.4,WBGene00011805,Public name for WBGene00011805. History: N.A.
K08A2.4,0.964095085,0.6880801730511639,K08A2.4,WBGene00019513,Sequence name for WBGene00019513(lido-7). History: N.A.
F23A7.6,0.964511245,1.08926519808579,F23A7.6,WBGene00009071,Public name for WBGene00009071. History: N.A.
C10E2.5,0.967374714,,C10E2.5,WBGene00015675,Public name for WBGene00015675. History: N.A.
M03C11.3,0.971566816,,M03C11.3,WBGene00010840,Public name for WBGene00010840. History: N.A.
avr-14,0.978309634,,avr-14,WBGene00000232,Public name for WBGene00000232. History: N.A.
msh-4,0.978748049,,msh-4,WBGene00003420,Public name for WBGene00003420. History: N.A.
tag-235,0.980589103,,tag-235,WBGene00044069,Other name for WBGene00044069(hat-1). History: N.A.
Y41C4A.17,0.981118336,,Y41C4A.17,WBGene00012760,Public name for WBGene00012760. History: N.A.
nas-36,0.982284383,0.880206016539095,nas-36,WBGene00003552,Public name for WBGene00003552. History: N.A.
cdh-9,0.987736159,0.9063610068418128,cdh-9,WBGene00000401,Public name for WBGene00000401. History: N.A.
T07C4.3,0.988351095,,T07C4.3,WBGene00011560,Public name for WBGene00011560. History: N.A.
Y47H10A.5,0.993560036,,Y47H10A.5,WBGene00012961,Public name for WBGene00012961. History: N.A.
his-25,0.994331672,,his-25,WBGene00001899,Public name for WBGene00001899. History: N.A.
his-32,0.995486633,,his-32,WBGene00001906,Public name for WBGene00001906. History: N.A.
cnk-1,0.995751989,,cnk-1,WBGene00000564,Public name for WBGene00000564. History: N.A.
srh-71,0.995788077,,srh-71,WBGene00005292,Public name for WBGene00005292. History: N.A.
C05C9.1,0.996019707,1.79516084677819,C05C9.1,WBGene00007325,Public name for WBGene00007325. History: N.A.
aagr-1,1.00603708,,aagr-1,WBGene00017071,Public name for WBGene00017071. History: N.A.
C11D2.1,1.023444379,,C11D2.1,,Public name for Dead gene WBGene00015699. History of WBGene00015699: Killed on 2012-12-12. Remark: lack of evidence
M04D5.1,1.031382066,,M04D5.1,WBGene00014807,Public name for WBGene00014807. History: N.A.
ZK682.1,1.036924692,1.13481194181516,ZK682.1,,Sequence name for Suppressed gene WBGene00023403. Molecular name for Suppressed gene WBGene00023403. Public name for Suppressed gene WBGene00023403. History of WBGene00023403: Suppressed on 2013-02-11. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
lgc-48,1.039425917,1.07078097690677,lgc-48,WBGene00008223,Public name for WBGene00008223. History: N.A.
saeg-1,1.042111434,,saeg-1,WBGene00010012,Public name for WBGene00010012. History: N.A.
C36C9.1,1.043651971,1.02662788125942,C36C9.1,WBGene00016485,Sequence name for WBGene00016485(meg-4). History: N.A.
C43H6.6,1.04703438,0.917324453464126,C43H6.6,WBGene00016619,Public name for WBGene00016619. History: N.A.
C44H9.6,1.048692607,1.30759267829336,C44H9.6,WBGene00008101,Public name for WBGene00008101. History: N.A.
wago-5,1.067857484,1.22408047845491,wago-5,WBGene00022877,Public name for WBGene00022877. History: N.A.
hnd-1,1.089772817,,hnd-1,WBGene00001981,Public name for WBGene00001981. History: N.A.
Y39B6A.41,1.092438886,,Y39B6A.41,WBGene00012699,Public name for WBGene00012699. History: N.A.
M03C11.8,1.10827047,,M03C11.8,WBGene00010845,Public name for WBGene00010845. History: N.A.
Y82E9BL.18,1.110774875,,Y82E9BL.18,WBGene00044402,"Public name for WBGene00044402. History: Split into Y82E9BL.19(WBGene00194735). History of WBGene00044402: Split into ""WBGene00194735"" on 2009-08-21"
ceh-43,1.119990669,,ceh-43,WBGene00000463,Public name for WBGene00000463. History: Renamed on 2013-07-26
ZK856.4,1.133280014,,ZK856.4,WBGene00014105,Public name for WBGene00014105. History: N.A.
ced-9,1.137439579,,ced-9,WBGene00000423,Public name for WBGene00000423. History: N.A.
E02H9.9,1.161709661,,E02H9.9,WBGene00017106,Public name for WBGene00017106. History: N.A.
K03E5.1,1.173303239,,K03E5.1,WBGene00019360,Sequence name for WBGene00019360(neto-1). History: N.A.
F58F9.1,1.175090357,,F58F9.1,WBGene00019055,Public name for WBGene00019055. History: N.A.
ZK355.2,1.181256397,,ZK355.2,WBGene00022712,Public name for WBGene00022712. History: N.A.
K02E2.6,1.182178626,,K02E2.6,WBGene00010507,Public name for WBGene00010507. History: N.A.
C03D6.1,1.191624243,,C03D6.1,WBGene00007275,Public name for WBGene00007275. History: N.A.
F39B2.8,1.194116544,,F39B2.8,WBGene00009558,Public name for WBGene00009558. History: N.A.
Y82E9BR.13,1.19930629,,Y82E9BR.13,WBGene00022346,Sequence name for WBGene00022346(pals-17). History: N.A.
Y47D7A.16,1.208663732,,Y47D7A.16,WBGene00044637,Sequence name for WBGene00044637(rft-1). History: N.A.
acr-9,1.209055655,,acr-9,WBGene00000048,Public name for WBGene00000048. History: N.A.
fgt-1,1.210835994,,fgt-1,WBGene00019207,Public name for WBGene00019207. History: N.A.
prp-3,1.221067476,,prp-3,WBGene00010844,Public name for WBGene00010844. History: N.A.
pqn-32,1.251182526,,pqn-32,WBGene00004120,Public name for WBGene00004120. History: N.A.
gst-37,1.253318782,,gst-37,WBGene00001785,Public name for WBGene00001785. History: N.A.
sulp-8,1.256214784,,sulp-8,WBGene00013963,Public name for WBGene00013963. History: N.A.
Y102A5C.5,1.258402838,,Y102A5C.5,WBGene00014954,Public name for WBGene00014954. History: N.A.
C44B11.6,1.282266657,,C44B11.6,WBGene00016635,Public name for WBGene00016635. History: N.A.
tbx-9,1.294377632,,tbx-9,WBGene00006546,Public name for WBGene00006546. History: N.A.
his-63,1.316922289,0.852590327137256,his-63,WBGene00001937,Public name for WBGene00001937. History: N.A.
F13H6.4,1.335778357,,F13H6.4,WBGene00017432,Public name for WBGene00017432. History: N.A.
egl-10,1.340440733,0.7883548220962349,egl-10,WBGene00001179,Public name for WBGene00001179. History: N.A.
umps-1,1.346006067,,umps-1,WBGene00011559,Public name for WBGene00011559. History: Renamed on 2014-11-12
Y44A6C.2,1.352338372,,Y44A6C.2,WBGene00012851,Public name for WBGene00012851. History: N.A.
mks-5,1.356873234,,mks-5,WBGene00007490,"Public name for WBGene00007490. History: Split into C09G5.13(WBGene00206538). History of WBGene00007490: Renamed on 2011-07-12; Split into ""WBGene00206538"" on 2011-08-01"
sru-44,1.357368794,1.33909149289661,sru-44,WBGene00005707,Public name for WBGene00005707. History: N.A.
his-11,1.376474473,,his-11,WBGene00001885,Public name for WBGene00001885. History: N.A.
T07C4.12,1.387124143,,T07C4.12,WBGene00044891,Public name for WBGene00044891. History: N.A.
C09G5.7,1.409664051,-0.953350104972143,C09G5.7,WBGene00007489,Public name for WBGene00007489. History: N.A.
Y102A5C.6,1.435905174,,Y102A5C.6,WBGene00014955,Public name for WBGene00014955. History: N.A.
jmjd-4,1.460264678,,jmjd-4,WBGene00011563,"Public name for WBGene00011563. History: Split into T07C4.12(WBGene00044891). History of WBGene00011563: Split into ""WBGene00044891"" on 2006-05-19"
fbxa-193,1.471365087,1.39267326524605,fbxa-193,WBGene00010295,Public name for WBGene00010295. History: N.A.
his-45,1.472423847,1.07343163986324,his-45,WBGene00001919,Public name for WBGene00001919. History: N.A.
jip-1,1.480837501,1.02140693912741,jip-1,WBGene00002176,Public name for WBGene00002176. History: N.A.
C56G7.3,1.490768719,,C56G7.3,WBGene00008348,Public name for WBGene00008348. History: N.A.
his-15,1.505923225,,his-15,WBGene00001889,Public name for WBGene00001889. History: N.A.
fbxa-191,1.514463923,,fbxa-191,WBGene00010209,Public name for WBGene00010209. History: N.A.
chs-2,1.556036326,0.8183032908287439,chs-2,WBGene00000497,Public name for WBGene00000497. History: N.A.. Other name for WBGene00000496(chs-1). History: N.A.
C46G7.5,1.578922277,,C46G7.5,WBGene00044502,Public name for WBGene00044502. History: N.A.
C11H1.7,1.579450958,,C11H1.7,WBGene00007531,Public name for WBGene00007531. History: N.A.
unc-50,1.584619128,,unc-50,WBGene00006785,Public name for WBGene00006785. History: N.A.
ZK856.14,1.603212169,,ZK856.14,WBGene00044020,Public name for WBGene00044020. History: N.A.
his-44,1.603573815,,his-44,WBGene00001918,Public name for WBGene00001918. History: N.A.
ZC123.4,1.609067122,,ZC123.4,WBGene00022519,Sequence name for WBGene00022519(cdk-14). History: N.A.
R07E5.4,1.610626535,1.59951668287447,R07E5.4,WBGene00011112,Public name for WBGene00011112. History: N.A.
Y37E11B.2,1.610901821,,Y37E11B.2,WBGene00021375,Public name for WBGene00021375. History: N.A.
gsto-3,1.63487711,,gsto-3,WBGene00019636,Public name for WBGene00019636. History: N.A.
R03D7.2,1.647042676,0.7832832099682219,R03D7.2,WBGene00010989,Public name for WBGene00010989. History: N.A.
hint-3,1.653531746,0.759922693065719,hint-3,WBGene00016150,Public name for WBGene00016150. History: N.A.
K06B9.6,1.7011177,,K06B9.6,WBGene00044478,Public name for WBGene00044478. History: N.A.
siah-1,1.74084298,,siah-1,WBGene00021369,Public name for WBGene00021369. History: N.A.
klf-1,1.765445641,1.08979806126961,klf-1,WBGene00018990,Public name for WBGene00018990. History: N.A.
R07H5.9,2.04815486,,R07H5.9,WBGene00011129,Public name for WBGene00011129. History: N.A.
ZC204.14,2.149822787,,ZC204.14,WBGene00022564,Public name for WBGene00022564. History: N.A.
Y17D7B.10,2.245590758,,Y17D7B.10,WBGene00194982,Public name for WBGene00194982. History: N.A.
W06A11.4,2.346957595,1.14527234227521,W06A11.4,WBGene00021055,Public name for WBGene00021055. History: N.A.
saeg-2,2.365292002,0.5442012045622189,saeg-2,WBGene00011964,Public name for WBGene00011964. History: N.A.
his-16,2.456198446,1.02971946473457,his-16,WBGene00001890,Public name for WBGene00001890. History: N.A.
tbc-8,2.66395911,,tbc-8,WBGene00008018,Public name for WBGene00008018. History: N.A.
jmjc-1,2.765250515,,jmjc-1,WBGene00020902,Public name for WBGene00020902. History: N.A.
C27D8.3,2.904879889,,C27D8.3,WBGene00007779,Public name for WBGene00007779. History: N.A.
C53D5.5,3.107564332,,C53D5.5,WBGene00016906,Public name for WBGene00016906. History: N.A.
C36A4.11,3.128908678,,C36A4.11,WBGene00044167,Public name for WBGene00044167. History: N.A.
Y110A2AL.1,6.369819065,,Y110A2AL.1,WBGene00022438,Public name for WBGene00022438. History: N.A.
