gene,N_0MM,ID_0MM,N_1MM,ID_1MM,N_2MM,ID_2MM,N_3MM,ID_3MM,number of 22G-RNA reads at target sites in wild-type,number of 22G-RNA reads at target sites in prg-1,number of 22G-RNA reads matching transcript in wild-type,number of 22G-RNA reads matching transcript in prg-1,Input,Suggested Match,History
T10C6.15,0,,0,,0,,2,"21UR-14738,21UR-3853",0,0.0,2,0,T10C6.15,WBGene00050899,Public name for WBGene00050899. History: N.A.
T10C6.8,0,,0,,0,,1,21UR-10596,0,0.0,6,0,T10C6.8,WBGene00014516,Sequence name for WBGene00014516(hpo-42). History: N.A.
T10H4.13,0,,0,,0,,1,21UR-11864,0,0.0,0,0,T10H4.13,WBGene00045339,Public name for WBGene00045339. History: N.A.
T10H4.1,0,,0,,0,,7,"21UR-9587,21UR-11626,21UR-9344,21UR-1178,21UR-12972,21UR-7643,21UR-1871",0,0.0,0,0,T10H4.1,WBGene00014839,Public name for WBGene00014839. History: N.A.
T10H4.7,0,,0,,0,,1,21UR-13719,0,0.0,0,0,T10H4.7,WBGene00005765,Sequence name for WBGene00005765(srw-18). History: N.A.
T11A5.4,0,,1,21UR-15944,0,,5,"21UR-3284,21UR-8109,21UR-5952,21UR-14886,21UR-13760",0,0.0,1,1,T11A5.4,WBGene00011703,Sequence name for WBGene00011703(srab-19). History: Split into srab-26(WBGene00043059). History of WBGene00011703: N.A.
T13E8.1,0,,0,,0,,1,21UR-12148,0,0.0,0,0,T13E8.1,,"Public name for Dead gene WBGene00045033. History of WBGene00045033: Killed on 2010-07-09. Remark: [100629 pad] Removed following correspondence with Rebecca Robilotto and Mark Gerstein, this is no longer believed to be a valid Pseudogene"
T16H12.10,0,,0,,6,"21UR-16000,21UR-13832,21UR-11123,21UR-15985",4,"21UR-13442,21UR-11849,21UR-15986,21UR-6474",0,0.0,0,0,T16H12.10,WBGene00011818,Sequence name for WBGene00011818(srt-57). History: N.A.
T19C4.10,0,,0,,0,,2,"21UR-14173,21UR-4394",0,0.0,0,0,T19C4.10,WBGene00014841,Public name for WBGene00014841. History: N.A.
T19H5.5,0,,0,,0,,7,"21UR-3340,21UR-12810,21UR-8743,21UR-15600,21UR-12622,21UR-6766,21UR-8404",0,0.0,0,0,T19H5.5,WBGene00044806,Public name for WBGene00044806. History: N.A.
T19H5.6,0,,0,,0,,2,"21UR-8761,21UR-6708",0,0.0,0,0,T19H5.6,WBGene00044807,Public name for WBGene00044807. History: N.A.
T20C7.1,0,,0,,2,"21UR-15896,21UR-15985",5,"21UR-9560,21UR-11382,21UR-2253,21UR-15986,21UR-15890",0,0.0,9,2,T20C7.1,WBGene00005952,Sequence name for WBGene00005952(srx-61). History: N.A.
T20F10.6,0,,0,,2,21UR-5713,9,"21UR-5128,21UR-11451,21UR-2189,21UR-13525,21UR-11932,21UR-15903,21UR-12666",0,0.0,0,0,T20F10.6,,Sequence name for Suppressed gene WBGene00044532. Molecular name for Suppressed gene WBGene00044532. Public name for Suppressed gene WBGene00044532. History of WBGene00044532: Killed on 2012-10-15; Suppressed on 2013-07-30. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
T20F10.7,0,,0,,0,,3,"21UR-2018,21UR-14424,21UR-6419",0,0.0,0,0,T20F10.7,,Sequence name for Suppressed gene WBGene00045054. Molecular name for Suppressed gene WBGene00045054. Public name for Suppressed gene WBGene00045054. History of WBGene00045054: Killed on 2012-10-15; Suppressed on 2013-07-30. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
T20H9.5,0,,0,,0,,1,21UR-11508,0,0.0,14,0,T20H9.5,WBGene00020641,Sequence name for WBGene00020641(fbxa-68). History: N.A.
T21B4.10,0,,0,,1,21UR-8409,3,"21UR-15411,21UR-15809,21UR-8442",0,0.0,0,0,T21B4.10,WBGene00005287,Sequence name for WBGene00005287(srh-66). History: N.A.
T23F1.1,0,,0,,1,21UR-6549,4,"21UR-8475,21UR-14995,21UR-268,21UR-9733",0,0.0,2,0,T23F1.1,WBGene00005445,Sequence name for WBGene00005445(srh-238). History: N.A.
T23F6.7,0,,0,,1,21UR-7317,1,21UR-4792,0,0.0,0,0,T23F6.7,WBGene00045184,Public name for WBGene00045184. History: N.A.
T24A6.12,0,,0,,0,,3,"21UR-11116,21UR-389,21UR-14762",0,0.0,0,0,T24A6.12,WBGene00020751,Sequence name for WBGene00020751(srbc-69). History: N.A.
T26A8.5,0,,0,,3,"21UR-12650,21UR-13167",9,"21UR-12650,21UR-13738,21UR-4220,21UR-5353,21UR-14205,21UR-5542,21UR-8799",0,0.0,0,0,T26A8.5,WBGene00023488,Sequence name for WBGene00023488(srz-84). History: N.A.
T26E3.11,0,,0,,0,,3,"21UR-10145,21UR-15864,21UR-6978",0,0.0,0,0,T26E3.11,WBGene00044905,Public name for WBGene00044905. History: N.A.
T26E4.11,0,,0,,0,,5,"21UR-423,21UR-15056,21UR-6661,21UR-3405,21UR-4276",0,0.0,0,0,T26E4.11,WBGene00005796,Sequence name for WBGene00005796(srw-49). History: N.A.
T26E4.13,0,,0,,0,,1,21UR-15784,0,0.0,0,0,T26E4.13,WBGene00012053,Sequence name for WBGene00012053(srbc-74). History: N.A.
T26E4.6,0,,0,,2,"21UR-11207,21UR-8888",5,"21UR-8495,21UR-11783,21UR-5479,21UR-13048,21UR-11474",0,0.0,0,0,T26E4.6,WBGene00012048,Sequence name for WBGene00012048(srxa-17). History: N.A.
T26F2.4,0,,0,,0,,2,"21UR-5917,21UR-2992",0,0.0,0,1,T26F2.4,WBGene00050902,Public name for WBGene00050902. History: N.A.
T26F2.5,0,,0,,0,,2,"21UR-5917,21UR-2992",0,0.0,0,1,T26F2.5,WBGene00077571,Public name for WBGene00077571. History: N.A.
T26H2.11,0,,0,,0,,1,21UR-7706,0,0.0,0,0,T26H2.11,WBGene00050951,Public name for WBGene00050951. History: N.A.
T26H2.12,0,,0,,0,,2,"21UR-15533,21UR-5181",0,0.0,0,0,T26H2.12,WBGene00077662,Public name for WBGene00077662. History: N.A.
T26H5.1,0,,0,,0,,4,"21UR-9561,21UR-922,21UR-2730,21UR-8136",0,0.0,0,0,T26H5.1,WBGene00005460,Sequence name for WBGene00005460(srh-254). History: N.A.
T26H5.6,0,,0,,0,,1,21UR-6558,0,0.0,0,0,T26H5.6,WBGene00014846,Public name for WBGene00014846. History: N.A.
T26H5.7,0,,0,,1,21UR-2645,2,"21UR-1587,21UR-8186",0,0.0,0,0,T26H5.7,WBGene00006168,Sequence name for WBGene00006168(str-117). History: N.A.
T26H8.3,0,,0,,0,,2,"21UR-10611,21UR-15178",0,0.0,1,0,T26H8.3,WBGene00005940,Sequence name for WBGene00005940(srx-49). History: N.A.
T27C5.11,0,,0,,0,,1,21UR-13124,0,0.0,0,0,T27C5.11,WBGene00023512,Sequence name for WBGene00023512(srz-51). History: N.A.
T27C5.13,0,,0,,0,,1,21UR-1925,0,0.0,0,0,T27C5.13,WBGene00044095,Sequence name for WBGene00044095(srh-121). History: N.A.
T27C5.14,0,,0,,0,,3,"21UR-15650,21UR-15487,21UR-6120",0,0.0,1,1,T27C5.14,WBGene00044096,Sequence name for WBGene00044096(srh-96). History: N.A.
T27C5.15,0,,0,,0,,2,"21UR-14330,21UR-2077",0,0.0,0,0,T27C5.15,WBGene00077631,Public name for WBGene00077631. History: N.A.
T27C5.3,0,,0,,0,,2,"21UR-10358,21UR-11019",0,0.0,2,0,T27C5.3,WBGene00005943,Sequence name for WBGene00005943(srx-52). History: N.A.
T27C5.4,0,,0,,0,,2,"21UR-8409,21UR-6986",0,0.0,1,0,T27C5.4,WBGene00012078,Sequence name for WBGene00012078(srz-50). History: N.A.
T27C5.6,0,,0,,0,,1,21UR-11777,0,0.0,0,0,T27C5.6,WBGene00012079,Public name for WBGene00012079. History: N.A.
T27E7.11,0,,0,,0,,1,21UR-8712,0,0.0,0,0,T27E7.11,WBGene00045011,Public name for WBGene00045011. History: N.A.
T27E7.12,0,,0,,0,,1,21UR-15404,0,0.0,0,0,T27E7.12,WBGene00045313,Public name for WBGene00045313. History: N.A.
T27E7.2,0,,0,,0,,1,21UR-14350,0,0.0,0,0,T27E7.2,WBGene00005286,Sequence name for WBGene00005286(srh-65). History: N.A.
T28B8.4,0,,0,,2,"21UR-14608,21UR-10472",7,"21UR-1697,21UR-11225,21UR-10038,21UR-15560,21UR-15905,21UR-2410,21UR-9376",0,0.0,0,1,T28B8.4,WBGene00012115,Public name for WBGene00012115. History: N.A.
T28F3.7,0,,0,,0,,1,21UR-5804,0,0.0,0,0,T28F3.7,WBGene00012133,Public name for WBGene00012133. History: N.A.
VY10G11R.3,2,"21UR-10975,21UR-148",0,,0,,0,,0,0.0,1,0,VY10G11R.3,WBGene00045098,Public name for WBGene00045098. History: N.A.
W01B6.10,0,,0,,0,,1,21UR-11568,0,0.0,0,0,W01B6.10,WBGene00045182,Public name for WBGene00045182. History: N.A.
W02A11.t1,0,,0,,0,,1,21UR-7655,0,0.0,0,0,W02A11.t1,WBGene00014853,Public name for WBGene00014853. History: N.A.
W02H3.2,0,,0,,0,,2,"21UR-745,21UR-6273",0,0.0,0,1,W02H3.2,WBGene00012218,Public name for WBGene00012218. History: N.A.
W03F9.7,0,,0,,0,,5,"21UR-8369,21UR-11096,21UR-10841,21UR-15436,21UR-15541",0,0.0,0,0,W03F9.7,WBGene00005302,Sequence name for WBGene00005302(srh-81). History: N.A.
W03F9.8,0,,0,,0,,1,21UR-9849,0,0.0,0,0,W03F9.8,WBGene00023356,Public name for WBGene00023356. History: N.A.
W04G5.13,0,,0,,0,,1,21UR-13927,0,0.0,0,0,W04G5.13,WBGene00045076,Public name for WBGene00045076. History: N.A.
W06G6.16,0,,0,,0,,1,21UR-5581,0,0.0,0,0,W06G6.16,WBGene00077620,Public name for WBGene00077620. History: N.A.
W06G6.4,0,,0,,1,21UR-3118,2,"21UR-10043,21UR-14089",0,0.0,0,0,W06G6.4,WBGene00005102,Sequence name for WBGene00005102(srd-24). History: N.A.
W07G1.10,0,,0,,0,,1,21UR-1900,0,0.0,0,0,W07G1.10,,"Public name for Dead gene WBGene00044123. History of WBGene00044123: Killed on 2010-07-09. Remark: [100629 pad] Removed following correspondence with Rebecca Robilotto and Mark Gerstein, this is no longer believed to be a valid Pseudogene"
W09G3.5,1,21UR-15982,0,,0,,0,,0,0.0,31,271,W09G3.5,WBGene00012368,Sequence name for WBGene00012368(fbxa-93). History: N.A.
W10G11.8,0,,0,,0,,1,21UR-7772,0,0.0,0,0,W10G11.8,WBGene00023358,Public name for WBGene00023358. History: N.A.
Y102A5C.26,0,,0,,0,,2,"21UR-13295,21UR-7884",0,0.0,1,0,Y102A5C.26,WBGene00013627,Sequence name for WBGene00013627(srz-52). History: N.A.
Y102A5C.38,0,,0,,0,,1,21UR-2552,0,0.0,23,2,Y102A5C.38,WBGene00050883,Public name for WBGene00050883. History: N.A.
Y102A5C.41,0,,0,,0,,1,21UR-6231,0,0.0,0,0,Y102A5C.41,WBGene00077625,Public name for WBGene00077625. History: N.A.
Y105C5A.19,0,,0,,1,21UR-2288,6,"21UR-11770,21UR-4366,21UR-6697,21UR-7163,21UR-11836,21UR-5393",0,0.0,1,0,Y105C5A.19,WBGene00014961,Public name for WBGene00014961. History: N.A.
Y105C5A.20,0,,0,,1,21UR-2288,6,"21UR-11770,21UR-4366,21UR-6697,21UR-7163,21UR-11836,21UR-5393",0,0.0,1,0,Y105C5A.20,WBGene00014962,Public name for WBGene00014962. History: N.A.
Y105C5A.25,0,,0,,0,,2,"21UR-669,21UR-14064",5,5.0,281,327,Y105C5A.25,WBGene00013644,Public name for WBGene00013644. History: N.A.
Y105C5A.29,0,,1,21UR-15956,2,"21UR-15721,21UR-8488",1,21UR-15764,0,0.0,1,0,Y105C5A.29,,"Public name for Dead gene WBGene00045008. History of WBGene00045008: Killed on 2010-07-09. Remark: [100629 pad] Removed following correspondence with Rebecca Robilotto and Mark Gerstein, this is no longer believed to be a valid Pseudogene"
Y105C5B.24,0,,0,,2,"21UR-10031,21UR-15809",13,"21UR-10490,21UR-8498,21UR-1223,21UR-16003,21UR-8869,21UR-9742,21UR-11745,21UR-9641,21UR-14112,21UR-10905,21UR-8951,21UR-6744,21UR-8799",0,0.0,1,0,Y105C5B.24,WBGene00005220,Sequence name for WBGene00005220(srg-63). History: N.A.
Y105C5B.30,0,,0,,0,,7,"21UR-10031,21UR-15768,21UR-11296,21UR-4626,21UR-6488,21UR-3765,21UR-11278",0,0.0,0,0,Y105C5B.30,WBGene00044085,Public name for WBGene00044085. History: N.A.
Y105E8B.10,0,,0,,0,,2,"21UR-14465,21UR-15961",0,0.0,3,0,Y105E8B.10,WBGene00014964,Public name for WBGene00014964. History: N.A.
Y106G6D.5a,0,,0,,0,,5,"21UR-8923,21UR-5547,21UR-12741,21UR-11005,21UR-519",0,0.0,2,3,Y106G6D.5a,WBGene00014965,Molecule name for WBGene00014965(Y106G6D.5). History: N.A.
Y106G6D.5b,0,,0,,0,,5,"21UR-8923,21UR-5547,21UR-12741,21UR-11005,21UR-519",0,0.0,2,3,Y106G6D.5b,WBGene00014965,Molecule name for WBGene00014965(Y106G6D.5). History: N.A.
Y106G6E.2,0,,0,,0,,1,21UR-6105,0,0.0,0,1,Y106G6E.2,WBGene00013706,Public name for WBGene00013706. History: N.A.
Y106G6G.5,0,,0,,1,21UR-13789,17,"21UR-11829,21UR-4427,21UR-7409,21UR-12038,21UR-7832,21UR-6876,21UR-13819,21UR-12657,21UR-8865,21UR-15455,21UR-15903,21UR-5884,21UR-9229,21UR-5869,21UR-13797,21UR-7632,21UR-3523",0,0.0,0,0,Y106G6G.5,,Sequence name for Suppressed gene WBGene00013714. Molecular name for Suppressed gene WBGene00013714. Public name for Suppressed gene WBGene00013714. History of WBGene00013714: Killed on 2012-10-15; Suppressed on 2013-07-30. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
Y106G6G.7,0,,0,,0,,8,"21UR-11605,21UR-13299,21UR-89,21UR-11320,21UR-11370,21UR-12679,21UR-10445,21UR-13770",0,0.0,0,0,Y106G6G.7,WBGene00045057,Public name for WBGene00045057. History: N.A.
Y106G6H.10,0,,0,,1,21UR-13593,2,"21UR-11207,21UR-4046",0,0.0,4,1,Y106G6H.10,WBGene00013722,Public name for WBGene00013722. History: N.A.
Y113G7A.2,0,,0,,0,,2,"21UR-13999,21UR-2213",0,0.0,1,0,Y113G7A.2,WBGene00014967,Public name for WBGene00014967. History: N.A.
Y113G7B.26,0,,0,,0,,1,21UR-13888,0,0.0,0,0,Y113G7B.26,WBGene00013770,Public name for WBGene00013770. History: N.A.
Y116A8C.45,1,21UR-2291,0,,0,,0,,0,0.0,0,0,Y116A8C.45,,"Public name for Dead gene WBGene00045020. History of WBGene00045020: Killed on 2010-07-09. Remark: [100629 pad] Removed following correspondence with Rebecca Robilotto and Mark Gerstein, this is no longer believed to be a valid Pseudogene"
Y116A8C.52,0,,0,,0,,7,"21UR-3385,21UR-8200,21UR-10064,21UR-7105,21UR-11288,21UR-1669,21UR-697",0,0.0,0,0,Y116A8C.52,WBGene00045315,Public name for WBGene00045315. History: N.A.
Y116F11A.4,0,,0,,0,,2,"21UR-12916,21UR-12642",0,0.0,2,0,Y116F11A.4,WBGene00014615,Public name for WBGene00014615. History: N.A.
Y11D7A.16,0,,0,,0,,3,"21UR-5661,21UR-13738,21UR-15971",0,0.0,0,0,Y11D7A.16,WBGene00014863,Public name for WBGene00014863. History: N.A.
Y11D7A.18,0,,0,,0,,1,21UR-8631,0,0.0,0,0,Y11D7A.18,WBGene00045309,Sequence name for WBGene00045309(srg-52). History: N.A.
Y18D10A.18,0,,0,,0,,2,"21UR-10198,21UR-12971",0,0.0,2,0,Y18D10A.18,WBGene00012485,Sequence name for WBGene00012485(fbxa-121). History: N.A.
Y18D10A.27,0,,0,,0,,4,"21UR-7761,21UR-9423,21UR-3403,21UR-5581",0,0.0,0,0,Y18D10A.27,WBGene00077556,Public name for WBGene00077556. History: N.A.
Y19D10A.18,0,,0,,0,,4,"21UR-4700,21UR-15735,21UR-11779,21UR-7465",0,0.0,0,0,Y19D10A.18,WBGene00044902,Public name for WBGene00044902. History: N.A.
Y26D4A.18,0,,0,,0,,1,21UR-10133,0,0.0,0,0,Y26D4A.18,WBGene00045235,Public name for WBGene00045235. History: N.A.
Y26D4A.19,0,,0,,0,,1,21UR-13449,0,0.0,0,0,Y26D4A.19,WBGene00045236,Public name for WBGene00045236. History: N.A.
Y26D4A.20,0,,0,,0,,1,21UR-4291,0,0.0,2,0,Y26D4A.20,,Sequence name for Suppressed gene WBGene00077528. Molecular name for Suppressed gene WBGene00077528. Public name for Suppressed gene WBGene00077528. History of WBGene00077528: Killed on 2012-10-31; Suppressed on 2013-07-30. Remark: This gene was determined to be of Transposon in origin so has been removed from the C. elegans protein set. Detailed information about the origin of this gene can be found in the corresponding Transposon object associated with this gene.
Y26G10.3,0,,0,,0,,1,21UR-7742,0,0.0,0,0,Y26G10.3,WBGene00050973,Public name for WBGene00050973. History: N.A.
Y2H9A.5,0,,0,,0,,1,21UR-11969,0,0.0,0,0,Y2H9A.5,WBGene00077567,Public name for WBGene00077567. History: N.A.
Y32B12A.2,0,,0,,0,,2,"21UR-2413,21UR-6288",0,0.0,0,0,Y32B12A.2,WBGene00012517,Sequence name for WBGene00012517(srbc-73). History: N.A.
Y32B12A.7,0,,0,,0,,3,"21UR-10483,21UR-10765,21UR-13290",0,0.0,0,0,Y32B12A.7,WBGene00005466,Sequence name for WBGene00005466(srh-260). History: N.A.
Y37H2A.16,0,,0,,0,,1,21UR-11994,0,0.0,49,36,Y37H2A.16,WBGene00050935,Public name for WBGene00050935. History: N.A.
Y37H2A.8,0,,0,,0,,6,"21UR-3067,21UR-11591,21UR-1421,21UR-15971,21UR-10880,21UR-3098",0,0.0,2,0,Y37H2A.8,WBGene00012568,Sequence name for WBGene00012568(fbxa-212). History: N.A.
Y39A3A.6,0,,0,,0,,4,"21UR-12097,21UR-12370,21UR-6535,21UR-15595",0,0.0,0,0,Y39A3A.6,WBGene00023470,Sequence name for WBGene00023470(srz-87). History: N.A.
Y39B6A.21,0,,0,,0,,36,"21UR-4220,21UR-10427",0,0.0,3,2,Y39B6A.21,WBGene00012680,Public name for WBGene00012680. History: N.A.
Y39B6A.31,0,,0,,0,,11,"21UR-10031,21UR-9916,21UR-5319,21UR-9742,21UR-9240,21UR-5542,21UR-15909,21UR-10905,21UR-15971,21UR-12591,21UR-8799",0,0.0,1,1,Y39B6A.31,WBGene00012690,Public name for WBGene00012690. History: N.A.
Y39C12A.2,0,,0,,2,"21UR-15793,21UR-15996",0,,0,0.0,40,0,Y39C12A.2,WBGene00014883,Public name for WBGene00014883. History: Killed on 2009-01-20; Resurrected on 2009-03-12
Y39C12A.4,0,,0,,0,,2,"21UR-2386,21UR-15283",0,0.0,0,0,Y39C12A.4,WBGene00012706,Sequence name for WBGene00012706(sre-17). History: N.A.
Y39G8C.3a,0,,0,,0,,4,"21UR-5776,21UR-12500,21UR-15533,21UR-9807",0,0.0,1,0,Y39G8C.3a,WBGene00014569,Molecule name for WBGene00014569(bkip-1). History: N.A.
Y39G8C.3b,0,,0,,0,,4,"21UR-5776,21UR-12500,21UR-15533,21UR-9807",0,0.0,1,0,Y39G8C.3b,WBGene00014569,Molecule name for WBGene00014569(bkip-1). History: N.A.
Y39G8C.5,0,,0,,1,21UR-13719,11,"21UR-4760,21UR-6949,21UR-9266,21UR-7105,21UR-5735,21UR-8499,21UR-6324,21UR-9128,21UR-12969,21UR-12600,21UR-1644",0,0.0,0,7,Y39G8C.5,WBGene00196067,"Public name for WBGene00196067. History: N.A.. Other name for Dead gene WBGene00044055. History of WBGene00044055: Merged into ""WBGene00012730"" on 2008-07-18"
Y40H7A.14,1,21UR-14722,0,,0,,0,,0,0.0,0,0,Y40H7A.14,WBGene00045018,Public name for WBGene00045018. History: N.A.
Y41E3.17,15,"21UR-13593,21UR-4378,21UR-4148,21UR-3856,21UR-7090,21UR-3640,21UR-15495,21UR-3557,21UR-5468,21UR-2229,21UR-8322,21UR-3834,21UR-6537,21UR-6543,21UR-1450",0,,5,"21UR-12618,21UR-9364,21UR-15811,21UR-8923,21UR-12535",23,"21UR-15809,21UR-11477,21UR-15497,21UR-4956,21UR-11777,21UR-628,21UR-451,21UR-8637,21UR-5277,21UR-2633,21UR-12641,21UR-14784,21UR-13663,21UR-8016,21UR-5884,21UR-7843,21UR-3946,21UR-6223,21UR-9224,21UR-11619,21UR-12602,21UR-13832,21UR-11246",1,1.0,1,1,Y41E3.17,WBGene00012775,Sequence name for WBGene00012775(srt-50). History: N.A.
Y41E3.21,1,21UR-7518,0,,0,,6,"21UR-14627,21UR-9887,21UR-9607,21UR-14285,21UR-15283,21UR-10866",0,0.0,0,0,Y41E3.21,WBGene00045066,Public name for WBGene00045066. History: N.A.
Y41E3.23,1,21UR-7033,0,,2,"21UR-12861,21UR-3700",0,,0,0.0,0,0,Y41E3.23,WBGene00012775,"Public name for Dead gene WBGene00045312. History of WBGene00045312: Merged into ""WBGene00012775"" on 2012-04-24"
Y43D4A.7,0,,0,,0,,4,"21UR-5492,21UR-9117,21UR-12644,21UR-14350",0,0.0,0,0,Y43D4A.7,WBGene00012793,Public name for WBGene00012793. History: N.A.
Y43D4A.8,0,,0,,0,,1,21UR-5490,0,0.0,0,0,Y43D4A.8,WBGene00045143,Public name for WBGene00045143. History: N.A.
Y43F4B.13,0,,0,,1,21UR-15888,0,,0,0.0,8,1,Y43F4B.13,WBGene00012806,"Public name for Dead gene WBGene00045284. History of WBGene00045284: Merged into ""WBGene00012806"" on 2009-05-27"
Y45F10B.17,1,21UR-14554,0,,0,,1,21UR-1570,0,0.0,0,0,Y45F10B.17,WBGene00045045,Public name for WBGene00045045. History: N.A.
Y45F10B.18,3,"21UR-6542,21UR-9122,21UR-1076",0,,1,21UR-12591,7,"21UR-14636,21UR-3427,21UR-13744,21UR-7884,21UR-10765,21UR-12693,21UR-8799",0,0.0,0,0,Y45F10B.18,WBGene00045059,Public name for WBGene00045059. History: N.A.
Y45F3A.6,0,,0,,0,,1,21UR-9818,0,0.0,124,0,Y45F3A.6,WBGene00014898,Public name for WBGene00014898. History: N.A.
Y47H9C.11,0,,0,,0,,4,"21UR-11347,21UR-1048,21UR-13462,21UR-5049",0,0.0,1,0,Y47H9C.11,WBGene00012954,Sequence name for WBGene00012954(fbxa-217). History: N.A.
Y48B6A.16,0,,0,,0,,3,"21UR-13875,21UR-5349,21UR-6174",0,0.0,0,0,Y48B6A.16,WBGene00050948,Public name for WBGene00050948. History: N.A.
Y48G1BL.3,0,,0,,3,"21UR-12354,21UR-15738,21UR-15745",12,"21UR-8408,21UR-6603,21UR-15492,21UR-4051,21UR-7505,21UR-6184,21UR-5812,21UR-8297,21UR-9352,21UR-4738,21UR-6872,21UR-12061",1,1.0,29,9,Y48G1BL.3,WBGene00004246,Sequence name for WBGene00004246(puf-10). History: N.A.
Y49E10.7,0,,0,,0,,2,"21UR-14385,21UR-8512",0,0.0,10,0,Y49E10.7,WBGene00013031,Public name for WBGene00013031. History: N.A.
Y49F6A.6,0,,0,,0,,1,21UR-7772,0,0.0,0,0,Y49F6A.6,WBGene00005510,Sequence name for WBGene00005510(srh-306). History: N.A.
Y51A2A.3,0,,0,,0,,1,21UR-8631,0,0.0,2,0,Y51A2A.3,WBGene00013059,Public name for WBGene00013059. History: N.A.
Y51A2A.9,0,,0,,1,21UR-11779,1,21UR-9905,0,0.0,288,3,Y51A2A.9,WBGene00014907,Sequence name for WBGene00014907(fbxa-117). History: N.A.
Y51A2B.10,0,,0,,0,,3,"21UR-9401,21UR-3016,21UR-10436",0,0.0,0,0,Y51A2B.10,WBGene00077648,Public name for WBGene00077648. History: N.A.
Y51A2B.11,0,,0,,0,,1,21UR-10641,0,0.0,1,0,Y51A2B.11,WBGene00077649,Public name for WBGene00077649. History: N.A.
Y51A2D.23,0,,0,,1,21UR-8810,0,,0,0.0,1,1,Y51A2D.23,WBGene00077653,Public name for WBGene00077653. History: N.A.
Y51B9A.10,0,,0,,1,21UR-9534,1,21UR-1558,0,0.0,0,0,Y51B9A.10,WBGene00044170,Public name for WBGene00044170. History: N.A.
Y51B9A.2,0,,0,,0,,2,"21UR-14063,21UR-1935",0,0.0,2,0,Y51B9A.2,WBGene00014909,Public name for WBGene00014909. History: N.A.
Y51H4A.18,1,21UR-9837,1,21UR-12195,0,,0,,0,0.0,0,0,Y51H4A.18,WBGene00013112,Public name for WBGene00013112. History: N.A.
Y51H4A.19,3,"21UR-736,21UR-6789,21UR-11748",0,,2,"21UR-12770,21UR-12602",10,"21UR-15809,21UR-13818,21UR-10731,21UR-3075,21UR-14175,21UR-4250,21UR-9963,21UR-45,21UR-10953,21UR-8939",0,0.0,0,0,Y51H4A.19,WBGene00013113,Public name for WBGene00013113. History: N.A.
Y51H4A.24,0,,1,21UR-16003,2,"21UR-15809,21UR-5131",4,"21UR-9907,21UR-5469,21UR-4539,21UR-11840",0,0.0,0,0,Y51H4A.24,WBGene00013118,Public name for WBGene00013118. History: N.A.
Y51H7BR.6,0,,0,,1,21UR-5479,9,"21UR-231,21UR-6996,21UR-11276,21UR-1771,21UR-11222,21UR-10376,21UR-14038,21UR-10133,21UR-6120",0,0.0,0,0,Y51H7BR.6,WBGene00005704,Sequence name for WBGene00005704(sru-41). History: N.A.
Y52B11A.12,33,21UR-15780,36,"21UR-15864,21UR-15780",1,21UR-15864,7,"21UR-15780,21UR-15864,21UR-14043",0,0.0,3,2,Y52B11A.12,WBGene00077539,Public name for WBGene00077539. History: N.A.
Y52B11A.6,0,,0,,0,,1,21UR-7476,0,0.0,0,0,Y52B11A.6,,"Public name for Dead gene WBGene00014913. History of WBGene00014913: Killed on 2010-07-09. Remark: [100629 pad] Removed following correspondence with Rebecca Robilotto and Mark Gerstein, this is no longer believed to be a valid Pseudogene"
Y53C10A.13,0,,0,,0,,1,21UR-11670,0,0.0,3,0,Y53C10A.13,WBGene00014917,Sequence name for WBGene00014917(fbxa-122). History: N.A.
Y53C10A.7,0,,0,,0,,2,"21UR-6137,21UR-7878",0,0.0,3,0,Y53C10A.7,WBGene00014916,Sequence name for WBGene00014916(fbxa-124). History: N.A.
Y53F4B.40,1,21UR-12600,0,,0,,19,"21UR-12600,21UR-11860,21UR-14087,21UR-11009,21UR-5647,21UR-9364,21UR-11770,21UR-9404,21UR-11491,21UR-14608,21UR-15903,21UR-10502,21UR-9641,21UR-14981,21UR-11384,21UR-8012,21UR-13290",0,0.0,52,0,Y53F4B.40,WBGene00044056,Public name for WBGene00044056. History: N.A.
Y54E5B.5,0,,0,,0,,1,21UR-4760,0,0.0,12,0,Y54E5B.5,WBGene00014921,Public name for WBGene00014921. History: N.A.
Y57A10C.5,0,,0,,1,21UR-8934,9,"21UR-6996,21UR-12785,21UR-9222,21UR-11727,21UR-1771,21UR-2703,21UR-10823,21UR-9558,21UR-11744",0,0.0,0,0,Y57A10C.5,WBGene00013283,Sequence name for WBGene00013283(sre-25). History: N.A.
Y57G11B.4,0,,0,,0,,2,"21UR-4369,21UR-10833",0,0.0,290,205,Y57G11B.4,WBGene00014922,Public name for WBGene00014922. History: N.A.
Y57G11B.8,1,21UR-7265,3,"21UR-15903,21UR-6509,21UR-8959",0,,1,21UR-15256,0,0.0,0,0,Y57G11B.8,WBGene00045061,"Public name for WBGene00045061. History: Split into Y57G11B.223(WBGene00255522). History of WBGene00045061: Split into ""WBGene00255522"" on 2014-05-28"
