# Table S1. WAGO-4-associated siRNAs targeted genes,Related to Figure 5
# The targets were selected using a threshold of 25 reads per million total reads.,NA
Gene ID,number of reads,number of reads per million,Input,Suggested Match,History
F54D7.2,6011,510.574957857,F54D7.2,WBGene00018797,Sequence name for WBGene00018797(ept-1). History: N.A.
R09B3.5,6002,509.8104969319,R09B3.5,WBGene00003123,Sequence name for WBGene00003123(mag-1). History: N.A.
F55A3.3,5993,509.0460360068,F55A3.3,WBGene00018849,Sequence name for WBGene00018849(spt-16). History: N.A.
F56A3.4,5976,507.6020542594,F56A3.4,WBGene00004955,Sequence name for WBGene00004955(spd-5). History: N.A.
C17E4.3,5969,507.0074735399,C17E4.3,WBGene00007643,Sequence name for WBGene00007643(marc-3). History: N.A.
C02F5.1,5962,506.4128928204,C02F5.1,WBGene00002231,Sequence name for WBGene00002231(knl-1). History: N.A.
C32B5.6,5958,506.0731324092,C32B5.6,WBGene00016299,Public name for WBGene00016299. History: N.A.
R06C7.8,5950,505.3936115869,R06C7.8,WBGene00000275,Sequence name for WBGene00000275(bub-1). History: N.A.
Y75B8A.13,5950,505.3936115869,Y75B8A.13,WBGene00013549,Public name for WBGene00013549. History: N.A.
B0280.9,5949,505.3086714841,B0280.9,WBGene00015104,Public name for WBGene00015104. History: N.A.
R151.10,5946,505.0538511758,R151.10,WBGene00020113,Public name for WBGene00020113. History: N.A.
Y71A12B.17,5935,504.1195100451,Y71A12B.17,WBGene00045058,Sequence name for WBGene00045058(gadr-5). History: N.A.
T22F3.4,5922,503.0152887089,T22F3.4,WBGene00004422,Sequence name for WBGene00004422(rpl-11.1). History: Renamed on 2005-09-09
C16A11.9,5870,498.5984033639,C16A11.9,WBGene00045297,Sequence name for WBGene00045297(fbxc-43). History: N.A.
F08D12.1,5866,498.2586429527,F08D12.1,WBGene00017245,Sequence name for WBGene00017245(srpa-72). History: N.A.
Y71F9AL.9,5825,494.7760987385,Y71F9AL.9,WBGene00022114,Public name for WBGene00022114. History: N.A.
K04C2.3,5812,493.6718774022,K04C2.3,WBGene00019381,Public name for WBGene00019381. History: N.A.
C47D12.1,5811,493.5869372994,C47D12.1,WBGene00007028,Sequence name for WBGene00007028(trr-1). History: N.A.
F58G11.3,5811,493.5869372994,F58G11.3,WBGene00010281,Sequence name for WBGene00010281(mip-2). History: Renamed on 2021-12-09
K08E5.1,5810,493.5019971966,K08E5.1,WBGene00014801,Public name for WBGene00014801. History: N.A.
C15H11.5,5803,492.9074164771,C15H11.5,WBGene00007615,Sequence name for WBGene00007615(set-31). History: Renamed on 2007-05-03
T19B10.11,5795,492.2278956548,T19B10.11,WBGene00003509,Sequence name for WBGene00003509(mxl-1). History: N.A.
F48C1.6,5787,491.5483748325,F48C1.6,WBGene00018599,Public name for WBGene00018599. History: N.A.
T26A5.5,5764,489.5947524684,T26A5.5,WBGene00020821,Sequence name for WBGene00020821(jhdm-1). History: N.A.
C26H9A.1,5758,489.0851118517,C26H9A.1,WBGene00006916,Sequence name for WBGene00006916(vha-7). History: N.A.
C03C10.1,5756,488.9152316461,C03C10.1,WBGene00002202,Sequence name for WBGene00002202(kin-19). History: N.A.
Y92H12A.5,5751,488.4905311322,Y92H12A.5,WBGene00022361,Public name for WBGene00022361. History: N.A.
B0035.11,5746,488.0658306182,B0035.11,WBGene00007110,Sequence name for WBGene00007110(leo-1). History: N.A.
Y113G7B.17,5709,484.9230468151,Y113G7B.17,WBGene00013766,Sequence name for WBGene00013766(prmt-1). History: N.A.
F25H5.5,5700,484.15858589,F25H5.5,WBGene00009127,Sequence name for WBGene00009127(clsp-1). History: N.A.
K07A12.2,5685,482.8844843482,K07A12.2,WBGene00010621,Sequence name for WBGene00010621(egg-6). History: N.A.
Y73B6BL.23,5675,482.0350833203,Y73B6BL.23,WBGene00022244,Public name for WBGene00022244. History: N.A.
Y92H12BR.2,5662,480.9308619841,Y92H12BR.2,WBGene00022368,Public name for WBGene00022368. History: N.A.
H28O16.2,5629,478.1278385921,H28O16.2,WBGene00010420,Sequence name for WBGene00010420(mcrs-1). History: N.A.
R10E11.1,5607,476.2591563307,R10E11.1,WBGene00000366,Sequence name for WBGene00000366(cbp-1). History: N.A.
Y67D8C.6,5595,475.2398750973,Y67D8C.6,WBGene00022070,Public name for WBGene00022070. History: N.A.
B0336.3,5588,474.6452943778,B0336.3,WBGene00015143,Sequence name for WBGene00015143(rbm-26). History: N.A.
T09A5.10,5579,473.8808334527,T09A5.10,WBGene00002994,Sequence name for WBGene00002994(lin-5). History: N.A.
F17A9.2,5567,472.8615522192,F17A9.2,WBGene00017534,Sequence name for WBGene00017534(cwf-19L1). History: N.A.
R05F9.11,5548,471.2476902663,R05F9.11,WBGene00019894,Public name for WBGene00019894. History: N.A.
T28A8.6,5539,470.4832293412,T28A8.6,WBGene00012112,Public name for WBGene00012112. History: N.A.
Y41E3.11,5527,469.4639481077,Y41E3.11,WBGene00012769,Sequence name for WBGene00012769(hrpu-1). History: N.A.
Y48G1BM.6,5503,467.4253856408,Y48G1BM.6,WBGene00021671,"Public name for WBGene00021671. History: Split into Y48G1BM.10(WBGene00306121). History of WBGene00021671: Split into ""WBGene00306121"" on 2020-11-10"
C07A9.7,5502,467.340445538,C07A9.7,WBGene00007403,Sequence name for WBGene00007403(set-3). History: N.A.
ZK328.1,5495,466.7458648185,ZK328.1,WBGene00000874,Sequence name for WBGene00000874(cyk-3). History: N.A.
R07H5.8,5493,466.5759846129,R07H5.8,WBGene00011128,Sequence name for WBGene00011128(adk-1). History: N.A.
C50C3.6,5470,464.6223622488,C50C3.6,WBGene00004187,Sequence name for WBGene00004187(prp-8). History: N.A.
F58B6.3,5457,463.5181409126,F58B6.3,WBGene00003917,"Sequence name for WBGene00003917(par-2). History: Split into F58B6.11(WBGene00306125). History of WBGene00003917: Split into ""WBGene00306125"" on 2022-01-02"
F59A2.1,5441,462.159099268,F59A2.1,WBGene00003795,Sequence name for WBGene00003795(npp-9). History: N.A.
F41H10.10,5438,461.9042789596,F41H10.10,WBGene00002032,Sequence name for WBGene00002032(htp-1). History: N.A.
T22D1.9,5436,461.734398754,T22D1.9,WBGene00004458,Sequence name for WBGene00004458(rpn-1). History: N.A.
K04D7.1,5420,460.3753571094,K04D7.1,WBGene00010556,Sequence name for WBGene00010556(rack-1). History: N.A.
F55H2.6,5416,460.0355966983,F55H2.6,WBGene00000550,Sequence name for WBGene00000550(clu-1). History: N.A.
Y38F2AR.7,5411,459.6108961843,Y38F2AR.7,WBGene00021425,Sequence name for WBGene00021425(ppgn-1). History: N.A.
T23H2.1,5409,459.4410159788,T23H2.1,WBGene00003798,Sequence name for WBGene00003798(npp-12). History: N.A.
C47D12.2,5406,459.1861956704,C47D12.2,WBGene00008136,Public name for WBGene00008136. History: N.A.
C14B9.8,5382,457.1476332035,C14B9.8,WBGene00015754,Public name for WBGene00015754. History: N.A.
K08E3.3,5382,457.1476332035,K08E3.3,WBGene00010663,"Sequence name for WBGene00010663(toca-2). History: Split into mlc-7(WBGene00023451). History of WBGene00010663: Split into ""WBGene00023451"" on 2004-07-22"
T08D2.7,5370,456.12835197,T08D2.7,WBGene00011612,Sequence name for WBGene00011612(chkr-1). History: N.A.
Y7A5A.10,5367,455.8735316617,Y7A5A.10,WBGene00044154,Public name for WBGene00044154. History: N.A.
W09H1.5,5355,454.8542504282,W09H1.5,WBGene00012375,Sequence name for WBGene00012375(mecr-1). History: N.A.
ZK1098.8,5352,454.5994301199,ZK1098.8,WBGene00003504,Sequence name for WBGene00003504(mut-7). History: N.A.
Y65B4BR.4,5345,454.0048494003,Y65B4BR.4,WBGene00007009,Sequence name for WBGene00007009(wwp-1). History: N.A.
T21G5.3,5335,453.1554483725,T21G5.3,WBGene00001598,Sequence name for WBGene00001598(glh-1). History: N.A.
F10C5.2,5311,451.1168859056,F10C5.2,WBGene00017328,Sequence name for WBGene00017328(nemp-1). History: N.A.
H04D03.2,5288,449.1632635414,H04D03.2,WBGene00010363,"Public name for WBGene00010363. History: Split into H04D03.6(WBGene00194861). History of WBGene00010363: Split into ""WBGene00194861"" on 2009-11-16"
Y92H12A.4,5288,449.1632635414,Y92H12A.4,WBGene00022360,Sequence name for WBGene00022360(ints-3). History: N.A.
W05F2.5,5274,447.9741021024,W05F2.5,WBGene00021037,Sequence name for WBGene00021037(fbxa-203). History: N.A.
F01G4.6,5262,446.954820869,F01G4.6,WBGene00008505,Public name for WBGene00008505. History: N.A.
C28C12.2,5250,445.9355396355,C28C12.2,WBGene00016178,Sequence name for WBGene00016178(mesp-1). History: N.A.
H02I12.1,5229,444.151797477,H02I12.1,WBGene00010351,Sequence name for WBGene00010351(cbd-1). History: N.A.
C24G6.8,5225,443.8120370658,C24G6.8,WBGene00016062,"Public name for WBGene00016062. History: Split into cox-16(WBGene00302991). History of WBGene00016062: Split into ""WBGene00302991"" on 2018-03-06"
D1054.15,5194,441.1788938794,D1054.15,WBGene00006481,Sequence name for WBGene00006481(plrg-1). History: Renamed on 2005-03-17; Renamed on 2012-04-13
F56A3.3,5186,440.4993730571,F56A3.3,WBGene00003792,Sequence name for WBGene00003792(npp-6). History: Renamed on 2015-03-05
F10G7.1,5185,440.4144329543,F10G7.1,WBGene00006497,Sequence name for WBGene00006497(tag-151). History: N.A.
ZK177.6,5174,439.4800918236,ZK177.6,WBGene00001511,Sequence name for WBGene00001511(fzy-1). History: Renamed on 2017-02-17
C35D10.7,5160,438.2909303846,C35D10.7,WBGene00016444,Public name for WBGene00016444. History: N.A.
H20J04.5,5159,438.2059902818,H20J04.5,WBGene00019220,Sequence name for WBGene00019220(pfd-2). History: Renamed on 2006-08-02
C10C5.6,5156,437.9511699735,C10C5.6,WBGene00000911,"Sequence name for WBGene00000911(daf-15). History: N.A.. Public name for Dead gene WBGene00007510. History of WBGene00007510: Merged into ""WBGene00000911"" on 2004-09-29"
R05D11.3,5136,436.2523679177,R05D11.3,WBGene00004305,Sequence name for WBGene00004305(ran-4). History: N.A.
Y73B3A.1,5131,435.8276674038,Y73B3A.1,WBGene00022203,Public name for WBGene00022203. History: N.A.
F01G4.4,5109,433.9589851424,F01G4.4,WBGene00008503,Public name for WBGene00008503. History: N.A.
F32D1.10,5109,433.9589851424,F32D1.10,WBGene00003159,Sequence name for WBGene00003159(mcm-7). History: N.A.
F33A8.4,5097,432.939703909,F33A8.4,WBGene00009352,Public name for WBGene00009352. History: N.A.
F59C12.4,5091,432.4300632923,F59C12.4,WBGene00045272,Public name for WBGene00045272. History: N.A.
Y102A5A.1,5086,432.0053627783,Y102A5A.1,WBGene00013606,Sequence name for WBGene00013606(cand-1). History: N.A.
Y32F6A.3,5086,432.0053627783,Y32F6A.3,WBGene00012528,Sequence name for WBGene00012528(pap-1). History: N.A.
F37H8.2,5084,431.8354825728,F37H8.2,WBGene00009511,Public name for WBGene00009511. History: N.A.
Y77E11A.3,5084,431.8354825728,Y77E11A.3,WBGene00022308,Public name for WBGene00022308. History: N.A.
C34D4.14,5047,428.6926987696,C34D4.14,WBGene00016405,Sequence name for WBGene00016405(hecd-1). History: N.A.
F01G10.1,5041,428.1830581529,F01G10.1,WBGene00008506,Sequence name for WBGene00008506(tkt-1). History: N.A.
Y55F3AR.3,5033,427.5035373306,Y55F3AR.3,WBGene00021934,Sequence name for WBGene00021934(cct-8). History: N.A.
T24C4.7,5030,427.2487170222,T24C4.7,WBGene00020763,"Sequence name for WBGene00020763(ztf-18). History: Split into T24C4.10(WBGene00306002). History of WBGene00020763: Split into ""WBGene00306002"" on 2020-01-20"
ZK270.2,5020,426.3993159943,ZK270.2,WBGene00001488,Sequence name for WBGene00001488(frm-1). History: N.A.
DY3.2,5016,426.0595555832,DY3.2,WBGene00003052,Sequence name for WBGene00003052(lmn-1). History: N.A.
W09C5.2,5004,425.0402743497,W09C5.2,WBGene00006793,Sequence name for WBGene00006793(unc-59). History: N.A.
K10C3.4,4996,424.3607535274,K10C3.4,WBGene00010731,Public name for WBGene00010731. History: N.A.
R05D3.2,4987,423.5962926023,R05D3.2,WBGene00019877,Public name for WBGene00019877. History: N.A.
C44E4.3,4971,422.2372509577,C44E4.3,WBGene00016652,Sequence name for WBGene00016652(got-2.1). History: N.A.
T23G5.2,4965,421.727610341,T23G5.2,WBGene00011962,Public name for WBGene00011962. History: N.A.
F53C11.5,4958,421.1330296215,F53C11.5,WBGene00009975,Public name for WBGene00009975. History: N.A.
F01F1.6,4948,420.2836285936,F01F1.6,WBGene00000115,Sequence name for WBGene00000115(alh-9). History: N.A.
F33G12.4,4946,420.1137483881,F33G12.4,WBGene00018016,Sequence name for WBGene00018016(lrr-1). History: N.A.
T23D8.9,4940,419.6041077713,T23D8.9,WBGene00006379,"Sequence name for WBGene00006379(sys-1). History: N.A.. Public name for Dead gene WBGene00011946. History of WBGene00011946: Merged into ""WBGene00006379"" on 2005-07-26"
C45G3.1,4936,419.2643473602,C45G3.1,WBGene00008107,Sequence name for WBGene00008107(aspm-1). History: Renamed on 2006-09-21
ZC404.8,4924,418.2450661267,ZC404.8,WBGene00004984,Sequence name for WBGene00004984(spn-4). History: N.A.
T11G6.5,4902,416.3763838654,T11G6.5,WBGene00011720,Public name for WBGene00011720. History: N.A.
ZK328.5,4890,415.3571026319,ZK328.5,WBGene00003796,Sequence name for WBGene00003796(npp-10). History: N.A.
B0432.13,4876,414.1679411929,B0432.13,WBGene00015194,Sequence name for WBGene00015194(trul-1). History: N.A.
C16A3.1,4874,413.9980609873,C16A3.1,WBGene00015806,Sequence name for WBGene00015806(smrc-1). History: N.A.
F43E2.1,4862,412.9787797539,F43E2.1,WBGene00018390,Public name for WBGene00018390. History: N.A.
R166.2,4849,411.8745584176,R166.2,WBGene00011302,Public name for WBGene00011302. History: N.A.
K11H3.1,4835,410.6853969786,K11H3.1,WBGene00010778,Sequence name for WBGene00010778(gpdh-2). History: N.A.
F53A3.4,4827,410.0058761563,F53A3.4,WBGene00004128,Sequence name for WBGene00004128(pqn-41). History: N.A.
D1081.7,4823,409.6661157452,D1081.7,WBGene00008385,Sequence name for WBGene00008385(lotr-1). History: N.A.
F58D5.1,4818,409.2414152312,F58D5.1,WBGene00002000,Sequence name for WBGene00002000(hrpr-1). History: Renamed on 2019-11-21
C38C10.5,4816,409.0715350256,C38C10.5,WBGene00004343,Sequence name for WBGene00004343(rgr-1). History: N.A.
C36A4.11,4802,407.8823735866,C36A4.11,WBGene00044167,Public name for WBGene00044167. History: N.A.
Y66H1B.2,4801,407.7974334838,Y66H1B.2,WBGene00022048,Sequence name for WBGene00022048(fln-1). History: N.A.
Y87G2A.17,4801,407.7974334838,Y87G2A.17,WBGene00013603,Sequence name for WBGene00013603(soem-1). History: N.A.
F57C2.5,4799,407.6275532783,F57C2.5,WBGene00010197,Public name for WBGene00010197. History: N.A.
M03D4.1,4799,407.6275532783,M03D4.1,WBGene00006974,Sequence name for WBGene00006974(zen-4). History: N.A.
F59H6.14,4790,406.8630923532,F59H6.14,WBGene00206415,Public name for WBGene00206415. History: N.A.
C10H11.10,4785,406.4383918392,C10H11.10,WBGene00015698,Sequence name for WBGene00015698(kca-1). History: N.A.
C04F12.9,4780,406.0136913253,C04F12.9,WBGene00007303,Sequence name for WBGene00007303(rnh-1.3). History: N.A.
K01G5.2,4773,405.4191106058,K01G5.2,WBGene00001996,Sequence name for WBGene00001996(hpl-2). History: N.A.
Y34D9A.3,4772,405.334170503,Y34D9A.3,WBGene00021329,Public name for WBGene00021329. History: N.A.
B0511.13,4768,404.9944100918,B0511.13,WBGene00015238,"Sequence name for WBGene00015238(mppe-1). History: Split into B0511.19(WBGene00255714). History of WBGene00015238: Split into ""WBGene00255714"" on 2015-04-30"
C10H11.9,4764,404.6546496807,C10H11.9,WBGene00002694,Sequence name for WBGene00002694(let-502). History: Renamed on 2015-03-05
B0207.4,4763,404.5697095779,B0207.4,WBGene00000099,Sequence name for WBGene00000099(air-2). History: N.A.
Y48G9A.3,4752,403.6353684472,Y48G9A.3,WBGene00021697,Sequence name for WBGene00021697(gcn-1). History: N.A.
EEED8.10,4748,403.2956080361,EEED8.10,WBGene00017138,Public name for WBGene00017138. History: N.A.
C05C8.4,4746,403.1257278305,C05C8.4,WBGene00001563,Sequence name for WBGene00001563(gei-6). History: N.A.
D2005.4,4737,402.3612669054,D2005.4,WBGene00008399,"Public name for WBGene00008399. History: Split into D2005.7(WBGene00086551). History of WBGene00008399: Split into ""WBGene00086551"" on 2008-06-27"
ZK1251.9,4737,402.3612669054,ZK1251.9,WBGene00014243,Sequence name for WBGene00014243(dcaf-1). History: N.A.
Y82E9BR.18,4734,402.1064465971,Y82E9BR.18,WBGene00022350,Public name for WBGene00022350. History: N.A.
T24F1.1,4733,402.0215064943,T24F1.1,WBGene00006414,Sequence name for WBGene00006414(raga-1). History: Renamed on 2007-07-20
K10B2.5,4730,401.7666861859,K10B2.5,WBGene00019608,Sequence name for WBGene00019608(ani-2). History: N.A.
Y104H12D.4,4725,401.341985672,Y104H12D.4,WBGene00022428,Sequence name for WBGene00022428(rmif-2). History: N.A.
F15B10.1,4721,401.0022252608,F15B10.1,WBGene00017480,Sequence name for WBGene00017480(nstp-2). History: N.A.
F38H4.7,4721,401.0022252608,F38H4.7,WBGene00006415,Sequence name for WBGene00006415(tag-30). History: N.A.
F56D2.6,4703,399.4733034106,F56D2.6,WBGene00018967,Sequence name for WBGene00018967(ddx-15). History: N.A.
K10C8.1,4693,398.6239023828,K10C8.1,WBGene00010734,Sequence name for WBGene00010734(parn-1). History: N.A.
Y73B6BL.38,4685,397.9443815605,Y73B6BL.38,WBGene00022257,Sequence name for WBGene00022257(puf-11). History: N.A.
F58E10.3,4675,397.0949805326,F58E10.3,WBGene00010260,Sequence name for WBGene00010260(ddx-17). History: N.A.
R10E4.9,4669,396.5853399159,R10E4.9,WBGene00011205,Public name for WBGene00011205. History: N.A.
Y119D3B.16,4651,395.0564180657,Y119D3B.16,WBGene00022493,Sequence name for WBGene00022493(mrpl-45). History: N.A.
T09F5.12,4623,392.6780951876,T09F5.12,WBGene00014836,Public name for WBGene00014836. History: N.A.
T02G5.13,4616,392.0835144681,T02G5.13,WBGene00020169,Sequence name for WBGene00020169(mmaa-1). History: N.A.
ZK1290.4,4616,392.0835144681,ZK1290.4,WBGene00003592,Sequence name for WBGene00003592(nfi-1). History: N.A.
F54F2.2,4609,391.4889337486,F54F2.2,WBGene00006975,Sequence name for WBGene00006975(zfp-1). History: N.A.
E01A2.2,4605,391.1491733374,E01A2.2,WBGene00017085,Public name for WBGene00017085. History: N.A.
T19H12.2,4605,391.1491733374,T19H12.2,WBGene00020588,Public name for WBGene00020588. History: N.A.
T27E9.1,4602,390.8943530291,T27E9.1,WBGene00006439,Sequence name for WBGene00006439(ant-1.1). History: Renamed on 2008-06-04; Renamed on 2014-03-03
Y65B4BL.2,4591,389.9600118984,Y65B4BL.2,WBGene00022034,Sequence name for WBGene00022034(deps-1). History: N.A.
R05G6.7,4576,388.6859103566,R05G6.7,WBGene00019900,Sequence name for WBGene00019900(vdac-1). History: N.A.
T14G10.2,4555,386.9021681981,T14G10.2,WBGene00004254,Sequence name for WBGene00004254(pxf-1). History: N.A.
W03G9.3,4554,386.8172280953,W03G9.3,WBGene00021015,Sequence name for WBGene00021015(enu-3.3). History: N.A.
C34H4.5,4548,386.3075874785,C34H4.5,WBGene00016427,Public name for WBGene00016427. History: N.A.
T23G5.6,4536,385.2883062451,T23G5.6,WBGene00011964,Sequence name for WBGene00011964(saeg-2). History: N.A.
Y61A9LA.8,4535,385.2033661423,Y61A9LA.8,WBGene00022019,Sequence name for WBGene00022019(sut-2). History: N.A.
F09E8.3,4526,384.4389052172,F09E8.3,WBGene00003421,Sequence name for WBGene00003421(msh-5). History: N.A.
C43E11.4,4520,383.9292646005,C43E11.4,WBGene00007001,"Sequence name for WBGene00007001(tufm-2). History: N.A.. Public name for Dead gene WBGene00016604. History of WBGene00016604: Merged into ""WBGene00007001"" on 2004-05-28"
F32E10.2,4520,383.9292646005,F32E10.2,WBGene00017990,Sequence name for WBGene00017990(cec-4). History: N.A.
B0414.7,4518,383.7593843949,B0414.7,WBGene00003472,Sequence name for WBGene00003472(mtk-1). History: N.A.
T01C8.5,4470,379.6822594611,T01C8.5,WBGene00020146,Sequence name for WBGene00020146(got-1.2). History: N.A.
H27M09.2,4460,378.8328584332,H27M09.2,WBGene00019246,Sequence name for WBGene00019246(rpb-5). History: Renamed on 2015-03-04
T01G9.4,4444,377.4738167886,T01G9.4,WBGene00003788,Sequence name for WBGene00003788(npp-2). History: N.A.
R11A8.1,4443,377.3888766858,R11A8.1,WBGene00011236,Public name for WBGene00011236. History: N.A.
C06A8.5,4441,377.2189964803,C06A8.5,WBGene00015515,Sequence name for WBGene00015515(spdl-1). History: N.A.
